overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
63.0,57.0,41.0,60.5,63.0,53.0,56.0,60.0,58.5,56.5,59.5,58.5,64.0,60.0,55.0,71.0,62.0,62.0,72.5,72.5,53.0,63.5,65.0,56.0,68.0,57.0,58.0,60.0,59.0,11.0,18.0,56.5,18.5,14.5,2007
63.0,60.0,46.0,66.0,66.0,53.0,58.0,60.0,60.0,61.0,63.0,58.0,66.0,60.0,56.0,71.0,67.0,62.0,75.0,73.0,56.0,53.0,66.0,60.0,68.0,58.0,57.0,61.0,59.0,11.0,22.0,61.0,22.0,22.0,2008
64.0,64.0,46.0,66.0,67.0,53.0,58.0,60.0,60.0,63.0,65.0,60.0,66.0,60.0,60.0,71.0,74.0,62.0,75.0,73.0,56.0,55.0,66.0,62.0,68.0,58.0,57.0,61.0,59.0,11.0,22.0,63.0,22.0,22.0,2009
65.5,64.0,46.0,66.5,68.0,53.0,59.5,60.0,61.5,64.0,65.5,60.5,66.0,60.0,61.5,71.0,70.5,62.0,75.0,73.0,57.0,56.5,67.0,63.5,68.0,54.5,58.0,62.0,59.0,8.0,15.5,34.0,15.0,13.5,2010
66.5,64.0,46.0,67.0,68.0,53.0,59.5,60.0,63.0,65.0,66.0,63.5,68.5,60.0,63.0,61.0,71.0,65.5,79.0,77.0,60.5,62.5,70.5,58.0,65.5,47.0,58.0,62.0,59.0,5.0,9.0,5.0,8.0,5.0,2011
69.5,64.0,43.5,64.5,67.0,53.0,53.5,57.0,61.5,65.0,66.0,70.5,73.0,64.0,70.0,57.0,73.0,73.0,87.0,80.0,60.0,71.5,73.5,53.0,63.5,47.0,64.0,68.0,61.0,5.0,9.0,5.0,8.0,5.0,2012
70.0,62.17,41.0,64.0,68.33,51.0,52.33,52.33,60.0,66.5,67.0,75.0,74.0,68.0,72.33,60.0,75.0,75.33,87.0,80.5,56.83,76.5,74.17,58.0,65.0,47.0,65.33,68.17,63.5,5.0,9.0,5.0,8.0,5.0,2013
70.5,61.0,41.0,68.0,74.0,47.0,59.0,49.0,60.0,70.0,72.0,74.25,76.25,68.0,76.5,60.0,75.0,76.5,87.75,83.0,54.0,79.0,75.0,68.0,67.0,47.0,58.0,71.0,68.0,5.0,9.0,5.0,8.0,5.0,2014
71.0,62.0,42.0,70.0,75.0,48.0,61.0,50.0,61.0,71.0,73.0,64.0,67.0,63.0,74.0,60.0,76.0,78.0,90.0,82.0,55.0,78.0,76.0,66.0,68.0,48.0,62.0,73.0,70.0,6.0,10.0,6.0,9.0,6.0,2015
72.0,62.0,42.0,70.0,75.0,48.0,60.0,50.0,61.0,76.0,73.0,64.0,67.0,63.0,72.0,60.0,76.0,78.0,90.0,82.0,55.0,77.0,74.0,64.0,68.0,48.0,60.0,71.0,70.0,6.0,10.0,6.0,9.0,6.0,2016
