overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
70.0,64.0,52.0,63.0,72.0,68.0,55.0,60.0,61.0,67.0,72.0,80.0,75.0,72.0,77.0,78.0,80.0,77.0,78.0,80.0,67.0,78.0,73.0,75.0,77.0,76.0,59.0,67.0,74.0,9.0,21.0,67.0,21.0,21.0,2007
70.0,64.0,52.0,63.0,72.0,68.0,55.0,60.0,61.0,67.0,72.0,80.0,75.0,72.0,77.0,78.0,80.0,77.0,78.0,80.0,67.0,78.0,73.0,75.0,77.0,76.0,59.0,67.0,74.0,9.0,21.0,67.0,21.0,21.0,2008
74.5,69.5,56.0,66.0,74.5,68.0,65.5,60.0,63.0,71.0,74.5,82.0,78.5,72.0,79.5,78.0,83.0,77.0,82.5,82.5,73.5,80.0,75.0,76.0,77.0,77.5,66.0,72.0,74.0,9.0,21.0,71.0,21.0,21.0,2009
77.0,73.5,59.0,69.0,76.5,68.0,74.5,60.0,65.0,74.5,76.5,81.5,80.5,72.0,79.5,78.0,86.0,77.0,86.0,81.5,79.0,82.0,79.0,73.5,77.0,72.0,72.5,76.5,74.0,8.0,13.0,44.0,16.5,15.0,2010
75.0,71.0,55.5,68.5,76.0,68.0,73.0,60.0,65.5,74.0,76.0,77.5,78.5,70.5,76.5,74.5,86.0,72.0,85.0,79.0,77.0,81.5,73.0,67.0,72.5,63.0,67.5,74.0,72.5,7.0,5.0,13.0,12.0,9.0,2011
78.0,74.0,55.5,68.0,79.0,73.0,77.0,66.0,67.0,77.5,79.0,78.5,79.5,73.5,76.0,76.5,86.0,73.0,85.5,81.0,78.0,81.5,73.0,71.0,76.0,64.5,68.5,76.5,74.5,7.0,5.0,13.0,12.0,9.0,2012
79.92,77.54,67.85,64.92,80.31,78.0,83.46,70.0,66.15,75.85,80.69,84.69,80.92,78.54,77.31,83.0,86.15,78.54,87.0,83.92,79.0,77.46,70.46,78.15,76.0,60.46,62.62,78.77,75.77,7.0,5.0,13.0,12.0,9.0,2013
79.67,78.33,70.11,62.56,79.33,74.78,84.56,69.0,64.22,74.11,80.89,85.0,81.56,80.78,76.11,83.67,83.78,77.67,87.11,82.0,76.0,75.44,66.56,77.33,75.89,59.78,62.22,77.11,76.67,5.89,4.33,8.33,8.22,7.0,2014
79.0,78.17,70.0,56.67,79.0,77.33,84.0,73.0,67.0,72.5,81.0,83.33,82.67,83.0,77.67,81.5,86.33,78.83,80.67,79.33,81.83,76.17,72.33,77.0,74.0,63.17,69.5,77.17,77.17,4.83,3.83,2.83,3.83,4.83,2015
79.0,78.0,68.14,55.43,79.0,78.0,84.0,72.71,68.0,73.0,81.0,79.57,83.0,84.14,78.0,82.14,87.0,79.0,79.0,79.0,83.0,72.57,70.43,77.0,74.0,64.0,70.71,75.86,76.86,5.0,4.0,3.0,4.0,5.0,2016
