overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
55.0,44.0,31.0,59.0,52.0,63.0,48.0,42.0,27.0,48.0,59.0,70.0,78.0,71.0,52.0,65.0,57.0,73.0,58.0,44.0,22.0,56.0,41.0,39.0,66.0,35.0,54.0,63.0,74.0,11.0,21.0,48.0,21.0,21.0,2007
55.0,44.0,31.0,59.0,52.0,63.0,48.0,42.0,27.0,48.0,59.0,70.0,78.0,71.0,52.0,65.0,57.0,73.0,58.0,44.0,22.0,56.0,41.0,39.0,66.0,35.0,54.0,63.0,74.0,11.0,21.0,48.0,21.0,21.0,2008
69.0,61.0,44.0,67.0,64.0,63.0,59.5,42.0,27.0,62.0,62.0,89.0,87.0,71.0,68.0,65.0,64.0,73.0,73.0,68.0,51.0,65.5,73.5,69.5,66.0,63.0,67.0,71.0,74.0,11.0,21.0,62.0,21.0,21.0,2009
71.5,68.0,44.0,67.0,69.0,63.0,62.0,42.0,27.0,67.0,69.0,85.5,84.5,71.0,68.0,65.0,69.0,73.0,72.5,68.0,51.0,67.0,68.0,59.5,66.0,53.5,74.0,75.0,74.0,11.0,15.0,37.5,14.5,15.5,2010
70.5,68.0,44.0,67.0,69.0,51.0,57.0,42.0,27.0,66.0,69.0,82.0,82.5,71.0,68.0,67.5,69.0,73.0,72.0,68.0,51.0,67.0,61.0,48.0,63.5,38.0,74.0,75.0,74.0,11.0,9.0,8.0,8.0,10.0,2011
72.5,68.0,44.0,69.0,71.5,51.0,63.0,42.0,27.0,65.0,70.0,79.5,81.0,71.0,68.5,70.0,68.0,73.0,72.0,68.0,51.0,67.0,72.0,48.0,58.5,38.0,74.5,75.5,74.5,11.0,9.0,8.0,8.0,10.0,2012
72.5,70.0,44.0,69.0,72.0,51.0,63.0,42.0,27.0,65.0,70.0,76.25,78.25,71.0,69.0,70.0,67.0,73.0,74.0,68.0,51.0,67.0,72.25,48.0,57.5,46.0,72.0,76.5,75.0,11.0,9.0,8.0,8.0,10.0,2013
72.0,70.0,44.0,69.0,72.0,51.0,63.0,42.0,27.0,65.0,69.4,76.0,78.0,71.0,69.0,70.2,67.0,73.0,74.0,68.0,51.0,67.0,72.0,52.0,58.0,46.0,67.6,75.0,75.0,11.0,9.0,8.0,8.0,10.0,2014
72.67,70.33,44.33,69.33,72.33,51.33,63.33,42.33,27.33,65.33,67.33,76.0,77.0,71.0,69.33,71.0,67.33,73.0,74.0,68.0,51.33,67.33,72.33,53.33,58.33,46.33,68.33,76.0,76.33,11.33,9.33,8.33,8.33,10.33,2015
74.0,71.0,45.0,70.0,73.0,52.0,64.0,43.0,28.0,66.0,68.0,76.0,75.0,71.0,70.0,71.0,68.0,73.0,74.0,68.0,52.0,68.0,73.0,54.0,59.0,47.0,71.0,78.0,79.0,12.0,10.0,9.0,9.0,11.0,2016
