overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
71.0,49.0,34.0,49.0,58.0,58.0,62.0,39.0,51.5,62.0,70.0,76.0,77.0,62.0,64.0,79.0,47.0,78.0,79.0,73.0,37.0,69.0,69.0,85.0,72.0,63.0,76.0,78.0,73.0,10.0,14.5,62.0,16.0,17.0,2007
74.0,72.0,44.0,59.0,67.0,58.0,62.0,39.0,40.0,66.0,70.0,76.0,75.0,62.0,72.0,79.0,76.0,78.0,82.0,77.0,64.0,69.0,76.0,85.0,72.0,63.0,77.0,78.0,73.0,10.0,21.0,66.0,21.0,21.0,2008
73.0,70.0,44.0,59.0,67.0,58.0,62.0,39.0,40.0,64.0,68.0,72.0,75.0,62.0,72.0,79.0,72.0,78.0,77.0,75.0,61.0,69.0,76.0,85.0,72.0,63.0,76.0,75.0,73.0,10.0,21.0,64.0,21.0,21.0,2009
72.0,72.0,44.0,63.0,67.0,58.0,62.0,39.0,40.0,64.0,68.0,70.0,73.0,62.0,72.0,79.0,72.0,78.0,78.0,76.0,61.0,69.0,69.0,55.0,72.0,81.0,76.0,75.0,73.0,9.0,9.0,7.0,8.0,12.0,2010
70.5,72.0,39.0,63.0,67.0,53.0,62.0,39.0,40.0,64.0,68.0,70.0,73.0,62.0,72.0,73.0,72.0,78.0,78.0,76.0,51.0,69.0,69.0,55.0,62.0,79.5,72.0,72.0,71.0,9.0,9.0,7.0,8.0,12.0,2011
70.0,71.5,33.5,60.0,66.5,47.5,61.5,38.5,39.5,64.5,67.5,69.0,72.5,59.0,74.5,66.5,71.5,79.5,76.5,75.5,40.5,69.5,69.0,54.5,51.5,77.5,69.5,71.5,70.5,9.0,9.0,7.0,8.0,12.0,2012
71.5,73.0,38.0,57.25,69.0,50.0,63.0,43.0,42.0,66.0,70.0,73.0,72.25,58.0,80.0,66.25,71.25,79.25,75.25,75.25,40.25,69.75,73.0,58.38,51.25,73.25,70.75,73.0,70.25,9.0,9.0,7.0,8.0,12.0,2013
71.0,73.0,38.0,58.0,69.0,50.0,63.0,43.0,42.0,66.0,70.0,71.0,70.0,58.0,78.0,67.0,72.0,80.0,72.0,76.0,41.0,69.0,75.0,59.0,52.0,62.0,70.0,73.0,71.0,9.0,9.0,7.0,8.0,12.0,2014
71.33,72.0,36.33,58.33,70.0,50.33,61.0,43.33,42.33,68.0,72.33,61.0,64.67,56.67,80.33,65.0,70.33,71.67,60.0,71.33,41.33,69.33,77.33,59.33,52.33,62.33,73.33,75.0,73.0,9.33,9.33,7.33,8.33,12.33,2015
71.0,72.0,36.0,59.0,70.0,51.0,60.0,44.0,43.0,68.0,73.0,53.33,61.0,56.0,81.0,64.0,70.0,73.0,55.0,71.33,42.0,70.0,78.0,60.0,53.0,63.0,76.0,77.0,75.0,10.0,10.0,8.0,9.0,13.0,2016
