overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
70.5,46.0,33.5,65.0,78.0,37.0,40.0,57.0,50.5,61.5,70.5,74.5,78.0,77.0,68.0,82.0,64.0,65.0,79.0,77.5,52.0,73.0,72.0,73.0,81.0,70.0,69.5,71.5,80.0,7.0,15.5,61.5,15.0,16.0,2007
77.0,51.5,42.0,62.5,80.0,37.0,58.5,57.0,36.0,69.5,76.5,78.5,77.0,77.0,79.5,82.0,65.5,65.0,87.5,75.5,53.5,82.0,76.5,77.5,81.0,74.0,76.0,82.5,80.0,7.0,21.0,69.5,21.0,21.0,2008
81.5,57.0,38.0,57.0,83.5,37.0,69.0,57.0,41.0,75.0,78.0,85.0,79.0,77.0,84.0,82.0,67.0,65.0,91.5,82.0,49.5,91.0,88.5,83.5,81.0,78.0,80.5,88.0,80.0,7.0,21.0,75.0,21.0,21.0,2009
82.0,56.0,38.0,59.0,84.0,37.0,69.5,57.0,41.0,79.0,76.0,84.0,78.5,77.0,82.0,82.0,76.0,65.0,92.0,83.0,63.0,89.0,90.0,68.0,81.0,64.5,82.0,90.0,80.0,8.0,13.0,45.5,15.5,18.0,2010
81.0,53.0,38.0,59.0,79.0,37.0,70.0,57.0,41.0,77.0,75.0,78.5,77.0,77.0,81.0,86.0,76.0,67.5,81.5,79.5,63.0,87.0,86.0,51.0,78.0,51.0,78.0,88.0,80.0,9.0,5.0,12.0,10.0,15.0,2011
80.5,57.0,38.0,59.0,79.0,37.0,70.0,57.0,41.0,77.0,75.0,77.0,77.0,77.0,78.5,88.0,76.0,72.0,80.0,77.0,63.0,85.5,86.0,51.0,76.5,50.0,74.0,87.0,80.5,9.0,5.0,12.0,10.0,15.0,2012
80.0,62.75,38.0,59.0,79.0,37.0,71.25,57.0,41.0,77.0,76.0,78.0,79.0,77.0,78.0,86.0,76.0,70.0,79.0,77.0,64.0,84.0,86.0,51.0,75.0,49.0,70.0,86.0,81.0,9.0,5.0,12.0,10.0,15.0,2013
80.67,68.0,38.0,59.0,80.0,37.0,73.67,57.0,41.0,77.0,77.67,78.0,77.67,77.0,77.33,80.0,76.0,74.67,84.0,63.33,67.0,85.0,83.33,50.33,73.0,49.0,80.0,85.33,80.33,9.0,5.0,12.0,10.0,15.0,2014
81.0,68.0,38.0,59.0,80.0,37.0,73.0,57.0,41.0,77.0,77.0,78.67,77.0,78.33,79.0,81.67,76.0,77.0,87.5,54.0,67.0,86.0,84.0,50.0,72.0,49.0,80.0,85.0,80.0,9.0,5.0,12.0,10.0,15.0,2015
82.0,68.0,38.0,59.0,80.0,37.0,76.33,57.0,41.0,77.0,78.0,78.67,76.67,81.0,81.0,87.0,76.0,77.0,90.0,66.33,67.0,87.0,86.0,50.0,72.33,49.0,80.0,85.0,80.0,9.0,5.0,12.0,10.0,15.0,2016
