overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
74.5,72.0,65.5,66.5,73.0,79.0,74.5,68.0,61.5,66.5,76.0,72.0,72.0,78.0,69.0,71.0,76.0,63.0,83.5,62.0,76.0,73.0,76.0,78.0,78.0,73.5,38.0,43.0,65.0,9.0,14.5,66.5,16.0,14.0,2007
75.0,70.0,75.0,70.0,76.0,79.0,75.0,68.0,52.0,68.0,78.0,76.0,77.0,78.0,72.0,71.0,76.0,63.0,82.0,63.0,75.0,55.0,70.0,76.0,78.0,71.0,59.0,51.0,65.0,9.0,20.0,68.0,20.0,20.0,2008
76.5,75.0,76.5,70.0,79.0,79.0,80.0,68.0,61.0,68.0,82.5,78.0,77.0,78.0,78.0,71.0,80.0,63.0,84.5,63.5,76.0,65.0,77.0,80.0,78.0,79.0,74.0,63.5,65.0,9.0,20.0,68.0,20.0,20.0,2009
76.0,72.0,77.0,70.0,79.0,79.0,83.0,68.0,70.0,68.0,79.0,75.0,76.5,78.0,79.0,71.0,81.0,63.0,79.5,61.0,77.0,76.0,73.5,76.5,78.0,59.5,70.0,66.0,65.0,12.0,16.5,38.0,13.0,13.5,2010
76.0,72.0,76.0,70.0,76.5,79.0,82.0,68.0,70.0,68.0,79.5,72.5,72.0,79.5,77.0,78.0,79.0,68.0,73.0,56.0,76.0,70.0,61.5,76.0,77.5,42.0,60.5,59.5,58.0,15.0,13.0,8.0,6.0,7.0,2011
78.0,72.0,75.0,70.0,76.0,79.0,82.0,68.0,70.0,68.0,81.0,73.0,68.0,79.0,79.0,85.0,77.0,73.0,69.0,51.0,75.0,70.0,54.0,79.0,79.0,42.0,53.0,53.0,51.0,15.0,13.0,8.0,6.0,7.0,2012
76.67,72.0,71.83,70.0,78.0,79.0,82.0,73.0,70.0,69.33,81.33,66.0,68.0,79.0,79.0,85.0,76.33,73.0,69.0,53.67,75.83,70.0,60.33,77.33,78.67,68.0,55.0,56.67,51.0,15.0,13.0,8.0,6.0,7.0,2013
76.0,71.2,70.4,70.0,82.0,79.0,81.2,74.0,69.2,72.0,80.8,62.8,68.0,79.0,79.0,85.0,75.0,73.0,69.0,59.2,76.0,69.6,68.0,74.0,78.2,68.0,59.0,64.0,51.0,15.0,13.0,8.0,6.0,7.0,2014
75.75,71.25,70.25,70.25,82.25,79.25,81.25,74.25,69.25,72.25,80.25,54.0,68.0,79.0,78.5,85.0,74.5,73.0,69.0,60.0,75.5,68.25,68.25,72.0,79.25,68.25,59.25,64.25,51.25,15.25,13.25,8.25,6.25,7.25,2015
75.0,72.0,71.0,71.0,83.0,80.0,82.0,75.0,70.0,73.0,81.0,54.0,68.0,79.0,79.0,85.0,75.0,73.0,69.0,60.0,76.0,69.0,69.0,72.0,80.0,69.0,60.0,65.0,52.0,16.0,14.0,9.0,7.0,8.0,2016
