overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
62.0,52.0,39.0,53.0,57.0,36.0,43.0,41.0,40.0,48.0,57.0,70.0,68.0,70.0,66.0,67.0,56.0,76.0,67.0,68.0,33.0,61.0,67.0,64.0,63.0,60.0,63.0,63.0,70.0,3.0,22.0,48.0,22.0,22.0,2007
62.0,52.0,39.0,53.0,57.0,36.0,43.0,41.0,40.0,48.0,57.0,70.0,68.0,70.0,66.0,67.0,56.0,76.0,67.0,68.0,33.0,61.0,67.0,64.0,63.0,60.0,63.0,63.0,70.0,3.0,22.0,48.0,22.0,22.0,2008
65.5,52.0,39.0,62.0,57.0,36.0,43.0,41.0,40.0,48.0,59.5,72.0,69.0,70.0,69.0,67.0,56.0,76.0,68.0,70.0,33.0,60.0,67.0,66.0,63.0,64.0,68.5,65.5,70.0,3.0,22.0,48.0,22.0,22.0,2009
68.5,52.0,39.0,72.0,61.5,36.0,44.0,41.0,40.0,48.0,63.0,70.0,72.0,70.0,67.0,67.0,56.0,76.0,71.0,69.0,33.0,58.0,64.0,52.5,63.0,58.5,72.0,71.0,70.0,5.5,15.5,29.5,15.5,16.0,2010
70.5,59.5,39.0,69.0,64.5,36.0,44.0,41.0,40.0,54.5,66.5,67.0,68.0,65.0,68.0,65.0,56.0,79.5,70.0,66.5,33.0,64.5,74.0,44.0,51.5,52.0,75.0,74.0,67.5,8.0,9.0,11.0,9.0,10.0,2011
73.0,61.5,39.5,70.0,64.5,36.0,50.0,41.0,40.0,56.5,68.5,64.5,67.5,62.0,68.5,63.0,56.0,81.5,66.0,68.0,37.5,74.0,75.0,44.0,46.0,52.0,76.0,76.0,71.0,8.0,9.0,11.0,9.0,10.0,2012
73.33,58.44,40.0,70.44,61.0,30.67,55.11,41.0,40.0,54.67,66.22,61.22,68.56,59.78,72.67,63.0,51.78,78.44,67.0,68.56,37.56,71.22,75.56,41.11,42.0,49.33,75.89,78.56,77.0,8.0,9.0,11.0,9.0,10.0,2013
71.17,43.0,37.17,70.33,59.08,23.42,43.25,40.67,36.75,60.42,60.75,50.0,57.17,46.67,69.0,62.33,46.0,76.5,61.17,68.0,32.33,73.0,73.83,36.42,46.5,40.75,74.75,75.67,72.5,7.67,8.67,10.67,8.67,9.67,2014
70.8,34.4,29.4,71.4,59.4,21.4,39.4,40.4,29.4,64.4,59.4,44.0,55.0,44.0,65.4,62.0,46.4,76.0,60.0,68.0,33.4,73.4,71.4,32.4,44.4,29.4,75.2,75.2,72.2,7.4,8.4,10.4,8.4,9.4,2015
71.0,35.0,30.0,72.0,60.0,22.0,40.0,41.0,30.0,65.0,60.0,44.0,55.0,44.0,66.0,62.0,47.0,76.0,60.0,68.0,34.0,74.0,72.0,33.0,45.0,30.0,75.5,75.5,73.0,8.0,9.0,11.0,9.0,10.0,2016
