overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
69.0,52.5,53.5,65.0,67.0,59.0,62.5,66.0,72.0,61.5,69.0,72.5,72.0,69.0,72.5,74.0,68.0,74.0,81.0,71.5,67.0,65.0,71.0,70.0,80.0,70.0,68.0,66.5,73.0,18.0,20.0,61.5,26.0,21.0,2007
76.0,59.0,61.0,54.0,84.0,59.0,76.0,66.0,70.0,74.0,80.0,77.0,77.0,69.0,78.0,74.0,74.0,74.0,85.0,70.0,71.0,60.0,72.0,74.0,80.0,78.0,60.0,68.0,73.0,10.0,23.0,74.0,23.0,23.0,2008
78.0,59.0,61.0,66.0,84.0,59.0,76.0,66.0,70.0,78.0,80.0,77.0,77.0,69.0,73.0,74.0,74.0,74.0,85.0,70.0,71.0,60.0,72.0,74.0,80.0,71.0,60.0,72.0,73.0,10.0,23.0,78.0,23.0,23.0,2009
78.0,60.5,62.5,69.5,85.0,59.0,75.0,66.0,73.0,79.5,81.5,73.5,74.0,69.0,71.5,74.0,73.5,74.0,81.0,75.0,72.0,75.5,74.5,70.0,80.0,68.0,68.5,79.5,73.0,10.0,15.5,43.0,14.0,14.5,2010
77.5,63.0,42.0,73.0,85.0,53.0,71.5,66.0,69.0,78.0,79.5,69.0,73.0,69.5,73.0,72.5,71.0,77.5,80.5,72.0,52.5,79.0,77.0,59.0,74.5,61.0,69.5,80.5,73.5,10.0,8.0,8.0,5.0,6.0,2011
80.0,63.0,23.0,73.0,84.0,47.0,69.0,66.0,65.0,79.0,79.0,68.0,75.0,70.0,76.0,72.0,71.0,81.0,80.0,72.5,35.0,83.0,82.0,52.0,68.0,61.0,78.5,83.5,77.5,10.0,8.0,8.0,5.0,6.0,2012
80.88,63.0,23.0,73.0,84.5,47.0,69.0,66.0,60.5,79.0,79.0,66.38,73.88,70.0,78.0,73.0,71.0,81.0,77.0,73.0,35.0,83.0,83.0,52.0,69.0,61.0,80.0,84.0,78.0,10.0,8.0,8.0,5.0,6.0,2013
79.5,63.0,23.0,69.0,81.0,47.0,69.0,66.0,47.0,77.5,77.0,60.0,67.0,70.0,78.0,73.0,71.0,81.0,77.0,73.0,35.0,83.0,83.0,52.0,69.0,61.0,80.0,82.0,78.0,10.0,8.0,8.0,5.0,6.0,2014
79.0,63.0,23.0,65.0,77.0,47.0,69.0,66.0,47.0,73.0,74.0,55.0,57.0,70.0,78.0,73.0,71.0,82.0,77.0,73.0,35.0,83.0,83.0,52.0,69.0,61.0,80.0,80.0,78.0,10.0,8.0,8.0,5.0,6.0,2015
79.0,63.0,23.0,65.0,77.0,47.0,69.0,66.0,47.0,73.0,74.0,55.0,57.0,70.0,78.0,73.0,71.0,82.0,77.0,76.0,35.0,83.0,84.0,49.0,69.0,61.0,80.0,81.0,80.0,10.0,8.0,8.0,5.0,6.0,2016
