overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
51.0,29.0,21.0,44.0,55.0,58.0,55.0,48.0,50.0,44.0,66.0,68.0,66.0,75.0,48.0,73.0,36.0,72.0,49.0,65.0,23.0,38.0,29.0,31.0,70.0,26.0,44.0,50.0,75.0,4.0,21.0,44.0,21.0,21.0,2007
59.5,48.0,24.0,55.0,64.0,58.0,63.5,48.0,50.0,55.5,70.0,68.0,69.5,75.0,59.5,73.0,46.0,72.0,60.5,65.0,33.0,43.0,39.0,46.0,70.0,31.0,57.5,59.5,75.0,4.0,21.0,55.5,21.0,21.0,2008
75.0,66.5,30.0,74.0,80.0,58.0,76.0,48.0,50.0,72.0,78.0,71.5,73.0,75.0,77.0,73.0,59.0,72.0,82.0,71.0,53.0,69.0,68.0,72.0,70.0,65.0,77.0,76.0,75.0,4.0,21.0,72.0,21.0,21.0,2009
75.5,66.0,30.0,74.0,79.5,58.0,74.5,48.0,50.0,72.0,76.5,73.0,73.0,75.0,76.5,73.0,59.0,72.0,82.0,74.5,53.0,88.5,67.5,61.5,70.0,61.0,77.0,75.5,75.0,7.0,13.5,41.5,16.5,17.0,2010
79.0,68.0,35.0,75.5,78.5,58.0,76.0,48.0,51.0,75.5,77.0,77.0,75.5,74.0,78.0,71.0,69.0,73.5,83.0,75.0,66.0,90.0,83.5,51.0,69.0,60.5,76.5,82.5,84.5,10.0,6.0,11.0,12.0,13.0,2011
80.5,68.0,35.0,77.0,79.0,58.0,76.0,48.0,51.0,77.0,77.0,76.0,74.0,73.0,82.5,67.0,74.0,72.5,85.0,78.0,68.0,91.0,85.0,51.0,65.0,63.0,77.0,86.5,87.5,10.0,6.0,11.0,12.0,13.0,2012
81.0,68.0,45.0,75.67,80.0,58.0,73.33,48.0,51.0,77.33,77.0,76.0,74.0,73.67,83.0,67.0,75.0,72.67,85.0,79.0,68.33,88.67,85.0,51.0,67.0,56.0,79.0,87.0,88.0,10.0,6.0,11.0,12.0,13.0,2013
81.5,67.5,45.0,76.5,80.0,58.0,70.0,48.0,51.0,78.0,77.0,75.5,71.5,71.5,83.0,66.0,77.0,74.0,85.0,79.0,69.0,88.0,85.0,51.0,67.5,56.0,79.0,87.0,88.0,10.0,6.0,11.0,12.0,13.0,2014
82.0,65.0,45.5,76.0,79.5,56.0,69.5,45.0,48.0,77.5,76.5,73.5,68.5,67.0,83.0,63.5,79.5,74.5,84.0,79.5,70.5,88.0,85.0,51.0,68.5,57.0,79.5,87.0,88.0,10.0,6.0,11.0,12.0,13.0,2015
83.0,63.0,46.0,76.0,80.0,54.0,69.0,42.0,45.0,78.0,76.0,72.0,68.0,66.0,83.0,62.0,82.0,75.0,83.0,80.0,72.0,88.0,85.0,51.0,69.0,58.0,80.0,87.0,88.0,10.0,6.0,11.0,12.0,13.0,2016
