overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
56.0,39.0,47.0,54.0,42.0,75.0,54.0,70.0,42.0,33.0,42.0,61.0,66.0,80.0,68.0,76.0,63.0,68.0,68.0,52.0,52.0,33.0,25.0,38.0,64.0,26.0,22.0,26.0,29.0,10.0,21.0,33.0,21.0,21.0,2007
65.0,52.0,68.0,57.0,61.0,75.0,64.0,70.0,42.0,44.0,66.0,68.0,71.0,80.0,68.0,76.0,67.0,68.0,64.0,59.0,62.0,55.0,58.0,60.0,64.0,57.0,33.0,31.0,29.0,10.0,21.0,44.0,21.0,21.0,2008
73.5,74.0,78.5,67.0,69.0,75.0,74.5,70.0,42.0,44.5,78.0,78.0,79.0,80.0,74.0,76.0,74.5,68.0,71.5,73.0,65.0,65.0,67.0,73.0,64.0,67.0,28.5,31.0,29.0,10.0,21.0,44.5,21.0,21.0,2009
76.5,72.5,78.0,68.5,71.5,75.0,81.5,70.0,57.0,50.0,82.5,81.5,82.5,80.0,73.0,76.0,78.5,68.0,68.5,76.0,67.0,68.5,51.5,69.5,64.0,69.0,18.0,31.0,29.0,11.5,17.5,27.0,15.0,17.5,2010
75.5,70.0,73.0,68.5,74.0,76.0,82.5,72.0,72.0,55.0,80.5,81.0,80.0,78.0,72.0,71.0,83.0,68.0,60.5,77.5,70.0,71.5,33.0,68.5,66.0,66.0,12.0,31.0,29.0,13.0,14.0,9.0,9.0,14.0,2011
76.0,70.0,73.0,70.0,73.0,77.5,82.0,74.0,74.0,55.0,83.0,82.0,79.5,77.0,72.0,64.0,83.5,68.0,58.0,78.0,76.0,72.5,33.0,70.0,66.0,66.0,12.0,31.0,29.0,13.0,14.0,9.0,9.0,14.0,2012
76.62,83.0,68.0,70.0,74.38,79.0,82.0,76.0,74.0,57.75,82.5,83.0,86.25,77.0,73.38,62.0,87.0,68.0,66.62,78.0,77.0,71.0,35.38,73.88,66.88,66.0,23.25,37.0,29.0,13.0,14.0,9.0,9.0,14.0,2013
76.67,82.0,68.0,70.0,75.0,78.33,82.0,77.33,74.0,60.67,82.0,79.67,80.67,77.0,72.67,58.67,84.0,68.0,68.0,78.0,75.67,71.67,45.0,75.33,74.33,67.33,35.0,42.0,29.0,13.0,14.0,9.0,9.0,14.0,2014
78.5,82.88,69.5,70.88,78.5,78.88,83.5,78.88,74.0,67.25,83.5,79.88,77.25,76.12,72.88,57.0,73.12,68.0,68.0,83.88,68.38,72.88,45.88,77.38,78.88,75.0,45.5,55.12,29.88,13.88,14.88,9.88,9.88,14.88,2015
79.0,83.0,73.0,71.0,79.0,79.0,84.0,79.0,74.0,68.0,84.0,80.0,77.0,76.0,73.0,57.0,76.0,68.0,78.0,85.0,69.0,73.0,46.0,78.0,79.0,77.33,47.0,57.0,30.0,14.0,15.0,10.0,10.0,15.0,2016
