overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
72.5,48.0,34.0,71.0,60.0,28.0,39.0,41.0,55.5,62.0,66.5,66.0,64.0,64.0,67.0,74.0,55.0,71.0,70.5,73.0,42.0,72.0,68.0,70.0,65.0,65.0,72.5,75.0,66.0,8.0,17.5,62.0,16.0,13.5,2007
69.0,48.0,34.0,71.0,60.0,28.0,39.0,41.0,46.0,62.0,66.0,66.0,64.0,64.0,63.0,74.0,55.0,71.0,70.0,72.0,42.0,67.0,68.0,70.0,65.0,65.0,72.0,74.0,66.0,8.0,21.0,62.0,21.0,21.0,2008
68.0,48.0,34.0,71.0,60.0,28.0,39.0,41.0,46.0,62.0,66.0,66.0,64.0,64.0,60.0,74.0,55.0,71.0,73.0,72.0,42.0,67.0,72.0,70.0,65.0,65.0,72.0,74.0,66.0,8.0,21.0,62.0,21.0,21.0,2009
68.0,48.0,34.0,71.0,60.0,28.0,39.0,41.0,46.0,62.0,66.0,66.0,64.0,64.0,62.0,74.0,55.0,71.0,73.0,74.0,42.0,67.0,67.5,54.5,65.0,54.0,70.0,71.5,66.0,8.5,18.0,38.5,17.0,16.5,2010
66.5,48.0,34.0,68.0,60.0,28.0,39.0,41.0,46.0,56.5,58.5,65.0,66.0,64.5,64.0,68.5,55.0,75.5,70.5,75.5,42.0,66.0,63.0,39.0,60.0,43.0,65.0,68.0,65.0,9.0,15.0,15.0,13.0,12.0,2011
65.0,50.0,34.0,69.0,64.0,28.0,41.5,41.0,46.0,52.0,61.0,64.0,65.0,64.0,64.0,61.0,55.0,67.0,69.0,75.0,42.0,66.0,65.0,39.0,55.0,43.0,62.5,67.0,64.0,9.0,15.0,15.0,13.0,12.0,2012
65.57,50.71,39.14,69.0,65.14,31.86,49.14,41.0,46.0,56.43,62.14,67.43,62.86,63.14,64.0,58.43,62.29,68.71,73.43,78.43,52.29,75.43,67.0,40.29,51.57,39.57,60.14,67.86,60.14,9.0,15.0,15.0,13.0,12.0,2013
67.2,49.0,40.0,69.0,64.0,35.0,41.4,41.0,46.0,58.0,54.8,69.0,69.6,63.0,64.2,58.0,67.0,76.4,74.0,79.0,54.0,81.0,67.0,42.0,46.8,39.0,62.2,67.0,60.4,9.0,15.0,15.0,13.0,12.0,2014
71.29,49.0,39.71,69.57,65.57,34.71,42.43,41.29,46.29,60.57,57.14,68.71,74.0,63.57,68.71,58.57,66.71,80.86,71.29,78.43,52.0,81.29,72.86,41.71,45.29,40.43,69.0,71.43,69.0,9.29,15.29,15.29,13.29,12.29,2015
75.33,49.0,39.0,73.67,67.0,34.0,46.0,42.0,47.0,63.0,61.0,68.0,74.0,65.0,75.0,60.0,66.0,83.0,66.0,77.0,47.0,81.33,78.0,41.0,48.0,44.0,73.67,76.67,74.67,10.0,16.0,16.0,14.0,13.0,2016
