overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
72.0,70.0,65.0,60.5,74.0,70.0,76.5,75.0,66.5,67.0,74.5,74.5,77.0,82.0,68.5,59.0,68.5,60.0,61.0,56.0,70.5,51.0,75.0,68.0,79.0,59.0,26.0,28.0,26.0,13.0,14.0,67.0,17.0,14.5,2007
76.0,77.0,72.0,63.0,77.0,70.0,81.0,75.0,74.0,72.0,79.0,86.0,83.0,82.0,84.0,59.0,74.0,60.0,83.0,62.0,78.0,53.0,75.0,68.0,79.0,59.0,26.0,38.0,26.0,13.0,20.0,72.0,20.0,20.0,2008
76.0,74.0,67.0,63.0,77.0,70.0,81.0,75.0,74.0,72.0,79.0,86.0,83.0,82.0,84.0,59.0,74.0,60.0,82.0,62.0,75.0,62.0,75.0,66.0,79.0,54.0,26.0,38.0,26.0,13.0,20.0,72.0,20.0,20.0,2009
78.0,78.0,73.0,63.0,78.0,70.0,82.0,75.0,74.0,74.0,81.0,86.0,83.0,82.0,84.0,59.0,76.0,60.0,82.0,64.0,76.0,62.0,39.0,78.0,79.0,78.0,28.0,40.0,26.0,14.0,12.0,8.0,6.0,8.0,2010
81.0,79.5,76.0,62.0,78.0,71.5,81.5,79.5,75.5,74.0,79.5,88.0,83.5,89.0,83.0,75.5,74.5,53.0,80.0,56.0,76.5,57.0,39.0,74.0,76.0,76.5,29.0,33.0,32.0,14.0,12.0,8.0,6.0,8.0,2011
80.0,83.0,71.0,58.0,74.0,67.0,80.0,80.0,76.0,74.5,76.0,92.0,79.0,91.0,84.0,86.0,73.0,46.0,81.0,40.0,79.0,52.0,39.0,70.0,73.0,75.0,28.0,26.0,34.0,14.0,12.0,8.0,6.0,8.0,2012
82.56,83.0,71.0,58.0,83.0,72.0,80.0,82.0,75.0,79.0,86.0,92.0,79.0,91.0,85.89,82.0,72.0,46.0,81.0,32.0,76.0,52.0,39.0,79.0,80.44,72.0,28.0,26.0,34.0,14.0,12.0,8.0,6.0,8.0,2013
81.0,80.75,71.0,58.0,81.0,72.0,79.75,82.0,75.0,75.75,84.25,89.0,79.75,91.0,78.25,84.75,72.75,46.0,81.0,32.75,76.0,52.0,39.0,77.0,80.5,72.0,28.0,26.0,34.0,14.0,12.0,8.0,6.0,8.0,2014
80.67,80.0,70.33,58.0,81.33,72.0,80.0,82.0,76.67,75.0,83.0,90.0,82.0,91.0,78.0,93.0,75.0,43.33,77.67,35.0,76.0,52.0,39.0,76.0,79.67,65.0,23.33,26.0,34.0,14.0,12.0,8.0,6.0,8.0,2015
80.0,80.0,69.0,58.0,80.0,72.0,80.0,82.0,80.0,75.0,83.0,90.0,82.0,91.0,78.0,93.0,75.0,42.0,76.0,35.0,76.0,52.0,39.0,76.0,79.0,65.0,21.0,26.0,34.0,14.0,12.0,8.0,6.0,8.0,2016
