overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
60.0,62.0,53.0,67.0,67.0,51.0,33.0,59.0,34.5,59.0,45.0,77.0,37.0,71.0,49.0,74.0,53.0,77.0,89.0,56.0,38.0,74.0,33.0,74.0,70.0,53.0,57.0,69.0,79.0,7.0,14.5,59.0,18.5,16.0,2007
67.0,64.0,53.0,67.0,68.0,51.0,33.0,59.0,16.0,62.0,63.0,77.0,69.0,71.0,63.0,74.0,66.0,77.0,74.0,68.0,38.0,74.0,68.0,74.0,70.0,61.0,64.0,72.0,79.0,7.0,22.0,62.0,22.0,22.0,2008
74.0,72.5,53.0,67.0,70.0,51.0,62.0,59.0,26.0,65.0,71.0,77.0,76.5,71.0,75.0,74.0,66.0,77.0,85.0,78.0,48.0,74.0,71.0,79.0,70.0,64.0,72.0,77.0,79.0,7.0,22.0,65.0,22.0,22.0,2009
78.0,79.0,53.0,72.0,76.0,51.0,75.0,59.0,36.0,69.0,78.0,76.0,79.0,71.0,77.0,74.0,76.0,77.0,82.0,77.0,75.0,75.0,76.0,63.0,70.0,54.0,77.0,79.0,79.0,15.0,9.0,9.0,8.0,10.0,2010
78.5,82.0,45.0,71.5,76.0,61.0,76.5,65.0,58.0,73.0,76.5,76.5,80.0,72.0,76.0,68.0,76.0,73.5,82.5,75.0,73.0,77.5,77.0,69.5,71.5,58.0,75.0,80.0,80.5,15.0,9.0,9.0,8.0,10.0,2011
78.5,81.5,45.0,72.0,76.5,61.0,76.0,65.0,58.0,73.0,76.0,78.0,80.0,70.5,75.0,59.0,76.0,72.0,80.0,72.5,73.0,77.0,76.0,70.0,66.0,58.0,75.5,77.5,79.5,15.0,9.0,9.0,8.0,10.0,2012
73.27,76.91,45.0,72.91,74.36,60.82,69.64,65.36,46.18,71.27,74.0,74.55,76.64,68.27,73.55,59.0,70.27,69.55,78.09,68.36,67.45,76.0,72.36,67.55,62.91,57.36,72.09,75.55,74.55,15.0,9.0,9.0,8.0,10.0,2013
74.4,77.6,44.6,67.6,75.2,59.6,64.6,66.6,52.6,72.0,73.6,69.6,75.0,65.0,74.2,59.0,69.6,67.0,79.8,69.6,67.0,75.6,73.8,65.4,57.6,58.6,68.6,76.6,72.6,14.6,8.6,8.6,7.6,9.6,2014
74.0,77.5,44.5,67.5,73.5,59.5,64.5,66.5,52.5,71.5,73.5,69.0,75.0,65.0,72.5,59.0,69.5,67.0,79.5,69.0,67.5,75.5,72.5,65.5,49.5,58.5,70.0,75.5,74.0,14.5,8.5,8.5,7.5,9.5,2015
72.67,75.0,45.0,68.0,73.0,60.0,65.0,67.0,53.0,71.0,74.0,69.0,75.0,65.0,71.0,59.0,70.0,67.0,75.67,69.0,68.0,71.33,71.0,66.0,50.0,59.0,71.0,75.0,74.0,15.0,9.0,9.0,8.0,10.0,2016
