overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
72.0,68.0,42.0,66.0,74.0,49.0,70.0,58.0,43.0,69.0,74.0,78.0,76.0,74.0,76.0,75.0,72.0,68.0,76.0,72.0,65.0,76.0,74.0,74.0,74.0,72.0,68.0,69.0,73.0,5.0,22.0,69.0,22.0,22.0,2007
72.0,68.0,42.0,66.0,74.0,49.0,70.0,58.0,43.0,69.0,74.0,78.0,76.0,74.0,76.0,75.0,72.0,68.0,76.0,72.0,65.0,76.0,74.0,74.0,74.0,72.0,68.0,69.0,73.0,5.0,22.0,69.0,22.0,22.0,2008
74.5,69.0,48.0,63.0,75.5,49.0,68.5,58.0,44.0,71.5,73.5,79.0,77.0,74.0,77.5,75.0,73.5,68.0,85.5,75.0,60.0,78.0,77.5,75.0,74.0,73.0,71.5,75.0,73.0,6.5,22.0,71.5,22.0,22.0,2009
75.0,71.5,49.5,60.0,76.5,49.0,69.0,58.0,44.0,73.5,73.5,80.0,78.0,74.0,79.0,75.0,75.0,68.0,88.0,76.5,63.0,81.0,78.5,71.0,74.0,65.0,70.0,75.0,73.0,11.5,16.0,39.5,13.5,14.5,2010
79.0,79.0,57.0,59.0,79.0,54.0,75.5,69.0,48.0,76.0,79.5,83.5,79.5,78.0,80.0,73.5,75.0,66.0,91.0,77.0,68.0,82.0,77.0,70.0,76.5,60.0,73.0,80.0,78.0,15.0,10.0,5.0,5.0,7.0,2011
80.0,81.0,58.0,60.0,78.0,54.0,76.0,70.5,48.0,76.0,79.5,83.5,78.5,79.0,81.5,73.0,75.0,66.0,92.0,74.0,68.0,82.0,77.5,72.0,77.0,60.0,74.0,80.0,79.0,15.0,10.0,5.0,5.0,7.0,2012
78.17,82.92,59.17,59.17,78.75,65.08,75.75,75.83,48.5,74.58,78.25,83.83,80.67,83.33,76.08,78.0,70.67,67.92,82.33,66.83,71.0,76.42,77.0,73.33,72.42,62.0,68.83,76.75,78.08,13.5,9.5,5.17,5.17,7.0,2013
76.17,81.75,55.83,58.0,74.42,56.33,75.33,77.25,61.25,74.0,75.67,84.58,82.0,85.17,70.33,83.58,62.0,70.75,81.42,60.42,63.75,75.5,73.33,71.67,69.42,70.33,67.83,73.42,77.58,6.0,7.0,6.0,6.0,6.58,2014
76.0,81.5,50.5,57.5,73.0,54.5,75.5,78.5,63.5,73.5,76.5,84.5,77.0,86.0,73.5,81.75,63.5,66.5,81.5,55.5,63.5,76.0,76.5,72.5,66.0,70.5,73.0,75.5,80.0,6.5,7.5,6.5,6.5,6.5,2015
75.0,80.0,50.0,52.0,75.0,58.0,76.0,80.0,64.0,73.0,76.33,85.0,75.0,85.0,76.0,78.0,65.0,61.0,80.67,56.67,67.0,76.0,78.33,73.0,66.0,71.0,77.0,76.67,81.33,7.0,8.0,7.0,7.0,7.0,2016
