overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
74.0,78.0,55.0,60.0,76.0,63.0,72.0,69.0,53.0,79.0,71.0,63.0,62.0,73.0,63.0,76.0,63.0,71.0,72.0,45.0,56.0,41.0,64.0,63.0,77.0,67.0,29.0,21.0,78.0,7.0,21.0,79.0,21.0,21.0,2007
69.0,76.0,55.0,60.0,76.0,63.0,73.0,69.0,53.0,79.0,73.0,69.0,72.0,73.0,67.0,76.0,69.0,71.0,72.0,68.0,72.0,72.0,64.0,68.0,77.0,67.0,64.0,61.0,78.0,7.0,21.0,79.0,21.0,21.0,2008
74.5,77.5,57.5,60.0,75.0,63.0,73.0,69.0,45.0,77.5,73.0,72.5,73.5,73.0,73.5,76.0,75.0,71.0,86.0,79.5,73.0,78.0,70.5,71.5,77.0,71.0,69.5,75.5,78.0,7.0,21.0,77.5,21.0,21.0,2009
76.5,79.0,68.5,62.5,74.5,63.0,73.0,69.0,62.5,76.5,74.0,76.5,75.5,73.0,78.5,76.0,79.0,71.0,85.5,78.0,76.5,80.0,77.0,77.5,77.0,75.5,75.0,79.0,78.0,11.0,14.0,41.0,15.0,14.5,2010
77.5,79.0,68.5,63.0,75.0,63.0,73.5,69.0,63.0,74.5,74.5,76.5,76.0,73.5,79.5,79.0,80.0,74.0,88.0,77.5,77.0,80.0,78.0,75.0,76.5,71.5,75.0,79.0,78.0,15.0,7.0,5.0,9.0,8.0,2011
78.5,78.0,65.5,63.0,76.0,59.0,75.5,69.0,63.0,73.0,75.5,82.0,78.0,76.0,80.0,82.0,77.5,76.0,92.0,77.0,71.0,81.0,78.0,75.5,68.5,70.0,77.0,80.5,80.5,15.0,7.0,5.0,9.0,8.0,2012
76.64,75.0,66.55,63.0,75.0,61.0,76.0,69.0,63.0,73.0,75.0,78.27,75.0,76.0,77.82,82.0,79.0,76.0,84.55,75.0,68.0,83.55,77.09,77.73,68.0,70.0,75.82,79.64,78.27,15.0,7.0,5.0,9.0,8.0,2013
76.6,75.6,62.0,63.0,75.0,60.0,76.0,69.0,63.0,73.0,75.0,75.0,71.6,76.0,74.0,82.0,82.0,76.0,83.6,69.4,68.0,90.0,76.0,76.4,68.0,70.0,76.0,79.0,77.6,15.0,7.0,5.0,9.0,8.0,2014
78.12,77.12,62.12,64.62,75.25,60.12,76.38,69.12,63.12,73.12,76.88,75.5,74.0,76.0,77.0,82.88,82.12,76.0,89.38,68.0,68.12,90.25,77.88,75.62,68.12,69.12,77.38,79.62,78.62,15.12,7.12,5.12,9.12,8.12,2015
79.0,78.0,63.0,67.0,76.0,61.0,77.0,70.0,64.0,74.0,77.0,77.0,76.0,76.0,79.0,83.0,81.0,76.0,89.0,68.0,69.0,92.0,79.0,74.0,69.0,69.0,78.0,82.0,83.0,16.0,8.0,6.0,10.0,9.0,2016
