overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
80.0,72.0,69.0,73.0,80.0,64.0,89.0,64.0,66.0,72.0,90.0,75.0,76.0,79.0,78.0,74.0,78.0,72.0,78.0,76.0,61.0,63.0,61.0,73.0,70.0,71.0,76.0,77.0,73.0,12.0,14.0,72.0,14.0,16.5,2007
80.0,86.0,69.0,74.0,84.0,64.0,84.0,64.0,62.0,78.0,86.0,81.0,82.0,79.0,79.0,74.0,78.0,72.0,83.0,81.0,63.0,69.0,79.0,77.0,70.0,75.0,78.0,77.0,73.0,12.0,21.0,78.0,21.0,21.0,2008
81.0,86.0,63.0,72.0,82.5,64.0,82.5,64.0,56.5,78.0,83.5,82.5,84.5,79.0,79.5,74.0,74.0,72.0,82.5,77.5,62.5,73.0,82.0,81.0,70.0,80.0,79.0,81.0,73.0,12.0,21.0,78.0,21.0,21.0,2009
79.0,81.0,57.0,68.0,81.0,64.0,79.0,64.0,51.0,77.0,81.0,81.0,81.5,79.0,78.0,74.0,70.0,72.0,80.0,72.0,65.0,69.0,79.5,77.5,70.0,69.0,78.0,81.0,73.0,9.0,13.0,46.0,16.5,13.0,2010
77.5,81.0,57.0,68.0,81.0,64.0,76.0,64.0,51.0,77.0,81.0,76.5,79.0,79.0,78.0,67.5,70.0,72.0,77.0,71.5,65.0,69.0,77.0,74.0,70.0,58.0,78.0,81.0,73.0,6.0,5.0,15.0,12.0,5.0,2011
77.0,81.0,57.0,68.0,81.0,64.0,72.0,64.0,51.0,77.0,81.0,73.0,75.0,79.0,78.0,61.0,70.0,72.0,77.0,71.0,65.0,69.0,77.0,74.0,70.0,58.0,78.0,81.0,73.0,6.0,5.0,15.0,12.0,5.0,2012
77.0,83.0,57.0,68.0,81.0,64.0,68.0,64.0,51.0,77.0,81.0,73.0,75.0,79.0,78.0,61.0,70.0,72.0,79.0,77.0,65.0,69.0,77.0,74.0,70.0,58.0,78.0,77.0,73.0,6.0,5.0,15.0,12.0,5.0,2013
77.0,83.0,61.67,68.0,81.0,64.0,72.0,64.0,51.0,77.0,83.0,73.0,75.0,79.0,78.0,61.0,68.0,72.0,79.0,70.33,65.0,69.0,77.0,74.0,74.0,58.0,76.0,77.0,73.0,6.0,5.0,15.0,12.0,5.0,2014
77.8,84.2,66.4,69.6,81.4,65.6,75.2,68.4,51.4,80.2,83.2,72.2,74.6,77.8,78.6,68.0,70.4,72.0,81.6,70.2,67.2,71.8,77.4,74.4,76.4,58.4,76.6,78.6,75.6,6.4,5.4,15.4,12.4,5.4,2015
79.0,86.0,67.0,72.0,82.0,67.0,75.0,69.0,52.0,82.0,83.0,71.0,74.0,76.0,77.0,72.0,71.0,72.0,83.0,70.0,69.0,74.0,78.0,71.0,74.0,59.0,79.0,79.0,75.0,7.0,6.0,16.0,13.0,6.0,2016
