overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
60.5,53.5,49.5,54.5,57.5,67.0,61.5,73.0,52.5,51.5,55.5,71.5,67.5,76.0,64.5,72.0,56.5,68.0,77.5,79.5,71.5,82.5,56.0,56.0,77.0,54.5,48.5,55.5,66.0,3.0,18.0,51.5,16.5,17.5,2007
68.0,59.0,51.0,56.0,74.0,67.0,72.0,73.0,52.0,70.0,71.0,73.0,69.0,76.0,66.0,72.0,58.0,68.0,79.0,72.0,63.0,57.0,68.0,62.0,77.0,56.0,54.0,47.0,66.0,3.0,22.0,70.0,22.0,22.0,2008
72.5,64.5,51.0,56.0,78.0,67.0,73.5,73.0,55.5,72.0,73.5,73.0,73.5,76.0,69.5,72.0,58.0,68.0,82.5,71.5,63.0,72.5,81.5,72.0,77.0,63.0,69.0,68.5,66.0,3.0,22.0,72.0,22.0,22.0,2009
74.5,69.0,51.0,56.0,82.0,67.0,72.5,73.0,76.0,73.0,77.0,73.0,74.0,76.0,73.0,72.0,58.0,68.0,80.5,71.0,63.0,70.0,78.0,73.0,77.0,62.5,70.0,73.0,66.0,9.0,14.0,42.0,16.5,17.0,2010
75.0,68.0,51.0,56.0,82.0,67.0,75.0,73.0,76.0,72.0,78.0,71.0,68.0,80.0,73.0,81.0,74.0,74.0,78.0,70.0,67.0,67.0,74.0,71.0,77.0,55.0,64.0,73.0,66.0,15.0,6.0,10.0,11.0,12.0,2011
75.5,68.0,51.0,56.0,82.0,67.0,75.0,73.0,76.0,72.0,78.0,67.0,68.0,79.5,73.0,75.0,74.0,74.0,82.0,70.0,67.0,67.0,74.0,71.0,77.0,55.0,64.0,73.0,66.0,15.0,6.0,10.0,11.0,12.0,2012
73.33,66.67,51.0,56.0,80.67,65.0,74.33,78.33,74.0,73.33,78.0,67.0,68.0,79.0,69.0,75.0,73.33,74.0,75.33,70.0,67.0,67.0,66.67,67.67,76.33,57.0,60.0,71.0,60.0,15.0,6.0,10.0,11.0,12.0,2013
73.33,66.0,51.0,56.0,81.67,64.0,74.0,81.0,74.0,74.0,78.0,66.67,67.67,79.0,67.0,75.0,73.0,74.0,75.0,72.5,67.0,67.0,67.0,66.0,76.0,58.0,58.0,70.0,57.0,15.0,6.0,10.0,11.0,12.0,2014
76.0,67.0,52.0,57.0,84.0,65.0,77.0,82.0,75.0,74.0,80.0,67.5,64.5,78.5,76.0,80.0,74.0,74.0,78.5,69.5,68.0,68.0,71.0,67.0,77.0,59.0,69.0,74.0,58.0,16.0,7.0,11.0,12.0,13.0,2015
76.0,67.0,52.0,57.0,84.0,65.0,77.0,82.0,75.0,77.0,80.0,67.0,63.0,78.0,76.0,79.0,74.0,74.0,78.0,69.0,68.0,68.0,71.0,67.0,77.0,59.0,75.0,76.0,65.0,16.0,7.0,11.0,12.0,13.0,2016
