overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
64.0,59.0,48.0,52.0,64.0,52.0,62.0,45.0,43.0,58.0,63.0,73.0,68.0,80.0,68.0,62.0,43.0,67.0,73.0,59.0,48.0,55.0,63.0,77.0,60.0,60.0,41.0,48.0,12.0,11.0,20.0,58.0,20.0,20.0,2007
64.0,59.0,48.0,52.0,64.0,52.0,62.0,45.0,43.0,58.0,63.0,73.0,68.0,80.0,68.0,62.0,43.0,67.0,73.0,59.0,48.0,55.0,63.0,77.0,60.0,60.0,41.0,48.0,12.0,11.0,20.0,58.0,20.0,20.0,2008
74.0,70.0,57.0,52.0,74.0,52.0,84.0,45.0,43.0,58.0,81.5,79.0,79.0,80.0,68.0,62.0,68.0,67.0,73.0,59.0,60.5,55.0,63.0,77.0,60.0,60.0,20.0,20.0,12.0,9.5,20.0,58.0,20.0,20.0,2009
72.0,71.0,66.0,52.0,73.5,52.0,81.0,45.0,43.0,58.0,77.0,74.0,73.0,80.0,68.0,62.0,68.0,67.0,73.0,59.0,50.0,55.0,64.5,77.0,60.0,56.0,18.5,16.5,12.0,8.5,13.5,36.0,17.5,15.0,2010
74.0,68.0,66.0,48.0,74.0,70.5,79.0,63.5,68.0,61.0,77.0,75.0,70.5,81.0,68.0,71.0,68.0,58.0,73.0,59.5,73.0,73.0,44.0,77.0,80.0,76.0,17.0,14.5,16.0,9.0,7.0,14.0,15.0,10.0,2011
73.5,71.0,66.0,50.0,71.0,62.5,76.5,68.0,73.0,64.5,76.0,75.0,80.0,81.0,70.5,80.0,76.0,60.0,73.0,60.0,71.0,71.5,47.0,76.5,74.0,75.0,22.0,28.5,27.0,9.0,7.0,14.0,15.0,10.0,2012
74.0,73.8,64.8,51.6,69.0,54.0,77.0,73.2,78.0,67.6,74.2,75.0,79.8,81.4,72.2,80.6,85.0,60.0,73.0,60.0,70.0,69.0,48.0,76.0,74.0,75.0,27.0,41.0,34.0,9.0,7.0,14.0,15.0,10.0,2013
73.43,75.71,62.0,48.14,73.71,51.14,74.43,74.71,79.43,76.29,77.14,74.71,71.14,78.14,70.86,79.86,80.86,58.14,72.0,60.14,75.29,65.57,66.29,75.71,77.57,74.29,28.57,48.0,41.14,9.0,7.0,14.0,15.0,10.0,2014
77.67,71.67,56.67,49.67,83.0,52.67,74.67,76.67,82.67,79.33,79.67,72.33,67.67,78.5,77.33,80.5,81.67,59.0,80.83,64.0,71.0,66.67,71.67,76.67,78.67,75.67,39.33,64.67,54.67,9.67,7.67,14.67,15.67,10.67,2015
79.0,72.0,57.0,50.0,86.0,53.0,76.0,77.0,83.0,80.0,81.0,72.0,68.0,78.0,79.0,80.0,82.0,59.0,83.0,67.0,68.0,67.0,72.0,77.0,80.0,76.0,44.0,65.0,55.0,10.0,8.0,15.0,16.0,11.0,2016
