overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
60.0,54.0,46.0,58.0,68.0,53.0,57.0,56.0,47.0,53.0,54.0,59.0,65.0,65.0,62.0,69.0,63.0,61.0,50.0,47.0,66.0,47.0,59.0,61.0,66.0,49.0,24.0,27.0,66.0,7.0,22.0,53.0,22.0,22.0,2007
60.0,54.0,46.0,58.0,68.0,53.0,57.0,56.0,47.0,53.0,54.0,59.0,65.0,65.0,62.0,69.0,63.0,61.0,50.0,47.0,66.0,47.0,59.0,61.0,66.0,49.0,24.0,27.0,66.0,7.0,22.0,53.0,22.0,22.0,2008
63.0,54.0,53.0,58.0,68.0,53.0,63.0,56.0,47.0,53.0,65.0,62.0,68.0,65.0,67.0,69.0,63.0,61.0,50.0,47.0,66.0,47.0,59.0,61.0,66.0,49.0,24.0,27.0,66.0,7.0,22.0,53.0,22.0,22.0,2009
69.0,54.0,53.0,58.0,75.0,53.0,64.0,56.0,60.0,67.0,71.0,65.0,71.0,65.0,70.0,69.0,75.0,61.0,78.0,68.0,73.0,67.0,69.0,63.0,66.0,62.0,38.0,69.0,66.0,10.0,5.0,7.0,8.0,9.0,2010
66.5,56.0,53.0,58.0,69.5,53.0,62.0,56.0,60.0,67.5,67.0,59.5,69.5,65.0,70.0,69.5,75.0,56.0,75.5,67.5,72.0,69.0,60.0,60.0,66.0,62.0,46.0,58.0,54.0,10.0,5.0,7.0,8.0,9.0,2011
70.5,58.0,46.0,58.0,73.5,56.0,67.0,59.0,62.0,72.5,74.0,72.5,68.5,66.5,72.0,71.0,74.5,53.0,76.5,65.5,68.0,75.5,70.0,63.0,70.5,62.0,52.0,67.5,69.0,10.0,5.0,7.0,8.0,9.0,2012
72.55,63.73,49.0,58.0,78.36,59.27,66.82,65.27,64.0,75.09,76.45,68.0,66.27,64.45,71.91,72.0,74.18,54.09,79.55,66.82,68.0,77.45,69.09,66.36,71.36,62.0,58.18,66.82,71.27,10.0,5.0,7.0,8.0,9.0,2013
71.75,65.25,48.75,57.75,76.75,59.75,65.25,65.75,63.75,73.75,74.25,67.0,65.0,62.0,71.25,72.0,73.75,55.0,78.75,67.0,68.0,76.75,68.75,64.75,70.75,61.75,59.75,66.25,69.75,9.75,4.75,6.75,7.75,8.75,2014
71.5,65.75,48.75,57.75,74.75,59.75,65.0,65.75,63.75,73.0,74.5,67.0,65.0,65.0,72.5,72.0,73.75,55.0,78.0,67.0,68.75,77.0,70.5,65.75,71.5,61.75,59.75,69.25,69.75,9.75,4.75,6.75,7.75,8.75,2015
71.0,66.0,49.0,58.0,72.0,60.0,65.0,66.0,64.0,71.0,75.0,67.0,65.0,65.0,73.0,72.0,74.0,55.0,78.0,67.0,69.0,77.0,71.0,64.0,69.0,62.0,60.0,70.0,70.0,10.0,5.0,7.0,8.0,9.0,2016
