overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
49.0,32.0,32.0,26.0,56.0,40.0,35.0,62.0,37.0,46.0,49.0,57.0,57.0,77.0,63.0,82.0,39.0,74.0,40.0,54.0,36.0,61.0,57.0,59.0,77.0,50.0,64.0,58.0,78.0,9.0,21.0,46.0,21.0,21.0,2007
69.0,53.0,39.0,59.0,67.0,40.0,58.0,62.0,37.0,65.0,63.0,73.0,68.0,77.0,66.0,82.0,39.0,74.0,67.0,72.0,47.0,78.0,74.0,76.0,77.0,75.0,69.0,73.0,78.0,9.0,21.0,65.0,21.0,21.0,2008
75.0,64.0,58.0,69.0,75.0,40.0,73.0,62.0,39.0,73.0,74.0,81.0,73.0,77.0,75.0,82.0,62.0,74.0,78.0,74.0,62.0,85.0,78.0,84.0,77.0,79.0,76.0,81.0,78.0,9.0,21.0,73.0,21.0,21.0,2009
75.5,69.5,71.0,69.0,76.5,40.0,73.0,62.0,70.5,74.0,74.0,81.0,77.0,77.0,76.5,82.0,77.5,74.0,79.5,80.0,72.0,83.0,75.0,78.0,77.0,65.5,76.5,81.0,78.0,11.0,14.0,41.5,15.0,14.0,2010
76.0,69.5,71.0,69.0,75.5,64.0,75.0,66.0,71.5,70.5,76.0,83.0,83.5,81.0,81.0,71.0,84.0,74.0,87.5,87.5,74.5,81.0,74.5,72.5,72.5,62.5,76.5,78.5,75.0,13.0,7.0,10.0,9.0,7.0,2011
75.5,70.0,72.0,69.0,74.0,65.0,75.0,70.0,73.0,70.0,74.5,85.0,86.0,77.0,79.5,58.0,85.0,74.0,92.0,88.5,72.5,79.0,75.0,74.0,71.0,67.0,73.5,77.5,73.0,13.0,7.0,10.0,9.0,7.0,2012
75.0,67.6,71.6,69.0,73.4,65.4,75.0,66.0,73.0,68.4,74.0,82.6,82.0,72.0,78.0,58.0,85.0,74.0,92.0,86.0,69.4,75.0,75.0,75.0,68.4,67.0,72.0,76.0,72.0,13.0,7.0,10.0,9.0,7.0,2013
76.12,69.38,71.0,69.0,77.62,66.0,78.12,68.62,73.0,70.38,75.62,80.38,78.38,72.25,78.0,58.0,84.12,74.0,92.0,86.0,70.0,75.88,75.0,75.0,67.75,67.0,68.0,73.0,71.0,13.0,7.0,10.0,9.0,7.0,2014
77.75,75.75,71.75,69.75,79.75,66.75,79.75,74.75,73.75,74.75,81.75,79.5,82.0,76.0,78.75,63.0,84.75,77.0,92.0,86.0,70.75,76.75,75.75,75.75,67.75,67.75,68.75,73.75,71.75,13.75,7.75,10.75,9.75,7.75,2015
79.5,76.0,72.0,70.0,79.5,67.0,80.0,75.0,74.0,74.5,80.5,79.0,82.0,76.0,79.0,63.0,85.0,77.0,92.0,86.0,71.0,77.0,76.0,76.0,68.0,68.0,69.0,73.0,71.5,14.0,8.0,11.0,10.0,8.0,2016
