overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
65.0,53.0,70.0,32.0,69.0,60.0,73.0,61.0,61.0,59.0,74.0,64.0,72.0,69.0,46.0,54.0,72.0,58.0,52.0,47.0,68.0,25.0,39.0,42.0,71.0,55.0,23.0,23.0,21.0,6.0,21.0,59.0,21.0,21.0,2007
65.0,53.0,70.0,32.0,69.0,60.0,73.0,61.0,61.0,59.0,74.0,64.0,72.0,69.0,46.0,54.0,72.0,58.0,52.0,47.0,68.0,25.0,39.0,42.0,71.0,55.0,23.0,23.0,21.0,6.0,21.0,59.0,21.0,21.0,2008
66.0,53.0,70.0,32.0,69.0,60.0,73.0,61.0,61.0,59.0,74.0,70.0,72.0,69.0,67.0,54.0,72.0,58.0,70.0,47.0,68.0,48.0,61.0,42.0,71.0,68.0,23.0,23.0,21.0,6.0,21.0,59.0,21.0,21.0,2009
67.0,53.0,70.0,32.0,69.0,60.0,73.0,61.0,61.0,59.0,74.0,70.0,71.0,69.0,67.0,54.0,72.0,58.0,69.5,50.0,68.0,48.0,48.0,55.5,71.0,65.5,23.0,23.0,21.0,10.5,17.0,36.5,15.0,14.0,2010
70.5,57.5,70.0,45.5,68.5,69.0,77.5,70.5,61.0,59.0,75.5,72.5,74.0,76.5,69.0,57.5,72.0,61.0,68.0,69.5,66.0,48.0,35.0,68.5,71.0,65.5,23.0,23.0,21.0,15.0,13.0,14.0,9.0,7.0,2011
73.5,61.0,76.0,59.0,70.0,71.0,80.0,72.0,60.0,64.0,79.0,71.0,76.0,82.0,71.0,56.0,72.0,64.0,67.0,68.0,68.0,48.0,35.0,75.0,72.0,67.0,22.0,22.0,20.0,15.0,13.0,14.0,9.0,7.0,2012
71.0,61.0,71.33,59.0,70.0,68.67,81.0,71.67,60.0,64.0,79.0,71.0,76.0,82.0,67.0,56.0,71.0,64.0,67.0,68.0,67.0,48.0,35.0,64.0,67.0,73.0,22.0,22.0,20.0,15.0,13.0,14.0,9.0,7.0,2013
70.0,61.0,66.0,59.0,70.0,64.0,80.67,71.0,60.0,64.0,77.0,70.33,75.67,82.0,67.33,56.67,71.0,64.0,67.0,67.33,61.67,44.67,35.0,66.67,63.0,70.33,24.0,24.0,23.33,15.0,13.0,14.0,9.0,7.0,2014
69.67,66.33,66.67,59.67,68.67,64.67,77.67,70.67,60.67,64.67,76.33,65.67,68.0,78.0,68.67,58.0,70.67,64.0,67.0,66.0,61.67,43.67,35.67,68.67,63.67,69.67,21.0,17.67,19.67,15.67,13.67,14.67,9.67,7.67,2015
70.0,69.0,67.0,60.0,69.0,65.0,77.0,71.0,61.0,65.0,77.0,64.0,65.0,77.0,69.0,58.0,71.0,64.0,67.0,66.0,62.0,44.0,36.0,69.0,64.0,70.0,19.0,14.0,17.0,16.0,14.0,15.0,10.0,8.0,2016
