overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
73.0,55.0,74.0,78.0,65.0,75.0,70.0,67.0,31.0,41.0,70.0,71.0,73.0,67.0,70.0,71.0,75.0,89.0,67.0,73.0,61.0,59.0,58.0,61.0,70.0,63.0,21.0,22.0,44.0,7.0,22.0,41.0,22.0,22.0,2007
77.0,57.0,82.0,89.0,70.0,75.0,73.0,67.0,31.0,41.0,79.0,71.0,74.0,67.0,78.0,71.0,78.0,89.0,69.0,79.0,62.0,65.0,58.0,69.0,70.0,72.0,21.0,22.0,44.0,7.0,22.0,41.0,22.0,22.0,2008
78.0,67.0,83.0,89.0,72.0,75.0,74.0,67.0,31.0,54.0,77.0,72.0,75.0,67.0,79.0,71.0,78.0,89.0,76.0,79.0,64.0,67.0,68.0,78.0,70.0,77.0,21.0,22.0,44.0,7.0,22.0,54.0,22.0,22.0,2009
79.0,78.0,82.0,89.0,75.0,75.0,74.0,67.0,31.0,56.0,77.0,75.5,79.5,67.0,81.0,71.0,78.0,89.0,78.0,81.5,70.0,67.0,51.5,81.0,70.0,76.5,52.5,45.0,44.0,10.5,14.0,30.0,14.5,18.0,2010
78.5,79.0,79.0,86.0,75.0,74.0,73.5,67.0,31.0,58.0,76.5,74.0,80.0,66.0,82.0,57.0,78.0,71.0,75.0,80.0,70.0,67.0,35.0,82.5,70.0,77.0,48.0,45.0,44.0,14.0,6.0,6.0,7.0,14.0,2011
77.5,73.5,76.5,81.0,75.5,73.0,73.0,67.0,31.0,58.0,76.0,70.5,75.5,65.0,76.0,43.0,77.5,56.0,73.0,79.0,69.5,67.0,35.0,79.0,70.0,78.0,48.0,45.0,44.0,14.0,6.0,6.0,7.0,14.0,2012
75.29,63.29,77.14,84.0,69.57,74.0,68.57,62.0,30.14,55.86,74.29,57.71,67.71,56.29,76.0,51.43,80.0,69.0,65.0,84.14,60.0,61.57,29.43,81.14,61.0,76.29,30.86,33.71,28.57,14.0,6.0,6.0,7.0,14.0,2013
75.0,66.0,78.33,84.0,69.0,74.0,68.0,62.0,40.0,55.0,76.0,54.0,68.0,58.0,76.0,52.0,80.0,69.33,65.0,82.0,60.0,60.0,28.0,79.67,62.67,76.0,26.0,30.0,28.0,14.0,6.0,6.0,7.0,14.0,2014
75.0,61.33,75.67,82.67,69.33,74.0,68.0,62.0,40.67,52.33,76.67,54.0,68.0,60.0,75.33,49.33,80.67,70.0,61.0,83.33,60.67,62.67,28.67,76.0,64.67,76.67,26.67,34.0,28.0,14.67,6.67,6.67,7.67,14.67,2015
74.33,59.0,74.0,83.0,70.0,74.0,68.0,62.0,41.0,51.0,76.33,54.0,68.0,60.0,74.33,48.0,81.0,70.0,59.0,84.0,61.0,64.0,29.0,74.33,64.0,77.0,27.0,36.0,28.0,15.0,7.0,7.0,8.0,15.0,2016
