overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
50.0,33.0,44.0,51.0,48.0,60.0,51.0,50.0,45.0,22.0,56.0,63.0,64.0,81.0,34.0,57.0,47.0,59.0,42.0,41.0,42.0,33.0,35.0,27.0,64.0,36.0,21.0,21.0,18.0,2.0,21.0,22.0,21.0,21.0,2007
48.0,33.0,44.0,51.0,48.0,60.0,51.0,50.0,45.0,22.0,56.0,63.0,64.0,81.0,34.0,57.0,47.0,59.0,42.0,41.0,42.0,33.0,35.0,27.0,64.0,36.0,21.0,21.0,18.0,2.0,21.0,22.0,21.0,21.0,2008
46.5,33.0,44.0,51.0,48.0,60.0,51.0,50.0,45.0,22.0,56.0,63.0,64.0,81.0,34.0,57.0,47.0,59.0,42.0,41.0,42.0,33.0,35.0,27.0,64.0,36.0,21.0,21.0,18.0,2.0,21.0,22.0,21.0,21.0,2009
65.0,59.0,67.5,51.5,62.5,60.0,69.5,50.0,50.5,46.5,66.0,76.0,73.5,81.0,64.0,57.0,52.5,59.0,59.5,42.0,47.0,33.0,44.5,53.5,64.0,44.5,16.5,18.0,18.0,3.5,18.0,23.5,13.5,17.0,2010
70.0,66.0,66.5,52.0,70.0,63.5,75.0,55.0,57.0,55.5,73.0,79.5,77.0,82.0,69.0,69.0,58.5,68.5,74.5,45.5,53.5,30.0,43.0,65.0,68.0,64.0,12.0,15.0,18.0,5.0,15.0,5.0,6.0,13.0,2011
73.0,69.0,68.5,52.0,74.0,66.0,76.5,60.0,60.0,62.0,74.5,82.0,79.5,84.5,76.0,81.0,62.5,78.0,72.0,44.5,57.5,27.0,43.0,69.5,70.5,64.0,12.0,15.0,18.0,5.0,15.0,5.0,6.0,13.0,2012
74.75,66.62,72.25,53.12,73.75,68.0,78.38,61.25,60.0,64.75,76.38,87.0,85.5,87.0,80.75,84.62,68.12,78.0,75.12,56.75,63.25,51.25,48.25,73.88,72.25,70.75,21.38,30.38,24.75,5.0,15.0,5.0,6.0,13.0,2013
77.0,67.0,76.4,55.0,75.0,68.0,81.0,62.0,60.0,66.0,80.0,89.0,87.0,87.0,80.8,86.2,70.8,78.0,78.8,59.2,64.8,68.8,57.0,77.8,75.6,72.0,37.0,56.0,36.0,5.0,15.0,5.0,6.0,13.0,2014
75.0,67.33,70.67,55.33,73.0,67.0,79.0,62.33,60.33,66.33,76.33,89.5,87.0,87.0,77.33,86.0,70.33,78.0,76.0,58.33,63.67,74.33,54.0,74.67,72.33,72.33,37.33,54.33,36.33,5.33,15.33,5.33,6.33,13.33,2015
75.0,70.0,66.0,56.0,73.0,67.0,77.0,63.0,61.0,67.0,77.0,89.0,87.0,87.0,72.0,84.0,71.0,78.0,76.0,57.0,63.0,72.0,48.0,74.0,70.0,73.0,38.0,53.0,37.0,6.0,16.0,6.0,7.0,14.0,2016
