overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
65.0,49.0,69.0,58.0,62.0,64.0,56.0,54.0,46.5,34.0,62.0,68.0,69.0,72.0,58.0,68.0,64.0,71.0,60.0,49.0,64.0,43.0,53.0,51.0,67.0,54.0,28.0,34.0,26.0,8.0,15.0,34.0,13.5,14.0,2007
70.0,73.0,74.0,72.0,68.0,64.0,71.0,54.0,56.0,55.0,67.0,74.0,75.0,72.0,68.0,68.0,73.0,71.0,69.0,58.0,71.0,43.0,58.0,64.0,67.0,54.0,28.0,34.0,26.0,8.0,21.0,55.0,21.0,21.0,2008
69.0,72.0,65.0,66.0,62.0,64.0,73.0,54.0,56.0,51.0,64.0,78.0,75.0,72.0,68.0,68.0,73.0,71.0,69.0,58.0,70.0,43.0,62.0,64.0,67.0,54.0,28.0,46.0,26.0,8.0,21.0,51.0,21.0,21.0,2009
69.0,72.0,65.0,66.0,62.0,64.0,73.0,54.0,56.0,51.0,64.0,78.0,75.0,72.0,68.0,68.0,73.0,71.0,69.0,58.0,70.0,43.0,53.0,58.0,67.0,71.0,28.0,46.0,26.0,14.0,7.0,11.0,8.0,14.0,2010
71.0,73.0,66.5,66.0,69.0,64.0,74.5,54.0,56.0,58.5,67.0,78.0,78.5,77.0,69.0,66.0,73.0,65.0,71.5,58.0,70.0,43.0,43.0,62.5,70.0,71.0,28.0,46.0,26.0,14.0,7.0,11.0,8.0,14.0,2011
74.5,74.5,60.5,66.0,76.5,64.0,78.0,57.0,56.0,68.0,74.0,80.5,82.5,82.0,71.0,67.0,73.0,59.0,74.0,65.0,70.0,50.5,47.5,67.0,73.0,71.0,35.0,48.5,26.0,14.0,7.0,11.0,8.0,14.0,2012
72.0,70.8,62.4,60.6,72.8,64.0,73.8,60.0,56.0,69.6,69.8,78.2,81.2,72.0,69.2,70.0,70.2,59.0,69.8,72.0,68.4,56.0,52.0,67.8,72.0,71.0,42.0,51.0,26.0,14.0,7.0,11.0,8.0,14.0,2013
74.2,74.2,65.6,57.2,74.4,64.0,75.8,60.4,56.0,69.4,74.0,80.8,79.6,70.0,72.0,70.0,73.6,59.0,71.6,74.4,67.6,56.0,52.6,73.0,74.0,71.0,42.6,51.0,26.0,14.0,7.0,11.0,8.0,14.0,2014
74.0,75.5,64.5,58.5,74.5,64.5,74.5,62.5,56.5,69.5,74.5,78.0,83.0,72.0,74.5,70.0,72.5,59.0,69.0,72.5,66.5,56.5,55.5,73.5,74.5,71.5,45.5,51.5,26.5,14.5,7.5,11.5,8.5,14.5,2015
74.0,76.0,65.0,59.0,75.0,65.0,75.0,63.0,57.0,70.0,75.0,78.0,83.0,74.0,73.0,70.0,73.0,59.0,68.0,73.0,67.0,57.0,56.0,74.0,75.0,72.0,46.0,52.0,27.0,15.0,8.0,12.0,9.0,15.0,2016
