overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
69.0,62.5,55.0,66.0,65.0,47.0,63.0,44.0,57.5,67.0,62.0,67.0,62.0,62.0,64.5,72.0,62.5,74.0,63.0,64.5,61.0,69.5,63.0,64.0,62.0,66.0,70.5,74.0,83.0,14.0,13.5,67.0,14.5,12.0,2007
72.0,56.0,48.0,71.0,60.0,47.0,58.0,44.0,51.0,66.0,61.0,68.0,66.0,62.0,69.0,72.0,66.0,74.0,69.0,68.0,56.0,78.0,63.0,66.0,62.0,68.0,78.0,76.0,83.0,14.0,21.0,66.0,21.0,21.0,2008
74.5,56.5,48.5,71.5,60.5,47.0,58.5,44.0,66.0,66.5,61.5,68.5,68.0,62.0,80.5,72.0,71.5,74.0,73.5,70.5,56.5,78.5,63.5,68.0,62.0,68.5,79.0,77.0,83.0,14.0,21.0,66.5,21.0,21.0,2009
77.5,57.0,49.0,74.0,66.0,47.0,59.0,44.0,81.0,57.0,62.0,71.0,70.0,62.0,82.0,72.0,77.0,74.0,78.5,76.5,57.0,82.0,73.0,55.5,62.0,62.0,81.0,79.0,83.0,13.5,17.0,40.5,17.0,16.5,2010
76.5,54.5,49.0,76.0,69.0,47.0,59.0,44.0,80.0,63.0,62.0,73.5,70.0,63.5,79.0,69.0,77.0,77.5,80.5,74.0,57.0,83.5,77.5,41.0,62.0,55.0,79.0,78.0,79.0,13.0,13.0,14.0,13.0,12.0,2011
76.5,52.0,49.0,77.5,74.0,47.0,59.0,72.0,78.0,80.5,62.0,73.0,69.0,65.0,79.0,66.0,77.0,81.0,82.0,71.0,62.0,79.0,76.0,41.0,68.5,74.0,79.0,79.0,77.0,13.0,13.0,14.0,13.0,12.0,2012
75.12,52.0,49.0,78.75,72.12,47.0,59.0,70.75,76.0,80.75,61.5,72.75,69.5,63.75,78.0,65.25,76.75,81.0,80.25,71.75,67.0,75.75,74.75,41.0,68.25,73.12,74.0,78.0,75.88,13.0,13.0,14.0,13.0,12.0,2013
76.5,52.5,49.5,79.0,70.0,47.5,59.5,62.5,76.5,76.5,59.5,64.0,67.0,55.5,82.5,60.5,75.5,81.5,68.0,76.5,67.5,86.0,78.0,41.5,54.5,67.5,71.0,76.0,79.0,13.0,13.0,14.0,13.0,12.0,2014
78.67,53.67,50.67,81.0,74.0,48.67,59.33,67.67,78.0,77.67,62.33,60.33,63.33,56.0,84.33,61.0,76.67,82.0,61.0,77.0,68.67,85.67,80.67,42.67,55.67,68.67,74.67,79.33,82.0,13.67,13.67,14.67,13.67,12.67,2015
77.5,54.0,51.0,80.0,75.0,49.0,59.0,70.0,78.0,78.0,63.0,57.0,58.0,56.0,84.0,61.0,77.0,81.0,57.0,77.0,69.0,84.0,80.5,43.0,56.0,69.0,76.0,77.5,80.0,14.0,14.0,15.0,14.0,13.0,2016
