overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
70.0,61.0,49.0,74.0,62.0,28.0,62.0,20.0,55.0,68.0,65.0,62.0,64.0,61.0,66.0,74.0,78.0,75.0,72.0,76.0,68.0,72.0,69.0,68.0,59.0,62.0,70.0,72.0,67.0,9.0,21.0,68.0,21.0,21.0,2007
61.0,31.0,21.0,67.0,42.0,28.0,29.0,20.0,21.0,48.0,47.0,52.0,54.0,61.0,56.0,74.0,28.0,75.0,62.0,67.0,28.0,67.0,64.0,58.0,59.0,62.0,62.0,63.0,67.0,9.0,21.0,48.0,21.0,21.0,2008
61.0,31.0,21.0,67.0,42.0,28.0,29.0,20.0,21.0,48.0,47.0,52.0,54.0,61.0,56.0,74.0,28.0,75.0,62.0,67.0,28.0,67.0,64.0,58.0,59.0,62.0,62.0,63.0,67.0,9.0,21.0,48.0,21.0,21.0,2009
68.0,31.0,18.0,66.0,54.0,28.0,28.0,20.0,20.0,43.0,46.0,66.0,68.0,61.0,59.0,74.0,40.0,75.0,70.0,74.0,27.0,72.0,69.0,25.0,59.0,23.0,71.0,71.0,67.0,11.0,10.0,9.0,7.0,5.0,2010
65.5,31.0,18.0,56.0,54.0,28.0,28.0,20.0,20.0,43.0,46.0,58.5,60.5,57.5,59.0,63.0,40.0,73.0,66.5,73.5,27.0,70.0,69.0,25.0,59.0,23.0,71.0,71.0,62.0,11.0,10.0,9.0,7.0,5.0,2011
68.5,31.0,18.0,70.0,55.0,28.0,28.0,20.0,20.0,47.5,46.0,51.0,53.0,54.0,60.5,52.0,40.0,73.0,64.0,76.5,27.0,70.5,70.0,25.0,59.0,23.0,73.5,72.5,65.0,11.0,10.0,9.0,7.0,5.0,2012
69.5,27.0,21.5,72.0,56.0,24.5,27.0,20.0,20.0,52.0,45.0,51.0,53.0,54.17,61.5,52.0,32.5,73.0,64.0,75.5,26.0,71.0,69.0,25.0,48.0,23.0,73.67,73.33,68.67,11.0,10.0,9.0,7.0,5.0,2013
68.25,23.75,25.0,71.25,55.25,22.75,25.25,23.75,23.75,51.25,43.25,49.5,54.5,55.0,60.25,52.0,24.25,73.0,64.0,75.0,25.0,70.25,67.25,24.75,44.75,23.75,72.25,72.25,70.25,10.25,9.25,8.25,6.25,4.25,2014
69.0,21.5,21.5,71.5,55.5,20.5,25.5,22.5,20.0,51.5,43.5,49.0,55.0,55.5,60.5,52.0,24.5,73.0,64.0,75.0,21.5,70.5,67.5,22.5,37.5,21.5,73.5,73.5,71.5,10.5,9.5,8.5,6.5,4.5,2015
71.5,28.0,18.0,73.0,50.0,16.0,39.0,20.0,15.0,52.0,49.0,49.5,55.0,56.0,68.0,52.0,25.0,70.0,60.0,76.5,18.0,74.0,77.0,20.0,38.0,18.0,75.0,76.0,73.0,11.0,10.0,9.0,7.0,5.0,2016
