overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
72.0,31.0,80.0,35.0,65.0,64.0,83.0,67.0,20.0,28.0,80.0,86.0,76.0,68.0,70.0,70.0,77.0,70.0,72.0,74.0,64.0,35.0,54.0,62.0,69.0,76.0,30.0,21.0,40.0,8.0,10.0,28.0,15.0,7.0,2007
72.0,31.0,80.0,35.0,65.0,64.0,83.0,67.0,20.0,28.0,80.0,86.0,76.0,68.0,70.0,70.0,77.0,70.0,72.0,74.0,64.0,35.0,54.0,62.0,69.0,76.0,30.0,21.0,40.0,8.0,10.0,28.0,15.0,7.0,2008
67.0,56.0,62.0,60.0,65.0,64.0,70.0,67.0,59.0,49.0,70.0,73.0,76.0,68.0,70.0,70.0,69.0,70.0,72.0,74.0,62.0,55.0,29.0,70.0,69.0,62.0,30.0,50.0,40.0,8.0,10.0,12.0,15.0,7.0,2009
67.0,56.0,62.0,60.0,65.0,64.0,70.0,67.0,59.0,49.0,70.0,73.0,76.0,68.0,70.0,70.0,69.0,70.0,72.0,74.0,62.0,55.0,29.0,70.0,69.0,62.0,30.0,50.0,40.0,8.0,10.0,12.0,15.0,7.0,2010
67.0,49.5,62.5,60.0,58.0,64.0,71.5,61.0,52.0,46.0,65.5,75.5,75.5,71.0,67.0,58.5,68.0,78.0,70.0,76.5,58.0,55.0,29.0,75.0,57.0,62.0,30.0,44.0,40.0,8.0,10.0,12.0,15.0,7.0,2011
71.0,48.0,65.0,60.0,58.0,64.0,83.0,61.0,52.0,46.0,78.0,78.0,80.0,69.0,67.0,42.0,77.0,83.0,66.0,78.0,57.0,55.0,29.0,75.0,57.0,62.0,30.0,44.0,40.0,8.0,10.0,12.0,15.0,7.0,2012
71.44,48.0,66.33,59.0,57.0,69.33,81.11,61.0,52.0,46.0,74.22,77.0,82.0,69.0,71.67,42.0,77.0,81.0,70.0,79.0,56.0,55.0,29.0,75.33,59.0,62.0,30.0,44.0,40.0,8.0,10.0,12.0,15.0,7.0,2013
69.6,48.0,65.0,59.0,57.0,70.2,74.4,61.0,52.0,46.0,69.2,77.0,75.4,69.8,74.0,46.8,74.0,79.4,70.0,75.0,56.0,55.0,29.0,75.0,59.0,62.0,30.0,44.0,40.0,8.0,10.0,12.0,15.0,7.0,2014
72.43,48.71,73.14,66.86,59.86,69.71,75.29,63.14,52.71,46.71,70.43,78.14,73.43,70.0,75.14,60.14,72.71,80.0,70.0,72.0,60.29,57.14,29.71,80.14,59.71,62.71,30.71,44.71,40.71,8.71,10.71,12.71,15.71,7.71,2015
76.4,49.0,78.4,74.0,61.0,70.0,79.4,64.0,53.0,47.0,74.8,79.4,79.8,75.0,78.0,66.6,73.0,80.0,70.0,79.8,62.0,66.0,30.0,84.0,60.0,63.0,31.0,45.0,41.0,9.0,11.0,13.0,16.0,8.0,2016
