overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
71.0,59.0,33.5,73.5,65.5,23.0,55.0,45.0,56.0,55.5,61.5,65.0,70.0,65.0,69.5,70.0,64.0,68.0,74.5,72.5,40.0,75.0,74.0,71.0,76.0,74.5,74.5,73.5,74.0,13.0,16.5,55.5,17.0,13.0,2007
72.0,59.0,23.0,74.0,65.0,23.0,57.0,45.0,46.0,57.0,62.0,70.0,72.0,65.0,71.0,70.0,65.0,68.0,75.0,73.0,35.0,75.0,77.0,73.0,76.0,83.0,74.0,75.0,74.0,13.0,20.0,57.0,20.0,20.0,2008
71.0,58.0,23.0,72.0,63.5,23.0,52.0,45.0,39.0,56.0,62.0,70.0,72.0,65.0,69.0,70.0,63.5,68.0,75.0,72.5,35.0,73.5,76.5,73.5,76.0,80.0,73.0,74.0,74.0,13.0,20.0,56.0,20.0,20.0,2009
72.0,61.0,25.0,72.0,66.0,23.0,47.0,45.0,32.0,58.0,62.0,72.0,74.0,65.0,71.0,70.0,64.5,68.0,74.5,72.0,41.0,74.5,79.5,56.0,76.0,62.0,73.5,74.5,74.0,9.0,16.5,33.0,15.5,12.5,2010
72.0,62.0,27.0,72.0,67.0,23.0,47.0,45.0,32.0,59.0,62.0,71.0,72.5,67.0,71.0,68.5,67.0,70.0,76.5,71.0,57.0,74.0,75.0,37.0,68.0,45.0,72.0,75.0,74.0,5.0,13.0,9.0,11.0,5.0,2011
70.0,61.0,27.0,70.0,62.0,25.0,47.0,45.0,35.0,59.5,61.0,68.5,71.0,67.0,71.0,60.0,65.0,69.5,75.5,70.0,52.0,72.0,69.5,35.0,59.5,35.0,73.5,74.0,72.0,5.0,13.0,9.0,11.0,5.0,2012
70.2,61.0,27.0,70.0,62.0,25.0,47.0,45.0,35.0,59.0,60.0,64.6,70.4,63.8,72.0,60.0,65.0,68.4,72.0,71.2,52.0,71.6,74.6,37.0,55.0,35.0,74.2,72.4,73.4,5.0,13.0,9.0,11.0,5.0,2013
69.5,65.0,27.0,69.5,62.0,25.0,47.0,45.0,35.0,59.0,60.0,62.0,66.33,60.0,68.5,58.33,65.0,67.17,73.0,70.0,52.0,68.0,74.0,38.67,54.33,35.0,72.0,72.0,71.0,5.0,13.0,9.0,11.0,5.0,2014
71.33,65.17,27.17,71.17,65.17,25.17,47.0,45.17,35.17,59.17,62.0,61.17,64.5,59.5,71.33,57.33,65.17,67.17,75.0,70.0,53.17,71.5,77.67,45.33,56.17,35.17,72.5,74.5,71.5,5.17,13.17,9.17,11.17,5.17,2015
73.0,66.0,34.0,73.0,66.0,26.0,47.0,46.0,36.0,60.0,62.0,57.0,61.0,57.0,72.0,59.0,66.0,68.0,73.8,70.0,54.0,70.0,80.0,47.0,55.0,36.0,75.0,78.0,74.0,6.0,14.0,10.0,12.0,6.0,2016
