overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
56.0,40.0,55.0,60.0,49.0,69.0,48.0,64.0,44.0,42.0,55.0,60.0,64.0,67.0,68.0,68.0,54.0,81.0,60.0,58.0,55.0,62.0,30.0,38.0,60.0,40.0,20.0,20.0,20.0,9.0,20.0,42.0,20.0,20.0,2007
56.0,40.0,55.0,60.0,49.0,69.0,48.0,64.0,44.0,42.0,55.0,60.0,64.0,67.0,68.0,68.0,54.0,81.0,60.0,58.0,55.0,62.0,30.0,38.0,60.0,40.0,20.0,20.0,20.0,9.0,20.0,42.0,20.0,20.0,2008
60.0,40.0,68.0,65.0,49.0,69.0,48.0,64.0,44.0,42.0,55.0,60.0,64.0,67.0,68.0,68.0,54.0,81.0,60.0,58.0,55.0,62.0,30.0,67.0,60.0,40.0,20.0,20.0,20.0,9.0,20.0,42.0,20.0,20.0,2009
72.0,57.0,82.0,76.5,70.0,69.0,64.0,64.0,68.5,45.5,66.0,64.0,68.0,67.0,71.0,68.0,74.5,81.0,72.0,71.0,64.5,62.0,52.5,74.5,60.0,72.5,18.5,28.0,20.0,10.5,17.5,25.5,13.0,12.5,2010
74.5,60.0,82.0,78.0,73.0,72.5,66.0,67.0,72.5,53.5,69.5,61.0,67.0,64.5,72.5,54.0,78.0,86.5,69.5,79.5,69.5,62.0,41.0,78.5,60.0,81.0,21.5,34.0,20.0,12.0,15.0,11.0,6.0,5.0,2011
80.0,63.0,85.0,84.5,75.0,80.0,67.0,70.0,74.0,56.0,75.5,72.0,69.0,62.0,81.0,33.0,84.0,81.5,72.0,82.0,75.0,68.5,41.0,84.0,62.0,81.0,26.0,34.0,20.0,12.0,15.0,11.0,6.0,5.0,2012
80.6,63.0,83.1,85.0,75.7,80.0,67.6,70.0,74.0,56.0,78.1,62.8,65.8,59.2,81.0,35.4,84.0,75.5,71.0,85.2,75.0,75.2,41.0,84.6,69.8,81.0,26.0,34.0,20.0,12.0,15.0,11.0,6.0,5.0,2013
79.6,63.0,80.3,84.1,76.0,80.0,68.0,70.0,66.8,56.0,77.6,60.2,59.0,58.0,81.0,45.0,84.0,76.0,78.2,87.0,75.0,76.0,41.0,84.1,75.0,81.0,26.0,35.8,20.0,12.0,15.0,11.0,6.0,5.0,2014
79.75,63.0,80.25,84.5,76.0,80.25,68.25,70.0,65.0,56.0,77.25,61.0,63.25,58.0,81.5,45.0,84.0,76.5,79.0,87.75,75.25,76.0,41.0,84.0,75.5,81.0,26.0,37.0,20.0,12.0,15.0,11.0,6.0,5.0,2015
82.0,63.0,84.0,86.0,76.0,81.0,69.0,70.0,65.0,56.0,82.0,63.0,64.0,65.0,83.0,52.0,84.0,80.0,79.0,88.0,76.0,76.0,41.0,84.0,75.0,81.0,26.0,37.0,20.0,12.0,15.0,11.0,6.0,5.0,2016
