overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
68.0,52.0,43.0,58.0,68.0,65.0,80.0,60.0,47.5,59.0,64.0,75.0,68.0,68.0,69.0,72.0,61.0,72.0,72.0,71.0,26.0,66.0,67.0,64.0,76.0,69.0,44.0,60.0,71.0,8.0,18.5,59.0,19.0,17.0,2007
78.0,74.0,70.0,66.0,83.0,65.0,78.0,60.0,65.0,77.0,80.0,78.0,76.0,68.0,82.0,72.0,75.0,72.0,81.0,74.0,74.0,75.0,78.0,78.0,76.0,76.0,67.0,69.0,71.0,8.0,25.0,77.0,25.0,25.0,2008
75.5,70.0,65.5,66.0,76.5,65.0,73.5,60.0,62.5,74.0,78.0,77.5,76.0,68.0,83.0,72.0,75.0,72.0,82.5,74.0,66.5,75.0,77.0,76.0,76.0,75.0,68.0,71.0,71.0,8.0,25.0,74.0,25.0,25.0,2009
74.0,71.0,65.0,67.5,75.0,65.0,70.0,60.0,60.0,73.0,74.5,76.5,75.5,68.0,80.5,72.0,75.0,72.0,82.0,73.0,66.0,76.5,76.5,72.0,76.0,71.5,69.0,71.5,71.0,6.5,16.5,41.5,19.0,17.5,2010
68.0,65.0,58.0,60.5,70.0,64.0,64.5,60.0,58.0,68.0,69.0,71.5,67.0,62.5,70.5,68.0,69.5,67.5,75.0,69.5,62.5,71.0,65.0,66.0,71.0,62.0,56.5,63.5,62.0,5.0,8.0,11.0,13.0,10.0,2011
72.0,64.0,50.0,57.0,74.0,64.0,68.0,60.0,56.0,73.0,74.0,71.0,69.0,65.0,72.0,65.0,67.0,67.5,76.5,68.0,71.0,66.0,67.0,72.0,70.0,60.0,55.0,68.0,66.0,5.0,8.0,11.0,13.0,10.0,2012
68.43,62.86,45.0,57.29,68.0,62.86,65.43,60.0,56.0,70.71,68.0,71.0,69.57,66.14,70.14,65.57,67.29,69.14,78.14,69.57,70.71,66.57,65.57,66.57,68.0,60.0,55.29,66.86,64.86,5.0,8.0,11.0,13.0,10.0,2013
66.0,59.0,44.0,57.0,67.0,59.0,63.0,59.0,55.0,69.0,67.0,71.0,70.0,67.0,67.0,66.0,67.0,70.0,80.0,70.0,69.0,66.0,61.0,59.0,64.5,59.0,55.0,63.0,61.0,4.0,7.0,10.0,12.0,9.0,2014
67.0,59.5,44.5,57.5,68.0,59.5,64.5,59.5,55.5,70.5,68.5,70.25,69.0,67.0,69.0,66.0,67.5,70.0,79.0,69.0,69.5,65.5,62.5,61.0,63.5,59.5,55.5,64.5,61.5,4.5,7.5,10.5,12.5,9.5,2015
68.0,60.0,45.0,58.0,69.0,60.0,66.0,60.0,56.0,72.0,70.0,68.0,68.0,67.0,71.0,66.0,68.0,70.0,69.0,68.0,70.0,63.6,64.0,63.0,65.0,60.0,56.0,66.0,61.2,5.0,8.0,11.0,13.0,10.0,2016
