overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
89.0,14.5,14.0,19.5,25.0,17.0,14.5,9.0,53.0,83.0,24.0,55.5,56.5,49.0,83.0,60.0,21.0,79.0,48.0,74.0,15.5,62.0,77.0,50.0,45.0,82.0,14.0,18.0,12.0,90.5,88.0,83.0,89.5,93.0,2007
88.0,20.0,20.0,20.0,25.0,17.0,20.0,9.0,19.0,79.0,24.0,33.0,44.0,49.0,67.0,60.0,21.0,79.0,48.0,74.0,20.0,57.0,77.0,40.0,45.0,27.0,20.0,20.0,12.0,94.0,91.0,79.0,85.0,90.0,2008
86.5,20.0,20.0,20.0,25.0,17.0,20.0,9.0,19.0,79.0,24.0,36.0,44.5,49.0,72.0,60.0,21.0,79.0,48.0,74.0,20.0,49.0,79.5,46.0,45.0,54.5,20.0,20.0,12.0,91.0,84.0,79.0,87.0,89.0,2009
84.5,19.5,16.0,19.5,25.0,17.0,16.0,9.0,19.0,61.0,24.0,42.0,48.5,49.0,77.0,60.0,21.0,79.0,47.5,69.5,15.5,57.0,50.0,26.5,45.0,36.5,15.5,16.5,12.0,87.0,79.5,77.5,86.0,88.0,2010
84.5,19.0,12.0,19.0,25.0,17.0,12.0,13.0,19.0,31.0,24.0,45.0,52.0,49.0,77.0,55.0,21.0,79.0,47.0,65.0,11.0,37.0,23.0,13.0,45.0,12.0,11.0,13.0,12.0,86.0,80.0,76.0,86.0,88.0,2011
84.0,19.0,12.0,19.0,30.0,17.0,12.0,13.0,19.0,32.0,31.5,45.0,52.0,49.0,76.0,50.0,21.0,38.0,47.0,65.0,11.0,17.0,23.0,13.0,39.0,12.0,11.0,13.0,12.0,85.0,80.5,75.5,84.5,86.0,2012
84.17,20.0,14.17,20.0,35.0,18.33,14.17,15.0,20.0,33.0,37.83,45.0,52.0,49.0,79.83,50.0,21.0,38.0,44.5,65.0,13.33,18.33,23.0,15.0,31.67,43.0,13.33,15.0,14.17,84.83,81.33,74.5,83.67,85.17,2013
85.0,25.0,25.0,25.0,35.0,25.0,25.0,25.0,25.0,33.0,32.0,45.0,52.0,49.0,85.33,50.0,21.0,38.0,32.0,65.0,25.0,25.0,23.0,25.0,25.0,43.0,25.0,25.0,25.0,83.67,83.33,73.0,83.0,84.67,2014
85.0,19.0,12.0,19.0,35.0,17.0,12.0,13.0,19.0,33.0,22.0,45.0,52.0,49.0,86.0,34.0,21.0,51.0,32.0,65.0,11.0,17.0,23.0,13.0,17.0,23.0,11.0,13.0,12.0,83.0,84.0,73.0,83.0,84.0,2015
86.0,19.0,12.0,19.0,35.0,17.0,12.0,13.0,19.0,33.0,22.0,45.0,52.0,49.0,86.0,34.0,21.0,51.0,32.0,65.0,11.0,17.0,23.0,13.0,17.0,23.0,11.0,13.0,12.0,83.0,84.0,77.0,85.0,85.0,2016
