overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
64.5,43.5,45.5,55.5,58.5,66.0,49.5,64.0,53.0,47.5,58.5,55.5,58.5,69.0,63.5,60.0,24.5,62.0,71.5,70.5,56.5,70.5,60.0,56.0,62.0,56.5,69.5,66.5,65.0,10.0,17.5,47.5,16.5,17.0,2007
63.0,65.0,46.0,53.0,64.0,66.0,56.0,64.0,65.0,63.0,61.0,64.0,65.0,69.0,64.0,60.0,67.0,62.0,72.0,58.0,66.0,61.0,65.0,64.0,62.0,57.0,61.0,63.0,65.0,10.0,20.0,63.0,20.0,20.0,2008
64.0,67.0,46.0,53.0,64.0,66.0,56.0,64.0,65.0,63.0,61.0,66.0,68.0,69.0,64.0,60.0,67.0,62.0,75.0,58.0,66.0,61.0,65.0,64.0,62.0,57.0,61.0,63.0,65.0,10.0,20.0,63.0,20.0,20.0,2009
64.5,69.0,48.0,53.0,66.0,66.0,56.0,64.0,65.0,65.0,61.0,67.0,68.0,69.0,65.0,60.0,67.0,62.0,75.0,58.0,68.0,61.0,63.0,58.5,62.0,64.0,63.0,65.5,65.0,10.5,15.0,39.5,14.5,17.0,2010
63.0,69.0,48.0,57.0,64.0,66.0,62.0,64.0,65.0,65.0,64.0,67.5,68.0,71.5,65.0,67.0,67.0,63.0,76.5,60.5,68.0,61.0,59.5,52.0,63.0,64.0,60.0,62.5,60.5,11.0,10.0,14.0,9.0,14.0,2011
64.0,69.0,48.0,57.0,64.0,66.0,62.0,64.0,65.0,65.0,64.0,68.0,68.0,74.0,65.0,70.0,67.0,64.0,78.0,63.0,68.0,61.0,63.0,52.0,64.0,64.0,61.0,63.0,62.0,11.0,10.0,14.0,9.0,14.0,2012
65.0,69.0,48.0,57.0,64.0,66.0,62.0,64.0,65.0,65.0,64.0,68.0,66.0,74.0,65.0,72.0,67.0,64.0,80.0,64.0,68.0,63.0,63.0,52.0,58.0,64.0,62.5,65.0,64.0,11.0,10.0,14.0,9.0,14.0,2013
65.0,68.0,47.0,57.0,64.0,66.0,59.0,64.0,65.0,65.0,63.0,66.0,64.5,71.0,64.0,72.0,67.0,64.0,76.0,61.0,68.0,65.0,66.0,52.0,58.0,64.0,63.0,66.0,65.0,11.0,10.0,14.0,9.0,14.0,2014
65.5,68.0,44.0,57.0,64.0,65.0,57.5,63.5,65.0,65.0,63.0,65.0,62.5,70.5,64.0,72.0,67.0,64.0,75.5,60.5,68.0,65.0,66.5,52.5,58.5,63.5,64.5,67.0,66.5,11.5,10.5,14.5,9.5,14.5,2015
65.0,68.0,42.0,57.0,64.0,64.0,57.0,63.0,65.0,65.0,63.0,62.0,58.0,68.0,62.0,72.0,67.0,64.0,74.0,60.0,68.0,65.0,67.0,53.0,59.0,63.0,64.0,67.0,67.0,12.0,11.0,15.0,10.0,15.0,2016
