overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
65.0,61.0,70.0,63.0,67.0,70.0,60.0,73.0,64.0,52.0,60.0,67.0,68.0,73.0,64.0,63.0,63.0,62.0,65.0,59.0,62.0,42.0,61.0,61.0,60.0,59.0,38.0,40.0,30.0,5.0,25.0,52.0,25.0,25.0,2007
68.0,57.0,70.0,63.0,69.0,70.0,68.0,73.0,68.0,66.0,70.0,71.0,67.0,73.0,76.0,63.0,65.0,62.0,78.0,55.0,64.0,38.0,75.0,69.0,60.0,68.0,34.0,36.0,30.0,5.0,25.0,66.0,25.0,25.0,2008
66.0,56.0,68.0,58.0,66.0,70.0,67.0,73.0,67.0,61.0,66.0,70.0,66.0,73.0,72.0,63.0,69.0,62.0,73.0,52.0,64.0,37.0,74.0,68.0,60.0,67.0,33.0,35.0,30.0,5.0,25.0,61.0,25.0,25.0,2009
67.0,53.0,65.5,52.5,62.5,70.0,65.5,73.0,67.0,56.0,64.5,71.0,73.0,73.0,72.0,63.0,79.5,62.0,71.5,54.5,77.5,51.0,53.0,68.5,60.0,65.5,33.0,35.0,30.0,8.0,18.5,33.0,18.0,15.0,2010
69.0,55.0,65.0,47.0,64.0,70.0,65.0,73.0,67.0,55.0,67.0,69.0,74.0,73.0,72.0,60.0,87.0,67.0,70.0,61.0,79.0,65.0,42.0,69.0,60.0,64.0,33.0,35.0,30.0,11.0,12.0,9.0,11.0,5.0,2011
70.5,68.0,67.0,47.0,64.0,71.0,69.0,73.0,67.0,57.0,72.0,74.0,69.0,73.0,72.0,60.0,89.5,59.0,72.0,61.0,80.5,71.0,35.0,69.0,56.0,64.0,33.0,36.0,29.0,11.0,12.0,9.0,11.0,5.0,2012
74.83,74.0,74.0,47.0,66.0,67.0,77.0,73.0,74.83,67.0,78.0,74.0,71.33,73.0,80.83,75.0,92.0,62.0,78.0,58.0,81.0,71.0,33.0,82.0,73.0,78.17,27.0,35.0,29.0,11.0,12.0,9.0,11.0,5.0,2013
76.5,74.0,71.5,47.75,72.0,67.75,78.5,73.75,75.75,71.5,79.5,75.5,68.5,73.75,83.25,75.0,90.5,62.75,78.0,59.5,80.25,71.75,33.75,80.5,75.25,81.75,27.75,35.75,29.75,11.0,12.0,9.0,11.0,5.0,2014
75.0,75.0,67.5,49.0,76.0,66.0,76.25,75.0,77.0,74.0,79.5,70.75,66.75,71.25,79.25,75.5,90.5,63.5,69.5,60.5,80.5,77.0,35.0,78.5,75.0,81.5,29.0,37.0,31.0,11.5,12.5,9.5,11.5,5.5,2015
73.0,76.0,66.0,50.0,78.0,64.0,74.0,76.0,78.0,75.0,79.0,65.0,64.0,68.0,76.0,76.0,91.0,64.0,62.0,61.0,81.0,82.0,36.0,77.0,74.0,81.0,30.0,38.0,32.0,12.0,13.0,10.0,12.0,6.0,2016
