overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
58.0,49.0,27.0,36.0,62.0,27.0,59.0,43.0,31.0,52.0,54.0,56.0,69.0,70.0,64.0,73.0,48.0,56.0,53.0,63.0,38.0,32.0,39.0,52.0,72.0,52.0,46.0,56.0,68.0,6.0,21.0,52.0,21.0,21.0,2007
63.0,53.0,43.0,42.0,71.0,27.0,68.0,43.0,27.0,63.0,69.0,62.0,71.0,70.0,62.0,73.0,52.0,56.0,72.0,72.0,42.0,66.0,49.0,54.0,72.0,57.0,52.0,68.0,68.0,6.0,21.0,63.0,21.0,21.0,2008
59.0,53.0,43.0,42.0,71.0,27.0,68.0,43.0,27.0,63.0,69.0,62.0,71.0,70.0,62.0,73.0,52.0,56.0,72.0,72.0,42.0,66.0,49.0,54.0,72.0,57.0,52.0,68.0,68.0,6.0,21.0,63.0,21.0,21.0,2009
68.5,57.0,43.0,44.0,75.5,27.0,71.5,43.0,39.5,66.0,74.0,73.5,75.0,70.0,68.0,73.0,54.5,56.0,78.5,74.0,42.0,68.0,64.5,61.0,72.0,41.5,65.0,72.5,68.0,7.5,14.0,39.5,17.5,16.0,2010
66.5,62.0,42.0,45.5,70.0,27.0,70.0,43.0,52.0,65.5,71.5,73.0,74.5,70.0,65.0,73.5,63.5,56.0,80.5,74.0,55.5,69.0,64.0,55.0,67.5,19.0,61.0,64.5,59.5,9.0,7.0,15.0,14.0,11.0,2011
66.0,63.0,54.0,45.0,72.0,27.0,69.0,48.0,52.0,67.0,72.0,72.0,70.0,70.0,61.0,74.0,70.0,56.0,77.0,71.0,69.0,66.0,61.0,54.0,64.0,19.0,58.0,61.0,56.0,9.0,7.0,15.0,14.0,11.0,2012
65.5,62.5,54.0,45.0,72.62,27.0,68.12,48.0,52.0,66.0,70.75,72.0,70.0,70.0,61.0,73.25,70.0,56.0,76.62,71.0,68.38,66.0,61.0,54.0,64.0,65.0,58.0,61.0,56.0,9.0,7.0,15.0,14.0,11.0,2013
63.0,61.0,54.0,45.0,66.0,27.0,65.0,48.0,52.0,61.0,64.0,72.0,70.0,70.0,61.0,71.0,70.0,56.0,74.0,71.0,65.0,66.0,61.0,54.0,64.0,65.0,58.0,61.0,56.0,9.0,7.0,15.0,14.0,11.0,2014
62.67,61.0,54.0,45.0,64.67,27.0,65.0,48.0,52.0,61.0,64.0,72.0,70.0,70.0,61.0,71.0,70.0,55.0,74.0,71.0,64.33,66.0,61.0,54.0,63.0,65.0,58.0,61.0,56.0,9.0,7.0,15.0,14.0,11.0,2015
62.0,61.0,54.0,45.0,62.0,27.0,65.0,48.0,52.0,61.0,64.0,72.0,70.0,70.0,61.0,71.0,70.0,53.0,74.0,73.0,63.0,66.0,61.0,54.0,61.0,65.0,58.0,61.0,56.0,9.0,7.0,15.0,14.0,11.0,2016
