overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
67.0,42.0,64.0,32.0,61.0,60.0,63.0,59.0,55.0,52.0,62.0,76.0,77.0,74.0,64.0,67.0,67.0,74.0,70.0,69.0,60.0,42.0,54.0,59.0,60.0,53.0,30.0,45.0,29.0,12.0,5.0,52.0,12.0,10.0,2007
64.0,56.0,64.0,62.0,61.0,60.0,64.0,59.0,55.0,52.0,64.0,76.0,77.0,74.0,64.0,67.0,70.0,74.0,70.0,69.0,60.0,42.0,54.0,59.0,60.0,60.0,30.0,45.0,29.0,12.0,5.0,52.0,12.0,10.0,2008
70.0,67.0,71.0,62.0,66.0,60.0,68.0,59.0,55.0,56.0,69.0,76.0,78.0,74.0,78.0,67.0,70.0,74.0,71.0,69.0,60.0,45.0,25.0,67.0,60.0,68.0,30.0,45.0,29.0,12.0,5.0,56.0,12.0,10.0,2009
70.0,62.0,71.0,80.0,67.0,60.0,68.0,59.0,55.0,60.0,69.0,76.0,73.0,74.0,78.0,67.0,70.0,74.0,71.0,62.0,60.0,45.0,25.0,72.0,60.0,63.0,30.0,45.0,29.0,12.0,5.0,9.0,12.0,10.0,2010
70.0,62.0,71.0,80.0,67.0,60.0,68.0,59.0,55.0,60.0,69.0,76.0,73.0,74.0,78.0,67.0,70.0,74.0,71.0,62.0,60.0,45.0,25.0,72.0,60.0,63.0,30.0,45.0,29.0,12.0,5.0,9.0,12.0,10.0,2011
69.0,60.0,71.0,71.0,67.0,60.0,68.0,59.0,55.0,60.0,69.0,74.0,73.0,75.0,67.0,67.0,70.0,69.0,71.0,62.0,60.0,45.0,25.0,68.0,60.0,63.0,30.0,45.0,29.0,12.0,5.0,9.0,12.0,10.0,2012
68.0,60.0,68.33,71.0,67.0,60.0,67.33,59.0,55.0,60.0,68.0,74.0,73.0,75.0,67.0,67.0,70.0,69.0,71.0,62.0,60.0,45.0,25.0,68.0,60.0,69.67,30.0,45.0,29.0,12.0,5.0,9.0,12.0,10.0,2013
65.8,60.0,64.8,67.0,64.6,60.0,66.2,59.0,55.0,60.0,65.0,74.0,73.0,75.0,67.0,67.0,67.6,69.0,71.0,62.0,60.0,45.0,25.0,65.6,60.0,73.0,30.0,45.0,29.0,12.0,5.0,9.0,12.0,10.0,2014
69.75,61.0,72.0,67.0,65.0,61.0,70.0,60.0,56.0,61.0,72.0,74.0,68.0,75.0,68.0,67.0,80.0,69.0,71.0,62.0,61.0,74.0,26.0,66.0,61.0,75.0,31.0,46.0,30.0,13.0,6.0,10.0,13.0,11.0,2015
69.0,61.0,71.0,67.0,65.0,61.0,70.0,60.0,56.0,61.0,72.0,73.0,67.0,75.0,68.0,65.0,80.0,69.0,71.0,62.0,60.0,74.0,26.0,65.0,61.0,76.0,31.0,46.0,30.0,13.0,6.0,10.0,13.0,11.0,2016
