overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
80.0,71.0,70.0,76.5,73.0,55.0,66.0,53.0,67.0,72.5,77.0,80.5,79.0,60.0,83.5,78.0,72.0,82.0,88.0,85.0,74.0,79.5,87.0,85.0,74.0,78.0,80.0,78.0,87.0,9.5,14.5,72.5,14.0,16.0,2007
81.0,72.0,20.0,82.0,74.0,55.0,65.0,53.0,57.0,70.0,77.0,78.0,80.0,60.0,78.0,78.0,75.0,82.0,88.0,85.0,74.0,79.0,87.0,78.0,74.0,79.0,85.0,80.0,87.0,6.0,20.0,70.0,20.0,20.0,2008
82.0,60.0,28.5,82.0,74.0,55.0,63.5,53.0,51.0,69.0,77.0,75.0,79.0,60.0,79.5,78.0,70.0,82.0,85.0,85.0,64.0,82.0,85.0,80.5,74.0,79.0,85.0,83.0,87.0,6.0,20.0,69.0,20.0,20.0,2009
83.0,55.0,37.0,82.0,78.5,55.0,67.0,53.0,51.0,70.5,76.5,71.5,76.0,60.0,82.0,78.0,67.5,82.0,78.5,83.5,64.0,84.0,84.5,60.0,74.0,60.5,85.0,85.0,87.0,7.5,13.5,38.5,15.0,14.5,2010
81.5,50.0,37.0,82.0,78.0,55.0,61.5,53.0,51.0,70.0,72.0,63.5,65.0,57.0,80.0,66.5,65.0,79.0,72.0,82.0,64.0,80.0,81.5,35.0,74.0,42.0,81.0,83.0,85.0,9.0,7.0,6.0,10.0,9.0,2011
81.0,49.0,37.0,82.0,77.0,55.0,56.0,53.0,50.5,70.0,68.0,53.0,52.0,54.0,80.0,55.0,65.0,76.0,69.0,82.0,59.0,78.0,81.0,35.0,66.0,42.0,80.0,82.0,84.0,9.0,7.0,6.0,10.0,9.0,2012
79.83,45.0,37.0,82.0,73.0,42.33,54.67,53.0,50.0,66.67,66.67,54.67,52.67,54.33,80.0,55.0,65.0,76.0,61.0,79.83,54.33,77.33,81.83,35.0,59.0,42.0,80.83,82.83,80.33,9.0,7.0,6.0,10.0,9.0,2013
80.0,41.0,33.0,77.0,71.0,34.0,54.0,53.0,48.0,65.0,66.0,59.2,60.0,55.6,80.0,55.6,65.0,76.6,61.6,81.6,52.6,79.0,84.0,33.0,57.0,40.0,83.0,84.0,80.0,8.4,6.4,5.4,9.4,8.4,2014
81.0,38.0,27.0,77.0,71.0,31.0,54.0,53.0,45.0,65.0,66.0,60.0,62.0,56.0,78.0,56.0,65.0,77.0,62.0,82.0,53.0,79.0,84.0,30.0,49.0,37.0,85.0,86.0,82.0,8.0,6.0,5.0,9.0,8.0,2015
81.0,38.0,27.0,77.0,71.0,31.0,54.0,53.0,45.0,65.0,66.33,60.0,62.0,55.33,78.0,56.0,65.0,77.0,62.0,82.0,53.0,79.0,83.67,30.0,49.0,37.0,85.0,85.67,82.33,8.0,6.0,5.0,9.0,8.0,2016
