overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
75.5,76.5,66.0,74.5,80.5,65.0,69.0,75.0,61.0,65.5,75.5,74.5,77.5,64.0,72.5,76.0,67.0,74.0,75.0,71.5,66.5,72.5,77.0,74.0,81.0,62.5,52.0,53.0,62.0,10.5,19.5,65.5,14.0,18.5,2007
76.0,77.0,72.0,75.0,86.0,65.0,72.0,75.0,62.0,41.0,85.0,76.0,78.0,64.0,73.0,76.0,72.0,74.0,78.0,84.0,68.0,73.0,83.0,84.0,81.0,82.0,71.0,75.0,62.0,8.0,23.0,41.0,23.0,23.0,2008
78.0,77.0,72.0,75.0,86.0,65.0,72.0,75.0,57.0,71.0,85.0,76.0,78.0,64.0,73.0,76.0,72.0,74.0,78.0,84.0,66.0,73.0,83.0,84.0,81.0,82.0,71.0,69.0,62.0,9.0,23.0,71.0,23.0,23.0,2009
75.0,60.0,61.0,67.0,86.0,65.0,68.0,75.0,57.0,71.0,76.0,71.0,73.0,64.0,73.0,76.0,82.0,74.0,75.0,78.0,72.0,69.0,68.0,73.0,81.0,76.0,68.0,71.0,62.0,13.0,15.0,13.0,15.0,14.0,2010
76.5,60.0,58.5,67.0,85.0,60.0,69.0,75.0,57.0,76.0,75.0,64.0,68.0,60.5,77.5,69.5,82.0,65.5,76.0,78.0,68.5,69.0,69.0,71.5,84.0,76.0,63.0,74.0,64.0,13.0,15.0,13.0,15.0,14.0,2011
78.0,60.0,62.0,72.5,85.0,54.5,70.5,75.0,62.0,78.0,77.0,59.5,66.5,57.0,79.5,63.0,83.5,59.0,78.0,78.0,71.5,69.0,69.0,77.5,84.0,76.0,55.5,76.0,64.0,13.0,15.0,13.0,15.0,14.0,2012
78.25,60.0,68.0,78.0,85.0,54.0,71.0,75.0,67.0,78.0,79.0,64.0,69.0,57.0,80.0,63.0,85.0,59.0,79.0,78.0,74.0,69.0,69.0,83.0,84.0,76.0,53.0,72.0,64.0,13.0,15.0,13.0,15.0,14.0,2013
79.0,69.25,69.0,81.75,84.25,53.25,76.25,74.75,67.0,80.5,80.0,65.75,70.5,59.0,80.75,63.0,84.0,71.38,78.75,79.0,74.25,72.62,68.5,82.5,81.5,76.0,52.75,69.25,62.75,13.0,15.0,13.0,15.0,14.0,2014
80.2,79.2,74.0,86.4,85.8,54.6,78.2,74.4,67.6,84.0,83.4,68.4,69.4,64.0,85.0,63.0,85.6,73.0,78.8,81.0,75.0,82.6,66.6,84.2,79.8,76.0,53.6,70.6,62.6,13.6,15.6,13.6,15.6,14.6,2015
81.0,81.0,78.0,88.0,87.0,55.0,79.0,74.0,68.0,85.0,85.0,68.0,65.0,64.0,87.0,63.0,86.0,73.0,78.0,81.0,75.0,83.0,65.0,85.0,82.0,76.0,54.0,71.0,63.0,14.0,16.0,14.0,16.0,15.0,2016
