overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
64.0,70.0,59.0,47.0,54.0,67.0,64.0,69.0,57.0,56.0,67.0,75.0,71.0,67.0,66.0,68.0,71.0,69.0,68.0,57.0,64.0,51.0,42.0,49.0,59.0,61.0,45.0,62.0,48.0,1.0,23.0,56.0,23.0,23.0,2007
64.0,70.0,59.0,47.0,54.0,67.0,64.0,69.0,57.0,56.0,67.0,75.0,71.0,67.0,66.0,68.0,71.0,69.0,68.0,57.0,64.0,51.0,42.0,49.0,59.0,61.0,45.0,62.0,48.0,1.0,23.0,56.0,23.0,23.0,2008
64.0,70.0,59.0,47.0,54.0,67.0,64.0,69.0,57.0,56.0,67.0,75.0,71.0,67.0,66.0,68.0,71.0,69.0,68.0,57.0,64.0,56.0,50.0,52.0,59.0,61.0,45.0,62.0,48.0,1.0,23.0,56.0,23.0,23.0,2009
64.0,70.0,59.0,47.0,54.0,67.0,64.0,69.0,57.0,56.0,67.0,75.0,71.0,67.0,66.0,68.0,71.0,69.0,68.0,57.0,64.0,56.0,53.0,58.0,59.0,44.0,45.0,62.0,48.0,13.0,12.0,11.0,6.0,15.0,2010
66.0,69.5,61.5,47.0,59.0,67.0,64.0,69.0,62.0,60.5,67.0,82.5,76.5,71.0,66.0,72.0,73.0,71.5,69.5,63.0,68.0,57.0,55.5,57.0,60.0,46.0,52.5,62.5,55.0,13.0,12.0,11.0,6.0,15.0,2011
68.5,71.0,57.5,61.0,66.5,67.0,67.0,69.0,67.0,68.5,69.0,80.5,78.0,76.0,70.0,74.0,78.0,74.0,72.0,60.0,71.0,69.5,63.5,64.0,64.5,59.0,67.0,69.0,70.0,13.0,12.0,11.0,6.0,15.0,2012
69.0,71.0,54.0,62.0,67.0,67.0,67.0,69.0,67.0,68.67,69.0,81.33,79.0,77.33,70.0,75.0,78.0,79.0,73.0,62.0,71.0,71.0,65.0,65.0,66.0,59.0,68.0,70.0,71.0,13.0,12.0,11.0,6.0,15.0,2013
69.0,71.0,54.0,62.0,67.0,67.0,67.0,69.0,67.0,68.0,69.0,82.0,79.0,80.0,70.0,75.0,78.0,81.0,73.0,62.0,71.0,71.0,65.0,65.0,66.0,59.0,68.0,70.0,71.0,13.0,12.0,11.0,6.0,15.0,2014
70.67,68.0,54.0,62.0,67.0,67.0,67.0,69.0,67.0,64.0,69.0,82.0,79.0,80.0,70.0,75.0,78.0,81.0,73.0,62.0,71.0,71.67,66.33,65.33,66.0,59.0,69.0,71.33,72.67,13.0,12.0,11.0,6.0,15.0,2015
71.33,68.0,54.0,62.0,67.0,67.0,67.0,69.0,67.0,64.0,69.0,79.33,77.0,78.67,70.0,75.0,76.0,81.0,73.0,62.0,71.0,73.0,69.0,66.0,66.0,59.0,71.0,72.67,74.67,13.0,12.0,11.0,6.0,15.0,2016
