overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
72.0,22.0,22.0,22.0,25.0,9.0,22.0,8.0,8.0,67.0,22.0,60.0,51.0,68.0,57.0,62.0,31.0,58.0,59.0,62.0,22.0,56.0,59.0,62.0,61.0,57.0,22.0,22.0,11.0,72.0,76.0,67.0,67.0,74.0,2007
71.0,22.0,22.0,22.0,25.0,9.0,22.0,8.0,8.0,67.0,22.0,60.0,51.0,68.0,57.0,62.0,31.0,58.0,59.0,62.0,22.0,56.0,59.0,62.0,61.0,57.0,22.0,22.0,11.0,72.0,76.0,67.0,67.0,74.0,2008
71.0,22.0,22.0,22.0,25.0,9.0,22.0,8.0,8.0,67.0,22.0,60.0,51.0,68.0,57.0,62.0,31.0,58.0,59.0,62.0,22.0,56.0,59.0,62.0,61.0,57.0,22.0,22.0,11.0,72.0,76.0,67.0,67.0,74.0,2009
72.0,9.0,9.0,11.0,25.0,9.0,7.0,8.0,8.0,23.0,22.0,60.0,51.0,68.0,57.0,62.0,31.0,58.0,59.0,62.0,12.0,56.0,27.0,17.0,61.0,22.0,9.0,12.0,11.0,73.0,77.0,68.0,68.0,75.0,2010
72.0,13.0,10.0,11.0,30.0,12.0,11.0,12.0,14.0,28.0,22.0,60.0,51.0,68.0,57.0,59.5,31.0,58.0,59.0,62.0,12.0,56.0,27.0,17.0,35.0,22.0,13.0,12.0,11.0,73.0,76.5,71.5,68.0,75.0,2011
69.5,13.0,10.0,11.0,35.0,12.0,11.0,12.0,14.0,33.0,22.0,38.0,51.0,39.0,57.0,57.0,31.0,58.0,37.0,62.0,12.0,56.0,27.0,17.0,35.0,22.0,13.0,12.0,11.0,71.5,72.5,72.0,66.5,69.5,2012
70.75,22.0,21.25,21.5,35.0,21.75,21.5,21.75,22.25,33.0,22.0,43.0,51.0,39.0,64.0,57.0,31.0,58.0,32.0,64.75,21.75,35.0,27.0,23.0,27.5,22.0,22.0,21.75,21.5,73.75,71.75,71.75,69.25,70.25,2013
74.33,25.0,25.0,25.0,37.0,25.0,25.0,25.0,25.0,33.0,22.0,45.0,51.0,39.0,66.67,57.0,31.0,58.0,32.0,79.0,25.0,28.0,27.0,25.0,25.0,22.0,25.0,25.0,25.0,74.33,76.0,76.33,78.0,72.0,2014
78.17,21.33,20.33,20.67,41.33,21.0,20.67,21.0,21.67,33.33,22.33,56.5,56.0,39.0,72.33,57.0,27.67,68.17,32.0,79.0,21.0,28.33,27.33,22.67,25.0,22.33,21.33,21.0,20.67,77.0,80.17,80.17,79.17,79.17,2015
77.0,14.0,11.0,12.0,42.0,13.0,12.0,13.0,15.0,34.0,23.0,58.0,57.0,39.0,73.0,57.0,21.0,69.0,32.0,79.0,13.0,29.0,28.0,18.0,39.0,23.0,14.0,13.0,12.0,76.0,77.0,81.0,77.0,79.0,2016
