overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
60.0,32.0,22.0,51.0,43.0,11.0,48.0,27.0,32.0,38.0,58.0,71.0,69.0,61.0,54.0,61.0,22.0,73.0,66.0,74.0,23.0,61.0,62.0,56.0,54.0,52.0,59.0,60.0,61.0,7.0,22.0,38.0,22.0,22.0,2007
60.0,32.0,22.0,51.0,43.0,11.0,48.0,27.0,32.0,38.0,58.0,71.0,69.0,61.0,54.0,61.0,22.0,73.0,66.0,74.0,23.0,61.0,62.0,56.0,54.0,52.0,59.0,60.0,61.0,7.0,22.0,38.0,22.0,22.0,2008
66.5,37.5,22.0,51.0,50.5,11.0,48.0,27.0,32.0,50.5,58.0,69.0,69.0,61.0,57.5,61.0,22.0,73.0,68.0,74.5,23.0,69.0,62.0,58.5,54.0,52.0,69.0,76.0,61.0,7.0,22.0,50.5,22.0,22.0,2009
66.0,43.0,21.5,64.0,60.0,11.0,48.0,27.0,32.0,55.5,58.0,67.0,68.0,61.0,64.0,61.0,40.0,73.0,70.0,74.0,23.0,69.0,63.0,47.0,54.0,46.5,68.5,66.5,61.0,11.0,14.5,35.0,16.5,15.5,2010
65.0,43.0,21.0,64.0,62.0,11.0,48.0,27.0,32.0,48.0,58.0,46.0,52.0,58.0,67.0,52.0,58.0,53.0,60.0,77.0,23.0,69.0,64.0,33.0,54.0,41.0,68.0,65.0,61.0,15.0,7.0,7.0,11.0,9.0,2011
66.5,21.0,21.0,70.5,52.0,22.0,48.0,27.0,32.0,48.0,58.0,46.0,51.0,58.0,66.0,52.0,58.0,56.0,60.0,78.0,23.0,71.5,65.5,33.0,53.5,41.0,67.0,66.0,63.5,15.0,7.0,7.0,11.0,9.0,2012
68.0,21.0,21.0,75.0,46.0,22.0,42.0,27.0,32.0,48.0,55.67,46.0,39.67,51.0,63.0,53.67,58.0,59.0,60.0,78.67,23.0,73.0,69.0,33.0,58.0,41.0,67.67,66.0,64.67,15.0,7.0,7.0,11.0,9.0,2013
69.0,21.0,21.0,75.0,46.0,22.0,39.0,27.0,32.0,48.0,54.0,46.0,36.0,46.0,65.0,53.0,58.0,78.0,60.0,82.0,23.0,73.0,72.0,33.0,58.0,41.0,70.0,67.0,66.0,15.0,7.0,7.0,11.0,9.0,2014
69.0,21.0,21.0,75.0,46.0,22.0,39.0,27.0,32.0,48.0,54.0,46.0,36.0,46.0,65.0,53.0,58.0,78.0,60.0,82.0,23.0,73.0,72.0,33.0,58.0,41.0,70.0,67.0,66.0,15.0,7.0,7.0,11.0,9.0,2015
69.33,21.0,21.0,75.0,46.0,22.0,39.0,27.0,32.0,48.0,54.0,46.0,36.0,46.0,65.0,53.0,58.0,78.0,60.0,82.0,23.0,73.0,72.67,33.0,58.0,41.0,71.0,68.0,66.0,15.0,7.0,7.0,11.0,9.0,2016
