overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
79.5,22.0,32.0,88.0,58.0,45.0,36.0,29.0,50.0,40.0,58.0,67.0,72.0,58.0,64.0,77.0,88.0,80.0,83.0,91.0,47.0,82.0,76.0,72.0,31.0,63.0,79.0,74.0,73.0,5.0,13.5,40.0,18.0,16.5,2007
77.0,22.0,31.0,88.0,50.0,45.0,36.0,29.0,37.0,60.0,57.0,64.0,69.0,58.0,64.0,77.0,89.0,80.0,75.0,95.0,59.0,82.0,74.0,71.0,31.0,63.0,74.0,79.0,73.0,5.0,22.0,60.0,22.0,22.0,2008
75.0,22.0,29.0,87.0,48.0,45.0,34.0,29.0,35.0,58.0,55.0,62.0,67.0,58.0,62.0,77.0,87.0,80.0,73.0,95.0,57.0,82.0,72.0,69.0,31.0,61.0,73.0,78.0,73.0,5.0,22.0,58.0,22.0,22.0,2009
75.0,26.0,37.0,84.0,52.5,45.0,32.0,29.0,35.5,62.0,54.0,62.5,65.5,58.0,66.5,77.0,75.5,80.0,72.0,89.5,49.0,80.5,73.5,51.0,31.0,54.0,75.5,77.0,73.0,6.5,18.5,33.5,18.0,15.0,2010
77.5,30.0,45.0,83.0,58.5,47.0,30.0,29.0,36.0,67.5,53.0,63.0,64.0,52.5,71.0,59.5,66.0,76.5,79.0,90.0,41.0,83.0,79.0,33.0,31.0,47.0,78.0,80.0,77.0,8.0,15.0,9.0,14.0,8.0,2011
76.5,30.0,45.0,83.0,60.0,52.0,30.0,29.0,48.0,68.0,53.0,63.0,64.0,47.0,70.0,42.0,71.0,51.0,79.0,93.0,41.0,85.0,76.0,33.0,31.0,45.5,77.0,80.0,77.0,8.0,15.0,9.0,14.0,8.0,2012
77.0,30.0,45.0,83.0,60.0,55.0,30.0,29.0,60.0,67.0,53.0,49.2,55.2,44.4,70.0,42.0,74.0,54.0,78.4,93.0,48.2,87.0,76.0,33.0,31.0,53.0,77.0,80.0,77.0,8.0,15.0,9.0,14.0,8.0,2013
76.0,30.0,45.0,83.0,60.0,55.0,30.0,29.0,60.0,67.0,53.0,48.0,53.0,26.0,70.0,42.0,74.0,54.0,76.0,93.0,53.0,87.0,75.0,33.0,31.0,53.0,75.0,80.0,75.0,8.0,15.0,9.0,14.0,8.0,2014
75.6,30.2,45.2,82.2,60.2,55.2,30.2,29.2,60.2,67.2,52.2,44.8,53.0,26.0,70.2,42.0,74.2,51.0,76.0,93.0,53.2,86.2,74.4,33.2,31.2,53.2,75.6,78.6,74.6,8.2,15.2,9.2,14.2,8.2,2015
78.0,31.0,46.0,83.0,61.0,56.0,31.0,30.0,61.0,68.0,53.0,32.0,53.0,26.0,73.33,42.0,75.0,51.0,76.0,93.0,54.0,90.33,80.0,34.0,32.0,54.0,78.0,81.67,77.0,9.0,16.0,10.0,15.0,9.0,2016
