overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
64.0,58.0,56.0,61.0,63.0,48.0,59.0,70.0,52.0,52.0,59.0,59.0,69.0,79.0,56.0,71.0,49.0,74.0,66.0,63.0,49.0,59.0,55.0,54.0,66.0,51.0,68.0,61.0,73.0,12.0,20.0,52.0,20.0,20.0,2007
64.0,61.0,59.0,61.0,61.0,48.0,58.0,70.0,56.0,58.0,61.0,74.0,73.0,79.0,61.0,71.0,58.0,74.0,70.0,67.0,52.0,59.0,63.0,61.0,66.0,59.0,66.0,64.0,73.0,12.0,20.0,58.0,20.0,20.0,2008
67.0,65.0,45.5,52.0,62.5,48.0,63.5,70.0,57.5,59.5,66.0,79.0,76.5,79.0,63.5,71.0,59.5,74.0,76.0,68.0,56.0,64.0,66.5,64.0,66.0,63.5,68.5,68.0,73.0,12.0,20.0,59.5,20.0,20.0,2009
73.5,71.0,52.0,53.0,65.5,48.0,69.0,70.0,59.0,62.0,73.5,84.0,82.0,79.0,77.0,71.0,61.0,74.0,86.0,72.0,60.0,69.0,71.5,69.5,66.0,62.0,74.0,74.0,73.0,11.5,14.5,38.0,13.5,17.5,2010
74.0,74.0,52.0,53.0,70.0,48.0,70.0,70.0,59.0,67.0,74.0,80.0,82.0,78.0,79.0,72.0,61.0,77.0,88.0,76.0,60.0,69.0,73.0,67.0,66.0,56.0,74.0,74.0,77.0,11.0,9.0,15.0,7.0,15.0,2011
72.0,73.0,47.5,53.0,64.0,48.0,64.5,70.0,59.0,67.0,73.0,79.0,82.0,78.0,75.0,72.0,60.5,77.0,88.0,76.0,57.0,69.0,72.0,57.0,55.0,56.0,67.0,70.5,77.0,11.0,9.0,15.0,7.0,15.0,2012
71.6,72.0,43.0,53.0,62.4,48.0,61.0,70.0,59.0,67.0,71.8,79.4,82.0,78.8,73.0,72.0,60.0,77.0,92.0,76.0,54.0,69.0,71.2,57.0,54.0,56.0,61.8,68.0,77.0,11.0,9.0,15.0,7.0,15.0,2013
71.0,72.0,43.0,53.0,62.0,48.0,61.0,70.0,59.0,67.0,70.0,78.0,79.0,78.0,74.0,72.0,60.0,77.0,92.0,76.0,54.0,72.0,71.0,57.0,54.0,56.0,60.0,68.0,77.0,11.0,9.0,15.0,7.0,15.0,2014
70.71,71.71,43.57,53.57,63.71,48.57,62.71,70.57,59.57,67.57,69.14,76.86,78.43,77.43,75.14,72.29,60.57,74.14,80.71,75.43,54.57,72.57,71.57,57.57,54.57,56.57,60.29,66.71,77.86,11.57,9.57,15.57,7.57,15.57,2015
72.0,73.0,44.0,54.0,65.0,49.0,64.0,71.0,60.0,68.0,70.0,76.0,78.0,77.0,76.0,73.0,61.0,72.0,75.0,75.0,55.0,73.0,72.0,58.0,55.0,57.0,62.0,68.0,80.0,12.0,10.0,16.0,8.0,16.0,2016
