overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
54.0,49.0,29.0,47.0,53.0,38.0,36.0,41.0,31.0,44.0,51.0,63.0,62.0,73.0,69.0,71.0,35.0,66.0,64.0,66.0,42.0,56.0,52.0,42.0,62.0,31.0,48.0,59.0,68.0,1.0,20.0,44.0,20.0,20.0,2007
54.0,49.0,29.0,47.0,53.0,38.0,36.0,41.0,31.0,44.0,51.0,63.0,62.0,73.0,69.0,71.0,35.0,66.0,64.0,66.0,42.0,56.0,52.0,42.0,62.0,31.0,48.0,59.0,68.0,1.0,20.0,44.0,20.0,20.0,2008
57.0,64.0,27.0,45.0,65.0,38.0,34.0,41.0,29.0,54.0,49.0,61.0,60.0,73.0,67.0,71.0,33.0,66.0,62.0,76.0,40.0,58.0,56.0,52.0,62.0,34.0,52.0,61.0,68.0,1.0,20.0,54.0,20.0,20.0,2009
63.0,66.0,29.5,50.0,67.5,38.0,47.5,41.0,38.5,57.0,56.0,68.5,70.5,73.0,68.5,71.0,43.0,66.0,71.0,74.5,41.5,65.0,64.0,55.0,62.0,44.0,60.0,65.0,68.0,5.0,13.0,30.5,16.0,16.0,2010
66.0,65.5,31.5,61.5,66.0,38.0,61.0,41.0,47.0,60.0,63.0,70.0,73.5,70.0,66.5,60.5,52.0,58.5,78.0,75.0,42.0,62.5,64.0,54.5,52.0,48.0,64.5,68.0,65.5,9.0,6.0,6.0,12.0,12.0,2011
65.5,64.0,32.0,68.0,62.5,38.0,60.5,41.0,47.0,60.5,63.5,69.5,70.5,65.5,64.0,50.0,52.0,51.0,76.5,78.0,42.0,57.0,62.0,52.0,42.0,48.0,65.5,70.0,63.5,9.0,6.0,6.0,12.0,12.0,2012
66.0,67.33,33.5,64.0,60.0,38.0,59.0,41.0,47.0,59.33,63.0,70.17,71.0,64.0,64.0,50.0,52.0,51.0,76.0,78.0,42.0,60.0,63.0,56.0,46.17,48.0,66.0,70.5,64.83,9.0,6.0,6.0,12.0,12.0,2013
66.33,68.0,43.67,63.67,60.67,38.0,59.0,41.0,47.0,59.0,63.0,70.0,71.33,64.0,64.33,49.33,55.0,51.0,76.33,78.0,44.67,60.0,63.33,58.33,48.33,48.0,66.0,70.0,65.0,9.0,6.0,6.0,12.0,12.0,2014
67.33,66.67,49.67,65.67,62.67,38.67,59.67,41.67,47.67,57.67,63.67,70.0,72.0,64.0,65.67,48.0,61.67,45.33,75.0,79.33,50.67,60.67,64.67,61.67,51.67,48.67,68.67,72.0,66.67,9.67,6.67,6.67,12.67,12.67,2015
68.5,69.0,50.0,66.0,63.0,39.0,60.0,42.0,48.0,58.0,64.0,66.0,72.0,64.0,66.0,48.0,62.0,34.0,75.0,80.0,51.0,61.0,65.0,62.0,52.0,49.0,70.0,73.0,68.0,10.0,7.0,7.0,13.0,13.0,2016
