overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
82.5,25.0,38.0,83.0,76.0,30.0,51.0,34.0,50.0,64.0,72.0,74.0,75.0,61.0,63.0,81.0,71.0,82.0,77.0,80.5,21.0,74.5,74.0,75.0,68.0,75.0,85.0,84.0,80.0,9.0,13.5,64.0,16.0,15.0,2007
81.0,25.0,43.0,86.0,76.0,30.0,51.0,34.0,25.0,64.0,66.0,74.0,75.0,61.0,63.0,81.0,71.0,82.0,78.0,82.0,21.0,76.0,74.0,75.0,68.0,75.0,86.0,87.0,80.0,9.0,20.0,64.0,20.0,20.0,2008
81.0,25.0,43.0,86.0,76.0,30.0,51.0,34.0,25.0,64.0,66.0,72.0,73.0,61.0,63.0,81.0,69.0,82.0,78.0,84.0,21.0,79.0,77.0,78.0,68.0,75.0,86.0,87.0,80.0,9.0,20.0,64.0,20.0,20.0,2009
81.0,25.0,43.0,86.0,76.0,30.0,51.0,34.0,25.0,64.0,66.0,72.0,73.0,61.0,63.0,81.0,59.0,82.0,78.0,84.0,21.0,79.0,84.0,42.0,68.0,52.0,86.0,87.0,80.0,13.0,5.0,8.0,11.0,7.0,2010
77.0,25.0,32.5,83.0,71.0,30.0,51.0,34.0,25.0,60.0,63.5,63.0,63.5,61.0,63.0,70.0,59.0,86.5,70.5,70.0,21.0,79.0,78.5,35.0,58.5,52.0,75.5,84.0,81.0,13.0,5.0,8.0,11.0,7.0,2011
73.5,25.0,27.0,82.5,70.5,30.0,51.0,34.0,25.0,60.0,62.0,54.0,55.0,61.0,59.0,61.0,59.0,76.0,63.0,69.0,21.0,76.5,70.0,28.0,49.0,52.0,70.5,80.0,78.5,13.0,5.0,8.0,11.0,7.0,2012
73.0,25.0,27.0,82.0,70.0,30.0,51.0,34.0,25.0,60.0,61.0,48.0,32.0,61.0,59.0,51.25,59.0,75.0,39.5,67.0,21.0,76.0,70.0,28.0,49.0,52.0,70.0,80.0,78.0,13.0,5.0,8.0,11.0,7.0,2013
73.0,25.0,27.0,82.0,70.0,30.0,51.0,34.0,25.0,60.0,61.0,48.0,39.5,61.0,56.75,48.0,58.25,75.75,32.0,67.75,21.0,76.0,69.25,28.0,49.0,52.0,70.0,80.0,78.0,13.0,5.0,8.0,11.0,7.0,2014
73.5,25.5,27.5,82.5,70.5,30.5,51.5,34.5,25.5,60.5,61.5,45.0,38.0,59.0,59.0,48.0,58.5,78.5,32.0,69.0,21.5,76.5,69.5,28.5,49.5,52.5,71.5,81.5,79.5,13.5,5.5,8.5,11.5,7.5,2015
74.0,26.0,28.0,83.0,71.0,31.0,52.0,35.0,26.0,61.0,62.0,42.0,32.0,57.0,62.0,48.0,59.0,81.0,32.0,70.0,22.0,77.0,70.0,29.0,50.0,53.0,73.0,83.0,81.0,14.0,6.0,9.0,12.0,8.0,2016
