overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
61.0,69.0,63.0,67.0,65.0,64.0,69.0,57.0,69.0,69.0,69.0,57.0,66.0,73.0,67.0,61.0,63.0,60.0,68.0,63.0,57.0,63.0,64.0,62.0,58.0,66.0,45.0,44.0,49.0,4.0,22.0,69.0,22.0,22.0,2007
61.0,69.0,63.0,67.0,65.0,64.0,69.0,57.0,69.0,69.0,69.0,57.0,66.0,73.0,67.0,61.0,63.0,60.0,68.0,63.0,57.0,63.0,64.0,62.0,58.0,66.0,45.0,44.0,49.0,4.0,22.0,69.0,22.0,22.0,2008
58.0,66.0,60.0,64.0,62.0,64.0,66.0,57.0,66.0,66.0,66.0,54.0,63.0,73.0,64.0,61.0,60.0,60.0,65.0,60.0,54.0,60.0,61.0,59.0,58.0,63.0,42.0,41.0,49.0,4.0,22.0,66.0,22.0,22.0,2009
58.5,66.0,42.5,63.5,62.5,64.0,66.0,57.0,58.5,66.0,67.5,55.5,72.5,73.0,64.5,61.0,58.0,60.0,73.5,62.0,63.0,65.5,49.5,43.5,58.0,56.0,42.5,43.0,49.0,8.5,16.0,38.5,18.0,16.0,2010
67.0,63.0,42.0,63.0,71.0,63.0,66.0,56.0,58.0,66.0,72.0,62.0,79.0,73.0,65.0,69.0,58.0,79.0,89.0,78.0,63.0,76.0,58.0,45.0,62.0,49.0,54.0,62.0,48.0,13.0,10.0,12.0,14.0,10.0,2011
67.0,63.0,42.0,63.0,71.0,63.0,66.0,56.0,58.0,66.0,72.0,62.5,80.0,73.5,65.0,69.0,58.0,80.0,92.0,78.5,63.0,76.0,58.0,59.0,62.0,49.0,54.0,62.0,48.0,13.0,10.0,12.0,14.0,10.0,2012
67.0,63.0,46.0,63.0,71.0,60.75,64.75,56.0,58.0,66.0,70.25,66.0,80.0,73.0,65.0,69.0,64.0,80.0,90.0,77.0,61.25,77.5,61.0,59.5,62.0,51.0,54.0,62.0,48.0,13.0,10.0,12.0,14.0,10.0,2013
70.42,63.83,45.5,63.0,70.67,51.83,65.83,58.67,57.33,69.17,68.92,80.92,83.5,75.75,65.0,71.0,62.5,80.0,90.83,82.0,54.0,84.67,68.5,58.67,64.83,50.67,62.83,67.25,62.92,13.0,10.0,12.0,14.0,10.0,2014
73.29,59.71,42.43,63.43,70.0,42.43,68.29,58.43,54.43,68.57,72.71,77.43,76.71,77.57,70.86,76.29,57.71,80.0,87.57,78.29,45.43,87.29,73.71,58.29,60.57,49.43,72.71,75.0,73.14,13.43,10.43,12.43,14.43,10.43,2015
75.0,56.0,43.0,64.0,72.0,43.0,68.0,59.0,55.0,68.0,73.0,74.33,70.33,77.0,72.0,78.0,62.0,80.0,87.0,76.0,46.0,89.0,76.0,58.0,60.0,50.0,77.0,79.0,76.0,14.0,11.0,13.0,15.0,11.0,2016
