overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
67.5,48.5,42.0,32.0,68.0,44.0,78.0,54.0,56.0,66.5,75.0,87.0,79.0,70.0,71.5,67.0,55.0,67.0,63.0,57.5,49.5,57.0,68.0,45.0,41.0,45.5,19.0,22.0,69.0,8.0,19.5,66.5,15.0,18.0,2007
70.0,70.0,56.0,59.0,72.0,44.0,78.0,54.0,73.0,68.0,75.0,87.0,79.0,70.0,73.0,67.0,55.0,67.0,66.0,61.0,61.0,57.0,68.0,45.0,41.0,52.0,24.0,22.0,69.0,8.0,25.0,68.0,25.0,25.0,2008
69.5,67.5,56.0,59.0,70.5,44.0,77.0,54.0,73.0,67.5,74.0,85.5,80.0,70.0,73.0,67.0,55.0,67.0,67.0,65.0,61.0,57.0,68.0,46.5,41.0,52.0,45.5,45.0,69.0,8.0,25.0,67.5,25.0,25.0,2009
69.0,67.0,54.0,59.0,63.0,44.0,76.0,54.0,72.0,60.5,72.0,82.0,82.5,70.0,72.5,67.0,61.0,67.0,81.5,72.0,61.0,57.0,66.5,63.0,41.0,51.5,60.5,67.5,69.0,7.0,15.5,38.5,19.0,16.5,2010
68.0,67.5,52.0,59.0,63.5,44.0,73.0,54.0,71.0,56.0,69.5,78.5,85.0,68.5,70.5,65.0,67.0,64.5,86.5,70.0,61.0,58.0,65.0,65.5,41.0,51.0,59.5,63.5,66.0,6.0,6.0,12.0,13.0,8.0,2011
73.0,73.0,55.0,64.5,71.5,44.0,75.5,61.5,64.0,64.0,73.5,78.0,86.0,69.0,73.0,63.0,65.0,67.0,91.0,69.0,61.0,71.0,64.5,74.0,56.0,51.0,70.5,64.0,71.0,6.0,6.0,12.0,13.0,8.0,2012
67.0,70.0,55.0,63.0,65.0,44.0,67.0,63.0,64.0,63.0,68.0,72.0,75.0,69.0,68.0,63.0,65.0,67.0,79.0,68.0,61.0,73.0,64.0,69.0,56.0,51.0,64.0,64.0,63.0,6.0,6.0,12.0,13.0,8.0,2013
67.67,70.33,55.0,62.5,65.67,44.0,67.67,63.0,64.0,63.0,69.67,74.0,76.33,68.67,68.0,63.0,65.0,67.0,79.17,68.67,61.0,73.0,64.0,69.0,56.0,51.0,64.0,64.67,63.0,6.0,6.0,12.0,13.0,8.0,2014
70.33,71.0,54.0,63.33,68.33,44.33,70.67,63.33,64.33,60.33,71.33,75.67,78.0,67.0,69.0,63.0,65.33,73.0,83.33,70.67,61.33,73.33,66.33,70.33,56.33,51.33,69.0,67.33,66.0,6.33,6.33,12.33,13.33,8.33,2015
72.0,73.0,52.0,66.0,69.0,45.0,75.0,64.0,65.0,55.0,71.0,75.0,78.0,67.0,71.0,63.0,66.0,85.0,82.0,72.0,62.0,74.0,69.0,71.0,57.0,52.0,74.0,70.0,71.0,7.0,7.0,13.0,14.0,9.0,2016
