overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
72.5,70.0,68.5,66.5,71.0,58.0,76.0,65.0,63.0,70.0,72.5,70.5,75.0,76.0,69.5,59.0,62.5,67.0,69.0,62.0,65.5,33.5,63.0,66.0,68.0,62.5,27.5,31.5,30.0,8.0,14.5,70.0,15.0,15.0,2007
75.0,75.0,73.0,66.0,77.0,58.0,83.0,65.0,63.0,72.0,80.0,74.0,80.0,76.0,75.0,59.0,62.0,67.0,62.0,63.0,61.0,33.0,64.0,67.0,68.0,52.0,22.0,21.0,30.0,8.0,22.0,72.0,22.0,22.0,2008
75.0,77.0,63.0,64.0,71.0,58.0,84.0,65.0,64.0,72.0,80.0,80.0,84.0,76.0,76.0,59.0,67.0,67.0,62.0,50.0,59.0,89.0,64.0,65.0,68.0,53.0,22.0,32.0,30.0,8.0,22.0,72.0,22.0,22.0,2009
73.5,74.0,63.0,59.0,70.0,58.0,81.5,65.0,64.0,67.0,77.0,78.5,79.0,76.0,73.5,59.0,67.0,67.0,62.0,50.0,59.0,59.0,52.0,66.0,68.0,59.0,20.0,32.0,30.0,11.0,16.5,41.5,17.5,16.5,2010
71.5,72.0,62.5,49.0,68.5,58.0,79.0,70.5,59.0,60.5,73.5,84.0,81.0,77.5,71.5,74.0,66.5,62.5,64.0,42.0,59.0,59.0,40.0,67.0,67.5,65.0,17.5,32.0,30.0,14.0,11.0,12.0,13.0,11.0,2011
74.0,71.0,62.0,44.0,67.0,58.0,80.5,71.5,54.0,63.5,75.5,91.0,88.5,81.5,73.0,90.0,66.0,58.0,69.0,34.0,59.0,59.0,40.0,67.0,67.0,65.0,17.0,32.0,30.0,14.0,11.0,12.0,13.0,11.0,2012
74.0,71.0,62.0,44.0,71.0,58.0,80.0,73.0,54.0,65.6,77.0,90.6,87.0,82.2,72.0,89.8,63.0,58.0,64.0,34.2,59.0,59.0,40.0,67.0,67.0,65.0,17.2,32.0,30.0,14.0,11.0,12.0,13.0,11.0,2013
74.0,71.0,62.0,44.0,71.0,58.0,80.0,73.0,54.0,68.0,77.0,90.0,87.0,85.0,72.0,89.0,63.0,58.0,63.0,33.0,59.0,59.0,40.0,67.0,67.0,65.0,18.0,32.0,30.0,14.0,11.0,12.0,13.0,11.0,2014
74.0,71.0,62.0,44.0,71.0,58.0,80.0,73.0,54.0,68.0,77.0,90.0,87.0,85.0,72.0,89.0,63.0,58.0,63.0,33.0,59.0,59.0,40.0,67.0,67.0,65.0,18.0,32.0,30.0,14.0,11.0,12.0,13.0,11.0,2015
71.67,68.83,60.17,43.0,69.67,56.17,74.67,70.67,53.67,67.67,73.0,88.67,87.0,85.83,69.33,89.0,62.17,57.0,63.0,32.83,57.67,57.67,40.67,67.67,63.67,64.67,19.0,31.0,29.0,14.0,11.0,12.0,13.0,11.0,2016
