overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
59.0,51.0,58.0,51.0,59.0,71.0,63.0,56.0,53.0,58.0,61.0,61.0,69.0,82.0,54.0,74.0,51.0,68.0,68.0,53.0,45.0,54.0,49.0,51.0,75.0,53.0,33.0,46.0,33.0,5.0,21.0,58.0,21.0,21.0,2007
66.0,67.0,59.0,51.0,73.0,71.0,72.0,56.0,53.0,60.0,73.0,74.0,73.0,82.0,60.0,74.0,56.0,68.0,73.0,67.0,55.0,55.0,49.0,68.0,75.0,53.0,33.0,46.0,33.0,5.0,21.0,60.0,21.0,21.0,2008
72.0,67.0,70.0,51.0,73.0,71.0,75.0,56.0,53.0,70.0,76.0,76.0,75.0,82.0,74.0,74.0,66.0,68.0,74.0,70.0,63.0,55.0,70.0,78.0,75.0,53.0,33.0,46.0,33.0,5.0,21.0,70.0,21.0,21.0,2009
76.0,67.0,75.0,51.0,73.0,71.0,77.0,56.0,70.0,70.0,79.0,84.0,83.0,82.0,81.0,74.0,80.0,68.0,70.0,61.0,73.0,55.0,42.0,82.0,75.0,61.0,31.0,46.0,33.0,13.0,7.0,10.0,10.0,8.0,2010
73.0,65.5,71.5,51.0,73.0,71.0,77.0,56.0,70.0,69.0,79.0,79.0,80.5,82.0,71.0,73.5,80.0,66.5,59.0,59.0,73.0,45.0,42.0,72.0,63.5,61.0,31.0,46.0,33.0,13.0,7.0,10.0,10.0,8.0,2011
77.5,76.0,68.0,51.0,74.0,71.0,85.5,56.0,70.0,68.5,82.5,85.0,82.5,82.0,80.0,73.0,81.0,71.0,73.5,57.0,73.5,45.0,42.0,76.5,64.5,61.0,31.0,46.0,33.0,13.0,7.0,10.0,10.0,8.0,2012
80.83,80.0,68.0,51.0,75.67,71.0,87.0,56.0,70.0,71.67,85.0,87.0,82.83,85.0,81.33,73.0,82.0,71.0,81.5,57.0,74.0,45.0,42.0,81.0,71.33,61.0,31.0,46.0,33.0,13.0,7.0,10.0,10.0,8.0,2013
81.0,80.0,68.5,51.5,77.0,71.5,87.0,56.5,70.5,70.5,85.0,87.5,81.5,85.5,83.5,79.5,82.5,71.5,84.5,57.5,74.5,45.5,42.5,80.5,74.5,61.5,31.5,46.5,33.5,13.0,7.0,10.0,10.0,8.0,2014
81.33,80.0,71.0,56.0,76.0,71.5,87.0,57.0,69.5,70.0,84.5,86.83,89.5,86.0,81.5,79.67,81.5,72.0,81.17,58.0,73.0,50.5,37.0,80.5,75.5,62.0,28.5,39.5,32.5,13.0,7.0,10.0,10.0,8.0,2015
81.0,80.0,73.0,60.0,75.0,71.0,87.0,57.0,68.0,69.0,84.0,86.0,91.67,86.0,79.0,79.0,80.0,72.0,77.0,58.0,71.0,55.0,31.0,80.0,76.0,62.0,25.0,32.0,31.0,13.0,7.0,10.0,10.0,8.0,2016
