overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
74.0,73.0,75.0,64.0,76.0,73.0,79.0,71.0,73.0,75.0,80.0,80.0,83.0,85.0,67.0,80.0,70.0,60.0,60.0,61.0,71.0,44.0,41.0,61.0,79.0,44.0,20.0,23.0,25.0,5.0,20.0,75.0,20.0,20.0,2007
74.0,73.0,75.0,64.0,76.0,73.0,79.0,71.0,73.0,75.0,80.0,80.0,83.0,85.0,67.0,80.0,70.0,60.0,60.0,61.0,71.0,44.0,41.0,61.0,79.0,44.0,20.0,23.0,25.0,5.0,20.0,75.0,20.0,20.0,2008
75.0,73.0,75.0,64.0,76.0,73.0,77.5,71.0,73.0,75.0,80.0,80.0,80.5,85.0,71.0,80.0,70.0,60.0,60.0,61.0,72.5,44.0,63.0,61.0,79.0,62.0,20.0,23.0,25.0,5.0,20.0,75.0,20.0,20.0,2009
77.0,76.5,75.5,62.0,84.0,73.0,78.0,71.0,73.0,77.0,82.0,80.0,78.0,85.0,71.0,80.0,70.0,60.0,64.5,61.0,74.0,49.0,45.5,62.5,79.0,73.0,19.0,28.0,25.0,8.0,12.0,44.0,14.5,17.0,2010
75.5,75.0,74.0,60.0,80.5,73.0,76.0,71.0,73.0,75.5,81.0,82.0,79.5,85.5,71.0,73.5,70.0,60.0,69.0,60.5,74.0,54.0,25.0,64.0,77.0,78.0,18.0,33.0,25.0,11.0,4.0,11.0,9.0,14.0,2011
75.5,75.0,74.0,60.0,77.0,73.0,78.0,71.0,73.0,74.0,80.0,81.5,75.0,83.5,71.0,77.0,70.0,60.0,69.0,64.0,78.0,54.0,25.0,64.0,77.0,78.0,18.0,33.0,25.0,11.0,4.0,11.0,9.0,14.0,2012
73.5,74.5,69.75,57.25,76.25,72.0,77.5,72.0,73.0,71.5,80.0,78.75,69.0,81.5,70.25,77.0,68.75,60.0,69.5,65.5,77.0,54.0,25.0,64.0,69.0,77.0,19.75,32.5,25.0,11.0,4.0,11.0,9.0,14.0,2013
72.0,73.0,57.0,49.0,74.0,69.0,76.0,75.0,73.0,64.0,80.0,78.0,69.0,83.0,68.0,77.0,65.0,60.0,71.0,58.0,74.0,54.0,25.0,64.0,69.0,74.0,25.0,31.0,25.0,11.0,4.0,11.0,9.0,14.0,2014
73.0,73.5,57.5,49.5,74.5,69.5,77.0,75.5,73.5,65.5,80.5,78.0,70.5,84.0,70.0,77.0,67.5,60.0,71.0,58.0,75.5,54.5,22.0,64.5,71.5,74.5,22.5,31.5,22.5,11.5,4.5,11.5,9.5,14.5,2015
74.0,74.0,58.0,50.0,75.0,70.0,78.0,76.0,74.0,67.0,81.0,78.0,72.0,75.0,72.0,77.0,70.0,60.0,70.0,58.0,77.0,55.0,19.0,65.0,73.75,75.0,20.0,32.0,20.0,12.0,5.0,12.0,10.0,15.0,2016
