overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
70.0,35.0,69.0,63.0,48.0,73.0,67.0,64.0,49.5,38.0,68.0,70.0,73.0,75.0,66.0,65.0,73.0,68.0,68.0,64.0,64.0,65.0,75.0,59.0,65.0,59.0,22.0,25.0,28.0,12.0,15.5,38.0,16.0,13.5,2007
65.0,35.0,69.0,63.0,48.0,73.0,58.0,64.0,40.0,38.0,61.0,63.0,73.0,75.0,66.0,65.0,73.0,68.0,68.0,64.0,64.0,48.0,62.0,56.0,65.0,53.0,22.0,25.0,28.0,12.0,20.0,38.0,20.0,20.0,2008
66.0,35.0,71.0,65.0,64.0,73.0,58.0,64.0,47.0,38.0,61.0,67.0,73.0,75.0,66.0,65.0,73.0,68.0,68.0,64.0,64.0,48.0,60.0,56.0,65.0,53.0,22.0,25.0,28.0,12.0,20.0,38.0,20.0,20.0,2009
71.0,66.0,72.0,66.0,70.0,73.0,72.0,64.0,53.0,52.0,69.0,76.0,73.0,75.0,67.0,65.0,74.0,68.0,70.0,65.0,67.0,59.0,49.0,75.0,65.0,72.0,35.0,35.0,28.0,7.0,10.0,13.0,13.0,9.0,2010
71.0,66.0,72.0,66.0,70.0,73.0,72.0,59.0,53.0,51.0,69.0,76.0,73.5,77.0,67.0,73.0,74.0,68.0,67.5,65.0,67.0,59.0,39.0,75.0,62.5,72.0,30.0,30.0,28.0,7.0,10.0,13.0,13.0,9.0,2011
72.5,66.0,75.0,73.0,70.0,73.0,75.0,54.0,53.0,50.0,69.0,76.0,74.0,79.0,67.0,81.0,74.0,68.0,63.0,65.0,67.0,59.0,29.0,76.0,60.0,72.0,25.0,25.0,28.0,7.0,10.0,13.0,13.0,9.0,2012
74.0,71.0,74.0,70.0,74.0,73.0,74.0,54.0,53.0,58.0,76.0,76.0,74.0,81.4,74.0,81.0,76.0,68.0,60.4,65.0,73.0,64.0,33.0,77.0,63.0,72.0,40.2,39.6,33.2,7.0,10.0,13.0,13.0,9.0,2013
72.5,71.0,72.0,69.5,74.0,73.0,71.5,54.0,53.0,58.0,75.5,72.5,70.0,78.5,72.0,78.0,76.0,68.0,57.0,65.0,73.0,64.0,42.5,73.0,63.0,72.0,45.5,45.0,39.5,7.0,10.0,13.0,13.0,9.0,2014
70.67,71.5,70.5,69.5,74.5,73.5,69.5,54.5,53.5,58.5,75.17,67.0,65.5,73.5,68.5,75.0,76.5,68.0,49.5,63.5,73.5,64.5,50.5,69.5,63.5,72.5,50.5,50.5,45.5,7.5,10.5,13.5,13.5,9.5,2015
70.0,72.0,71.0,70.0,75.0,74.0,70.0,55.0,54.0,63.0,75.0,65.0,65.0,73.0,65.0,75.0,77.0,69.5,48.0,60.0,74.0,65.0,51.0,70.0,67.0,73.0,51.0,51.0,46.0,8.0,11.0,14.0,14.0,10.0,2016
