overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
57.0,54.5,52.0,50.5,61.0,61.0,60.5,52.0,46.0,51.5,60.5,71.0,68.5,72.0,53.0,61.0,66.5,56.0,61.5,57.0,54.5,50.0,55.0,57.0,63.0,45.5,30.5,33.5,38.0,1.0,12.0,51.5,14.0,11.5,2007
60.0,58.0,56.0,50.0,64.0,61.0,64.0,52.0,49.0,55.0,66.0,72.0,69.0,72.0,58.0,61.0,67.0,56.0,67.0,62.0,56.0,50.0,55.0,57.0,63.0,48.0,29.0,36.0,38.0,1.0,20.0,55.0,20.0,20.0,2008
62.5,61.0,56.5,50.5,65.0,61.0,64.0,52.0,49.0,58.5,65.0,75.0,74.0,72.0,59.0,61.0,64.5,56.0,67.0,60.5,51.5,52.0,56.0,58.5,63.0,52.0,29.0,36.0,38.0,1.0,20.0,58.5,20.0,20.0,2009
67.0,66.0,54.0,51.0,69.0,61.0,67.0,52.0,66.0,59.0,66.0,79.0,81.0,72.0,64.0,61.0,63.0,56.0,67.0,62.0,50.0,51.0,58.0,64.0,63.0,60.0,29.0,36.0,38.0,8.0,7.0,15.0,11.0,12.0,2010
68.0,66.0,54.0,51.0,69.0,61.0,67.0,52.0,66.0,59.0,66.0,79.5,85.0,80.0,64.0,69.0,63.0,58.0,69.5,62.5,50.0,51.0,58.0,64.0,63.0,60.0,29.0,36.0,38.0,8.0,7.0,15.0,11.0,12.0,2011
71.0,69.0,60.0,51.0,72.5,61.0,69.0,52.0,69.0,63.0,72.5,80.0,89.0,78.0,67.5,74.0,63.0,58.0,67.0,63.0,51.0,55.0,58.0,66.5,67.5,60.0,29.0,36.0,38.0,8.0,7.0,15.0,11.0,12.0,2012
74.71,72.14,73.29,76.0,75.71,65.14,74.14,56.57,62.0,67.14,75.0,80.29,88.71,78.0,73.0,74.0,68.29,68.71,67.0,63.0,56.57,60.14,58.0,77.43,71.86,60.0,29.0,36.0,35.57,8.0,7.0,15.0,11.0,12.0,2013
76.0,74.0,76.0,76.0,77.0,67.0,76.0,58.0,62.0,69.0,77.0,81.0,87.0,77.0,73.0,72.0,71.0,76.0,68.0,64.0,61.0,63.0,58.0,78.0,73.0,60.0,29.0,36.0,37.0,8.0,7.0,15.0,11.0,12.0,2014
76.5,75.0,75.25,75.25,76.5,67.75,77.25,58.75,62.75,68.25,76.5,79.5,86.25,77.0,75.25,72.0,71.5,76.0,69.0,64.0,61.75,62.25,55.0,77.0,74.5,60.75,29.75,36.75,36.25,8.75,7.75,15.75,11.75,12.75,2015
76.0,74.0,73.0,75.0,75.0,68.0,77.0,59.0,63.0,68.0,75.0,79.0,86.0,77.0,76.0,72.0,71.0,76.0,68.0,64.0,62.0,62.0,54.0,77.0,75.0,61.0,30.0,37.0,36.0,9.0,8.0,16.0,12.0,13.0,2016
