overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
75.0,67.0,36.0,74.0,74.0,27.0,55.0,68.0,56.0,57.0,63.0,74.5,76.5,84.0,55.0,76.0,55.0,72.0,75.0,77.0,41.0,62.0,64.0,73.0,67.0,70.0,79.0,79.0,73.0,21.0,19.0,57.0,20.5,18.5,2007
71.0,62.0,28.0,75.0,70.0,27.0,68.0,68.0,42.0,57.0,65.0,82.0,81.0,84.0,61.0,76.0,55.0,72.0,78.0,77.0,63.0,70.0,67.0,73.0,67.0,70.0,69.0,71.0,73.0,21.0,23.0,57.0,23.0,23.0,2008
72.0,62.0,37.0,75.0,70.0,27.0,80.0,68.0,42.0,57.0,65.0,82.0,90.0,84.0,61.0,76.0,55.0,72.0,78.0,77.0,67.0,70.0,67.0,73.0,67.0,70.0,70.0,74.0,73.0,21.0,23.0,57.0,23.0,23.0,2009
75.5,72.5,42.0,76.5,73.5,27.0,78.5,68.0,42.0,64.0,75.0,83.0,83.5,84.0,64.5,76.0,78.0,72.0,80.5,83.0,78.0,74.5,70.5,60.5,67.0,60.5,77.0,77.0,73.0,17.5,19.0,36.5,14.0,17.0,2010
72.0,72.0,42.5,76.5,71.5,27.0,71.5,67.5,42.0,63.5,71.5,80.5,84.5,74.5,66.0,66.5,76.0,64.0,82.5,84.0,70.5,74.5,66.0,48.0,62.5,66.0,69.0,72.0,68.0,14.0,15.0,9.0,5.0,11.0,2011
71.0,71.0,38.0,76.0,71.0,27.0,65.0,67.0,42.0,63.0,70.0,78.5,83.0,73.0,65.0,57.0,76.0,56.0,83.0,81.0,65.0,73.0,66.0,52.5,57.0,83.0,67.0,71.0,67.0,14.0,15.0,9.0,5.0,11.0,2012
71.4,71.2,47.6,76.0,71.0,27.0,67.4,67.0,42.0,63.0,71.0,73.4,75.0,73.0,68.0,57.0,76.0,56.8,83.0,78.0,63.0,73.0,66.0,57.0,57.0,83.0,67.0,73.2,69.0,14.0,15.0,9.0,5.0,11.0,2013
70.33,72.0,50.0,74.67,69.0,27.0,66.67,67.0,42.0,63.0,69.0,71.33,74.0,73.0,67.33,57.0,74.0,60.0,83.0,77.33,63.0,73.0,65.33,53.67,57.0,78.33,66.33,72.67,68.33,14.0,15.0,9.0,5.0,11.0,2014
70.4,72.4,55.8,74.4,68.4,49.4,65.4,67.4,42.4,63.4,68.4,70.6,71.6,73.0,64.2,57.0,73.4,62.4,83.0,75.6,63.4,69.4,65.4,56.8,60.6,76.4,67.6,72.4,69.6,14.4,15.4,9.4,5.4,11.4,2015
70.5,73.0,60.0,75.0,68.5,50.0,66.0,68.0,43.0,64.0,68.0,69.0,69.0,73.0,64.0,57.0,73.5,64.0,79.0,70.0,64.0,69.0,66.0,64.0,67.0,76.5,70.0,74.0,72.0,15.0,16.0,10.0,6.0,12.0,2016
