overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
63.0,58.0,60.0,56.5,60.5,66.0,67.5,66.0,54.0,55.5,69.0,61.0,66.0,75.0,59.5,62.0,57.0,64.0,61.0,53.0,58.5,38.0,52.0,54.0,74.0,48.0,28.0,27.0,37.0,9.0,17.5,55.5,13.0,13.5,2007
68.0,66.0,66.0,57.0,69.0,66.0,74.0,66.0,64.0,64.0,76.0,68.0,68.0,75.0,64.0,62.0,64.0,64.0,65.0,53.0,69.0,48.0,61.0,63.0,74.0,53.0,23.0,27.0,37.0,9.0,21.0,64.0,21.0,21.0,2008
68.0,68.5,66.0,57.0,69.0,66.0,74.0,66.0,64.0,65.0,76.0,71.0,68.0,75.0,64.0,62.0,64.0,64.0,65.0,53.5,69.0,53.0,60.0,62.5,74.0,53.0,23.0,27.0,37.0,9.0,21.0,65.0,21.0,21.0,2009
68.0,71.0,66.0,57.0,69.0,66.0,74.0,66.0,64.0,66.0,76.0,71.0,68.0,75.0,64.0,62.0,64.0,64.0,62.0,56.0,69.0,58.0,41.0,66.0,74.0,60.0,23.0,27.0,37.0,14.0,10.0,8.0,14.0,7.0,2010
68.5,71.0,66.0,57.0,69.0,66.0,74.0,66.0,64.0,66.0,76.0,72.0,68.0,75.0,64.0,64.0,64.0,66.0,62.0,61.5,69.0,58.0,41.0,68.0,74.0,60.0,23.0,27.0,37.0,14.0,10.0,8.0,14.0,7.0,2011
68.0,69.0,67.0,54.0,68.0,66.0,73.0,66.0,64.0,65.5,74.0,73.0,68.0,76.0,64.0,62.5,65.0,68.0,62.0,58.0,68.0,57.0,41.0,66.0,71.5,60.0,23.0,27.0,37.0,14.0,10.0,8.0,14.0,7.0,2012
66.4,64.0,64.0,62.6,66.7,63.2,67.0,64.6,65.0,62.0,70.2,58.1,65.3,63.3,63.2,60.0,66.1,65.0,66.8,65.2,67.1,59.2,41.2,66.1,65.6,60.1,23.0,32.6,37.0,14.0,10.0,8.0,14.0,7.0,2013
67.0,67.0,64.0,63.0,67.0,65.0,70.0,64.0,65.0,62.0,71.0,56.0,64.5,62.0,65.0,60.0,67.0,65.0,71.0,67.0,68.0,68.0,43.0,67.0,66.0,61.0,23.0,35.0,37.0,14.0,10.0,8.0,14.0,7.0,2014
67.86,64.57,65.86,62.29,68.86,63.43,71.0,64.14,65.14,62.14,71.14,54.43,64.29,62.71,65.86,63.43,65.43,63.57,70.86,67.14,67.29,68.14,47.14,68.86,68.71,66.43,35.14,46.29,39.71,14.14,10.14,8.14,14.14,7.14,2015
68.5,65.0,67.0,63.0,70.0,64.0,72.0,65.0,66.0,63.0,72.0,51.0,61.0,63.0,67.0,64.0,66.0,65.0,71.0,68.0,68.0,69.0,49.0,72.0,71.0,69.0,38.0,49.0,41.0,15.0,11.0,9.0,15.0,8.0,2016
