overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
60.0,61.0,53.0,51.0,65.0,63.0,62.0,64.0,67.0,60.0,65.0,60.0,65.0,72.0,57.0,57.0,57.0,60.0,67.0,42.0,65.0,45.0,52.0,47.0,75.0,56.0,42.0,51.0,49.0,1.0,23.0,60.0,23.0,23.0,2007
60.0,61.0,53.0,51.0,65.0,63.0,62.0,64.0,67.0,60.0,65.0,60.0,65.0,72.0,57.0,57.0,57.0,60.0,67.0,42.0,65.0,45.0,52.0,47.0,75.0,56.0,42.0,51.0,49.0,1.0,23.0,60.0,23.0,23.0,2008
66.5,66.0,63.5,51.0,70.0,63.0,66.0,64.0,69.0,67.0,73.5,63.5,68.0,72.0,66.0,57.0,64.5,60.0,72.0,42.0,68.0,47.5,61.5,68.0,75.0,64.0,47.0,51.0,49.0,1.0,23.0,67.0,23.0,23.0,2009
67.0,66.0,66.0,51.0,71.0,63.0,66.0,64.0,69.0,67.0,69.0,60.0,67.0,72.0,66.0,57.0,67.0,60.0,73.0,54.0,69.0,50.0,67.0,72.0,75.0,68.0,49.0,53.0,49.0,9.0,13.0,14.0,13.0,6.0,2010
69.5,66.0,63.0,51.0,74.0,64.5,65.0,65.0,70.0,71.0,72.0,65.0,65.0,71.0,69.0,70.0,66.0,71.5,77.0,52.0,69.5,58.0,69.5,61.5,75.0,67.5,50.0,60.0,53.0,9.0,13.0,14.0,13.0,6.0,2011
72.5,64.5,62.0,51.0,77.0,65.0,68.0,68.0,71.5,72.0,76.5,67.0,68.0,73.0,72.5,79.5,65.0,72.5,83.0,52.5,67.0,69.0,73.5,63.0,76.0,67.0,55.5,62.5,65.5,9.0,13.0,14.0,13.0,6.0,2012
69.2,63.0,58.8,51.0,73.6,61.2,68.0,70.4,70.0,71.8,74.8,73.6,68.0,76.0,66.0,82.0,63.8,60.6,77.0,48.2,59.4,68.8,67.0,61.6,72.2,67.0,61.8,62.4,62.4,9.0,13.0,14.0,13.0,6.0,2013
69.33,64.5,57.5,51.0,72.0,63.0,68.0,71.0,70.0,71.0,73.5,71.67,68.0,76.0,71.0,82.0,65.5,60.0,77.0,52.0,65.33,70.0,71.0,64.33,71.0,66.67,59.33,62.67,61.5,9.0,13.0,14.0,13.0,6.0,2014
74.0,69.8,56.5,51.5,77.0,66.5,69.9,72.5,71.5,75.0,75.5,66.9,66.4,76.0,75.5,82.0,68.5,61.0,77.0,56.0,70.5,71.9,76.5,65.5,76.0,69.3,62.5,68.1,64.7,9.5,13.5,14.5,13.5,6.5,2015
78.0,74.0,57.0,52.0,83.0,67.0,73.0,74.0,73.0,80.0,81.0,64.0,68.0,76.0,80.0,80.0,69.0,62.0,77.0,56.0,71.0,73.0,81.0,66.0,80.0,78.0,63.0,73.0,68.0,10.0,14.0,15.0,14.0,7.0,2016
