overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
67.0,31.0,64.0,66.0,38.0,59.0,59.0,65.0,64.0,34.0,68.0,80.0,77.0,71.0,77.0,50.0,75.0,67.0,47.0,56.0,63.0,46.0,51.0,44.0,49.0,51.0,22.0,22.0,14.0,8.0,22.0,34.0,22.0,22.0,2007
67.0,31.0,64.0,66.0,38.0,59.0,59.0,65.0,64.0,34.0,68.0,80.0,77.0,71.0,77.0,50.0,75.0,67.0,47.0,56.0,63.0,46.0,51.0,44.0,49.0,51.0,22.0,22.0,14.0,8.0,22.0,34.0,22.0,22.0,2008
69.0,31.0,68.0,62.0,48.0,59.0,59.0,65.0,68.0,34.0,68.0,80.0,77.0,71.0,77.0,50.0,75.0,67.0,67.0,66.0,69.0,46.0,61.0,64.0,49.0,51.0,22.0,22.0,14.0,8.0,22.0,34.0,22.0,22.0,2009
66.5,31.0,66.5,62.0,48.0,59.0,59.0,65.0,58.0,34.0,68.0,78.0,76.0,71.0,67.0,50.0,74.0,67.0,66.5,66.0,64.0,46.0,41.5,59.5,49.0,55.0,18.5,16.0,14.0,7.0,16.5,22.0,17.5,14.5,2010
65.0,46.0,63.5,62.5,54.0,59.0,62.5,64.0,61.0,42.0,66.5,76.0,76.0,73.5,61.0,54.5,71.0,65.0,66.0,71.0,61.0,46.0,22.0,55.0,49.0,59.0,15.0,20.0,17.0,6.0,11.0,10.0,13.0,7.0,2011
64.0,61.0,62.0,63.0,60.0,59.0,66.0,63.0,61.0,50.0,65.0,76.0,77.0,76.0,61.0,59.0,70.0,63.0,66.0,76.0,61.0,46.0,22.0,55.0,49.0,59.0,15.0,30.0,20.0,6.0,11.0,10.0,13.0,7.0,2012
63.5,61.0,60.5,63.0,60.0,59.0,64.5,63.0,61.0,50.0,65.0,76.12,79.12,76.0,60.88,59.0,70.0,62.62,66.0,76.0,61.0,46.0,22.0,55.0,49.0,59.0,20.0,30.0,20.0,6.0,11.0,10.0,13.0,7.0,2013
61.1,56.8,58.0,53.5,60.6,59.0,62.5,60.9,54.7,50.0,60.3,78.6,81.5,75.7,61.0,59.3,64.1,61.0,68.2,64.6,61.0,46.0,22.0,58.5,49.0,50.9,25.7,30.6,21.0,6.0,11.0,10.0,13.0,7.0,2014
63.6,55.8,58.8,48.8,62.8,59.8,63.8,60.8,52.8,50.8,58.8,83.2,89.2,75.0,62.8,60.0,63.8,62.0,71.6,60.0,61.8,46.8,22.8,62.8,49.8,50.8,32.8,36.8,30.8,6.8,11.8,10.8,13.8,7.8,2015
64.0,56.0,59.0,49.0,63.0,60.0,64.0,61.0,53.0,51.0,59.0,84.0,90.0,80.0,63.0,60.0,64.0,62.0,72.0,58.0,62.0,47.0,23.0,63.0,50.0,51.0,33.0,37.0,31.0,7.0,12.0,11.0,14.0,8.0,2016
