overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
53.0,45.0,23.0,32.0,48.0,35.0,49.0,48.0,47.0,55.0,58.0,66.0,69.0,79.0,75.0,74.0,34.0,73.0,50.0,50.0,21.0,48.0,43.0,41.0,39.0,35.0,51.0,54.0,75.0,10.0,21.0,55.0,21.0,21.0,2007
53.0,45.0,23.0,32.0,48.0,35.0,49.0,48.0,47.0,55.0,58.0,66.0,69.0,79.0,75.0,74.0,34.0,73.0,50.0,50.0,21.0,48.0,43.0,41.0,39.0,35.0,51.0,54.0,75.0,10.0,21.0,55.0,21.0,21.0,2008
56.0,48.0,33.5,35.0,51.0,35.0,52.0,48.0,53.5,58.0,68.5,69.0,72.0,79.0,76.5,74.0,43.5,73.0,68.5,59.5,30.0,61.0,47.0,44.0,39.0,40.0,54.5,57.0,75.0,10.0,21.0,58.0,21.0,21.0,2009
75.0,78.0,42.0,36.0,75.0,35.0,73.0,48.0,58.0,70.0,77.0,70.0,73.0,79.0,75.0,74.0,51.0,73.0,85.0,67.0,38.0,72.0,70.0,54.0,39.0,50.0,56.0,59.0,75.0,6.0,5.0,13.0,6.0,13.0,2010
75.0,78.0,42.0,65.0,75.0,35.0,73.0,48.0,58.0,70.0,77.0,82.0,84.0,79.0,75.0,74.0,51.0,73.0,85.0,67.0,38.0,72.0,70.0,54.0,39.0,50.0,69.0,75.0,75.0,6.0,5.0,13.0,6.0,13.0,2011
75.0,78.0,42.0,65.0,75.0,35.0,73.0,48.0,58.0,70.0,77.0,82.0,84.0,79.0,75.0,74.0,51.0,73.0,85.0,67.0,38.0,72.0,70.0,54.0,39.0,50.0,69.0,75.0,75.0,6.0,5.0,13.0,6.0,13.0,2012
73.75,78.0,41.25,65.0,74.75,35.0,73.25,48.5,58.0,70.0,76.75,78.5,81.12,79.0,75.0,73.5,51.25,73.25,84.38,67.0,38.0,70.25,69.0,54.25,42.5,50.0,67.5,73.75,73.38,6.0,5.0,13.0,6.0,13.0,2013
72.4,78.0,48.6,65.0,74.0,42.8,74.0,50.0,58.0,69.2,76.0,79.0,80.2,78.6,75.0,71.6,55.0,74.0,84.0,67.0,38.0,59.0,67.6,58.2,53.0,50.0,67.0,71.2,70.4,6.0,5.0,13.0,6.0,13.0,2014
73.6,77.0,53.6,69.2,74.2,48.2,74.2,50.6,57.3,69.4,75.2,78.0,77.0,77.1,75.6,72.8,58.6,74.8,82.1,68.2,38.2,64.8,71.4,59.9,55.8,50.2,71.9,74.2,71.0,6.2,5.2,13.2,6.2,13.2,2015
75.0,76.0,50.75,73.0,73.25,49.0,76.0,52.0,58.0,71.0,76.0,78.0,77.0,76.25,73.5,73.25,60.0,78.0,82.0,67.0,39.0,68.0,72.25,63.0,59.0,51.0,73.0,77.0,73.0,7.0,6.0,14.0,7.0,14.0,2016
