overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
76.0,77.0,67.5,62.0,76.0,66.0,76.5,67.0,74.5,67.0,81.0,78.0,75.0,67.0,69.0,63.0,73.0,64.0,86.0,66.0,68.0,41.0,80.0,79.0,77.0,75.0,39.0,54.0,47.0,15.0,18.0,67.0,20.0,17.5,2007
72.0,70.0,71.0,62.0,75.0,66.0,77.0,67.0,74.0,67.0,83.0,75.0,75.0,67.0,63.0,63.0,73.0,64.0,78.0,56.0,68.0,58.0,80.0,79.0,77.0,75.0,39.0,54.0,47.0,15.0,20.0,67.0,20.0,20.0,2008
70.0,69.0,67.0,47.0,74.0,66.0,74.0,67.0,65.0,67.0,75.0,67.0,70.0,67.0,67.0,63.0,65.0,64.0,67.0,52.0,67.0,65.0,73.0,71.0,77.0,70.0,37.0,45.0,47.0,9.0,20.0,67.0,20.0,20.0,2009
71.0,69.0,67.0,50.0,75.0,66.0,75.0,67.0,65.0,68.0,75.5,67.0,70.0,67.0,68.0,63.0,65.5,64.0,68.0,55.0,68.0,65.0,62.0,73.0,77.0,70.0,37.0,45.0,47.0,10.5,13.5,37.0,17.0,17.0,2010
72.0,69.0,66.0,47.0,75.0,66.0,72.0,67.0,65.0,70.0,75.0,73.0,66.0,72.0,75.0,80.0,67.0,67.0,69.0,62.0,70.0,62.0,62.0,75.0,73.0,70.0,43.0,45.0,47.0,12.0,7.0,7.0,14.0,14.0,2011
72.5,69.0,70.0,49.5,75.0,66.5,72.5,67.0,66.0,70.0,74.0,71.5,70.0,73.0,73.0,76.0,67.5,65.0,77.0,61.0,71.0,62.0,61.5,75.0,72.0,70.0,43.5,53.0,49.0,12.0,7.0,7.0,14.0,14.0,2012
73.0,72.0,72.0,52.0,73.0,69.0,71.0,73.0,66.0,72.0,73.0,70.0,72.0,73.0,73.0,76.0,67.0,65.0,77.0,60.0,71.0,63.67,59.33,75.0,75.0,70.0,42.0,53.0,49.0,12.0,7.0,7.0,14.0,14.0,2013
72.25,73.0,72.0,52.0,73.0,69.0,72.25,71.5,66.0,71.25,72.25,69.25,70.0,71.0,72.25,74.5,67.0,62.0,74.5,60.0,71.0,63.5,58.0,75.0,75.0,70.0,42.0,51.5,46.75,12.0,7.0,7.0,14.0,14.0,2014
70.91,73.91,69.64,52.36,69.73,68.09,71.64,66.73,66.36,70.27,73.64,67.55,68.09,70.0,66.82,71.45,63.55,60.64,71.18,57.55,66.27,61.36,58.36,69.73,73.55,70.36,42.36,51.36,46.36,12.36,7.36,7.36,14.36,14.36,2015
71.0,75.33,72.0,53.0,71.0,68.0,73.67,66.0,67.0,69.0,72.67,65.0,67.0,68.0,67.0,72.0,64.0,60.0,71.33,54.0,66.0,65.0,59.0,70.33,74.0,71.0,43.0,52.0,47.0,13.0,8.0,8.0,15.0,15.0,2016
