overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
65.0,69.0,22.0,62.0,61.0,24.0,21.0,37.0,49.5,57.0,56.0,61.0,61.0,54.0,65.0,67.0,45.0,63.0,62.0,67.0,37.5,75.0,53.0,67.0,52.0,56.0,68.0,68.0,74.0,11.0,15.5,57.0,17.5,17.0,2007
67.0,69.0,22.0,62.0,61.0,24.0,21.0,37.0,43.0,42.0,56.0,61.0,61.0,54.0,65.0,67.0,45.0,63.0,62.0,67.0,26.0,75.0,53.0,67.0,52.0,56.0,68.0,68.0,74.0,9.0,20.0,42.0,20.0,20.0,2008
66.5,69.0,24.0,62.0,62.0,24.0,24.5,37.0,41.5,45.0,57.0,61.0,61.0,54.0,65.0,67.0,45.0,63.0,62.0,66.0,29.0,75.0,53.0,67.0,52.0,63.5,69.0,68.0,74.0,9.0,20.0,45.0,20.0,20.0,2009
66.0,69.0,26.0,62.0,63.0,24.0,28.0,37.0,40.0,48.0,58.0,61.0,61.0,54.0,65.0,67.0,45.0,63.0,62.0,65.0,32.0,75.0,60.0,45.0,52.0,56.0,70.0,68.0,74.0,13.0,12.0,9.0,13.0,15.0,2010
66.0,68.5,47.5,61.5,65.5,27.5,52.5,48.5,68.5,55.5,65.5,68.5,64.5,68.0,67.5,64.0,69.5,62.5,70.5,68.0,41.5,74.5,62.5,48.5,62.0,55.5,69.5,67.5,73.5,13.0,12.0,9.0,13.0,15.0,2011
63.5,68.0,47.0,61.0,65.0,27.0,52.0,48.0,73.0,55.0,65.0,68.0,64.0,70.0,67.0,61.0,69.0,62.0,75.0,71.0,41.0,74.0,62.0,48.0,66.0,55.0,69.0,67.0,73.0,13.0,12.0,9.0,13.0,15.0,2012
65.0,68.0,47.0,61.0,65.0,27.0,56.0,48.0,73.0,62.0,65.0,68.0,64.0,70.0,67.0,61.0,69.0,62.0,77.5,71.0,55.0,74.0,73.0,58.0,69.0,55.0,56.0,67.0,62.0,13.0,12.0,9.0,13.0,15.0,2013
69.0,67.0,46.0,60.0,75.0,26.0,60.0,47.0,72.0,73.0,74.0,68.0,68.0,70.0,68.0,61.0,68.0,62.0,79.0,77.0,55.0,73.0,72.0,57.0,68.0,54.0,55.0,66.0,61.0,12.0,11.0,8.0,12.0,14.0,2014
69.5,67.5,52.7,62.1,73.9,36.9,61.7,58.7,73.4,71.9,72.1,68.5,67.7,66.2,68.9,61.0,69.9,64.6,74.0,73.5,57.9,71.1,72.9,58.5,68.9,59.9,59.9,68.5,63.7,12.5,11.5,8.5,12.5,14.5,2015
73.0,68.0,69.0,65.0,76.0,65.0,68.0,72.0,76.0,74.0,74.0,66.0,65.0,69.0,71.0,61.0,77.0,69.0,76.0,73.0,72.0,71.0,71.0,65.0,73.0,73.0,68.0,73.0,69.0,13.0,12.0,9.0,13.0,15.0,2016
