overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
54.0,51.0,49.0,54.0,59.0,37.0,52.0,45.0,45.0,57.0,55.0,57.0,55.0,67.0,53.0,64.0,50.0,66.0,51.0,49.0,48.0,55.0,55.0,49.0,64.0,46.0,50.0,49.0,69.0,11.0,21.0,57.0,21.0,21.0,2007
54.0,51.0,49.0,54.0,59.0,37.0,52.0,45.0,45.0,57.0,55.0,57.0,55.0,67.0,53.0,64.0,50.0,66.0,51.0,49.0,48.0,55.0,55.0,49.0,64.0,46.0,50.0,49.0,69.0,11.0,21.0,57.0,21.0,21.0,2008
63.0,61.0,49.0,54.0,63.0,37.0,52.0,45.0,45.0,64.0,60.0,70.0,68.0,67.0,67.0,64.0,50.0,66.0,74.0,68.0,48.0,65.0,68.0,65.0,64.0,56.0,60.0,62.0,69.0,11.0,21.0,64.0,21.0,21.0,2009
66.5,63.0,44.0,57.0,65.0,37.0,61.0,45.0,45.0,63.0,64.0,70.0,68.5,67.0,67.5,64.0,50.0,66.0,81.0,68.0,48.0,65.0,64.5,63.0,64.0,50.0,69.5,68.0,69.0,8.0,17.5,39.0,17.0,15.5,2010
67.0,63.0,39.0,60.0,65.0,37.0,61.0,45.0,45.0,63.0,65.0,66.0,64.0,66.0,68.0,69.0,50.0,68.0,86.0,68.0,48.0,65.0,61.0,56.0,62.0,44.0,71.0,68.0,69.0,5.0,14.0,15.0,13.0,10.0,2011
67.5,63.0,39.0,60.5,65.0,52.0,60.0,51.0,45.0,63.0,64.0,68.5,70.0,66.0,67.0,67.0,59.0,68.0,86.0,67.0,48.0,65.0,62.0,52.0,55.0,44.0,67.0,69.0,69.0,5.0,14.0,15.0,13.0,10.0,2012
67.67,62.33,39.0,62.0,65.0,52.0,61.33,57.0,45.0,63.0,64.0,71.0,74.0,66.0,66.67,67.0,68.0,70.0,86.33,66.0,48.0,65.0,62.0,52.0,55.0,44.0,66.0,68.67,68.67,5.0,14.0,15.0,13.0,10.0,2013
66.5,61.0,39.0,62.0,65.0,52.0,62.0,57.0,45.0,63.0,62.5,69.0,74.0,66.0,66.0,67.0,68.0,70.0,85.0,66.0,48.0,65.0,62.0,52.0,55.0,44.0,65.5,67.5,67.0,5.0,14.0,15.0,13.0,10.0,2014
67.14,61.43,39.43,62.43,64.86,52.43,60.14,57.43,45.43,60.86,61.0,68.57,74.0,66.0,66.43,67.0,68.43,70.0,84.0,66.0,48.43,65.43,64.57,52.43,55.43,44.43,66.29,68.29,67.71,5.43,14.43,15.43,13.43,10.43,2015
67.0,62.0,40.0,62.0,61.0,53.0,59.0,58.0,46.0,57.0,59.0,66.0,72.0,64.0,67.0,65.0,64.0,70.0,84.0,66.0,49.0,66.0,68.0,53.0,56.0,45.0,64.0,69.0,69.0,6.0,15.0,16.0,14.0,11.0,2016
