overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
57.0,38.0,20.0,58.0,53.0,44.0,20.0,57.0,11.0,30.0,42.0,59.0,65.0,67.0,57.0,75.0,33.0,74.0,47.0,51.0,20.0,47.0,62.0,66.0,69.0,42.0,56.0,66.0,75.0,9.0,20.0,30.0,20.0,20.0,2007
65.0,55.0,20.0,58.0,54.0,44.0,41.0,57.0,11.0,43.0,48.0,65.0,74.0,67.0,76.0,75.0,33.0,74.0,67.0,62.0,20.0,69.0,77.0,74.0,69.0,60.0,64.0,68.0,75.0,9.0,20.0,43.0,20.0,20.0,2008
69.0,66.0,20.0,58.0,61.0,44.0,41.0,57.0,11.0,52.0,53.0,68.0,75.0,67.0,76.0,75.0,55.0,74.0,75.0,68.0,21.0,78.0,68.0,69.0,69.0,59.0,69.0,71.0,75.0,9.0,20.0,52.0,20.0,20.0,2009
72.0,68.5,26.0,63.0,65.0,44.0,53.0,57.0,30.0,55.5,60.5,71.0,75.5,67.0,76.0,75.0,68.0,74.0,81.5,77.0,43.5,80.0,69.0,60.5,69.0,59.0,72.5,73.0,75.0,11.0,14.5,33.5,12.5,16.5,2010
71.0,68.0,32.0,63.0,66.5,44.0,63.0,57.0,46.0,57.0,65.5,70.0,71.0,60.0,72.0,67.5,71.0,68.0,81.0,77.0,56.0,77.5,68.5,49.5,56.0,59.0,71.5,72.5,73.5,13.0,9.0,13.0,5.0,13.0,2011
69.0,65.5,32.0,64.0,64.5,44.0,63.0,57.0,46.0,57.0,63.5,61.0,67.0,54.0,68.0,57.0,71.0,62.0,83.0,76.0,56.0,75.0,67.0,47.0,43.0,59.0,69.0,71.0,72.0,13.0,9.0,13.0,5.0,13.0,2012
68.3,65.0,31.2,66.5,62.8,43.8,56.0,56.8,46.0,57.5,57.8,63.0,68.8,53.8,62.3,57.0,70.4,62.2,82.1,77.2,53.8,78.2,64.2,41.2,43.2,43.0,69.9,70.8,71.1,13.0,9.0,13.0,5.0,13.0,2013
68.0,64.57,28.0,64.71,60.43,42.0,56.0,56.57,46.0,57.86,57.86,63.0,67.57,53.43,60.0,57.43,65.14,63.0,83.0,78.0,53.0,79.0,65.0,39.86,44.29,39.0,68.0,70.0,70.0,13.0,9.0,13.0,5.0,13.0,2014
68.33,64.67,28.67,65.33,62.33,41.33,57.0,57.67,46.67,57.67,59.67,63.0,67.0,54.0,67.0,58.67,63.0,65.67,76.67,77.33,53.67,80.33,62.0,42.67,45.67,39.67,71.33,74.33,75.0,13.67,9.67,13.67,5.67,13.67,2015
70.0,65.0,29.0,68.0,63.0,41.0,51.0,58.0,47.0,52.0,60.0,63.0,67.0,54.0,70.0,59.0,63.0,67.0,76.0,77.0,54.0,81.0,64.0,43.0,46.0,40.0,73.0,77.0,78.0,14.0,10.0,14.0,6.0,14.0,2016
