overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
64.0,52.0,49.0,61.0,57.0,56.0,67.0,66.0,54.0,47.0,66.0,60.0,63.0,73.0,70.0,63.0,51.0,61.0,65.0,59.0,48.0,66.0,69.0,59.0,69.0,57.0,70.0,71.0,65.0,7.0,21.0,47.0,21.0,21.0,2007
64.0,52.0,49.0,61.0,57.0,56.0,67.0,66.0,54.0,47.0,66.0,60.0,63.0,73.0,70.0,63.0,51.0,61.0,65.0,59.0,48.0,66.0,69.0,59.0,69.0,57.0,70.0,71.0,65.0,7.0,21.0,47.0,21.0,21.0,2008
66.0,52.0,49.0,61.0,63.0,56.0,62.0,66.0,54.0,47.0,66.0,74.0,76.0,73.0,70.0,63.0,51.0,61.0,70.0,59.0,48.0,66.0,61.0,67.0,69.0,57.0,69.0,69.0,65.0,7.0,21.0,47.0,21.0,21.0,2009
65.5,52.0,49.5,61.0,66.5,56.0,63.5,66.0,54.0,47.0,68.5,74.0,76.0,73.0,68.0,63.0,51.0,61.0,70.0,59.0,48.0,66.0,63.0,63.5,69.0,50.0,63.0,69.0,65.0,7.5,15.0,28.0,15.0,17.0,2010
67.0,52.0,52.0,61.0,70.0,56.0,69.0,66.0,54.0,47.0,72.0,74.0,77.0,77.0,66.0,71.0,51.0,71.0,74.0,60.0,48.0,66.0,72.0,52.0,61.0,58.0,72.0,71.0,65.0,8.0,9.0,9.0,9.0,13.0,2011
65.0,62.0,54.5,61.0,68.0,56.0,67.0,66.0,54.0,56.5,68.5,74.0,71.0,75.0,63.0,70.5,53.0,73.5,73.0,62.5,45.0,66.0,66.0,55.0,59.5,59.0,67.0,67.5,64.5,8.0,9.0,9.0,9.0,13.0,2012
65.5,62.0,57.0,61.0,67.0,56.0,65.0,66.0,54.0,60.5,67.0,74.0,71.0,74.0,64.0,70.0,56.0,76.0,73.0,65.0,45.0,66.0,66.5,58.0,58.0,60.0,67.5,66.0,65.5,8.0,9.0,9.0,9.0,13.0,2013
66.0,62.0,57.0,61.0,71.0,56.0,65.5,66.0,54.0,63.0,67.0,74.0,71.0,74.0,65.5,70.0,57.0,76.0,73.0,65.0,46.5,67.0,67.0,59.5,65.0,60.0,63.0,66.0,66.0,8.0,9.0,9.0,9.0,13.0,2014
66.0,62.75,57.75,61.75,71.75,56.75,66.75,66.75,54.75,66.0,67.75,74.0,69.5,74.0,66.75,70.0,58.75,76.0,73.0,65.0,48.75,68.75,58.0,61.75,65.75,60.75,63.75,65.25,65.25,8.75,9.75,9.75,9.75,13.75,2015
66.0,63.0,58.0,62.0,72.0,57.0,66.0,67.0,55.0,67.0,68.0,74.0,69.0,74.0,67.0,70.0,59.0,76.0,73.0,66.0,49.0,69.0,55.0,62.0,66.0,61.0,64.0,65.0,65.0,9.0,10.0,10.0,10.0,14.0,2016
