overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
63.0,50.0,39.0,58.0,70.0,56.0,50.0,75.0,69.0,57.0,60.0,55.0,68.0,58.0,57.0,62.0,57.0,60.0,71.0,72.0,66.0,62.0,75.0,58.0,73.0,79.0,49.0,57.0,55.0,13.0,23.0,57.0,23.0,23.0,2007
63.0,50.0,39.0,58.0,70.0,56.0,50.0,75.0,69.0,57.0,60.0,55.0,68.0,58.0,57.0,62.0,57.0,60.0,71.0,72.0,66.0,62.0,75.0,58.0,73.0,79.0,49.0,57.0,55.0,13.0,23.0,57.0,23.0,23.0,2008
63.0,50.0,59.0,58.0,70.0,56.0,50.0,75.0,69.0,67.0,60.0,55.0,64.0,58.0,62.0,62.0,57.0,60.0,65.0,62.0,66.0,62.0,75.0,58.0,73.0,79.0,49.0,54.0,55.0,13.0,23.0,67.0,23.0,23.0,2009
66.0,67.0,59.0,53.0,78.0,56.0,54.0,75.0,71.5,80.5,60.5,56.0,62.5,58.0,62.0,62.0,57.0,60.0,62.0,63.0,66.0,62.0,64.0,57.0,73.0,70.5,49.0,54.0,55.0,12.5,16.0,48.0,19.0,14.5,2010
64.0,64.0,57.0,47.5,75.5,54.0,55.0,76.0,73.5,77.5,58.0,56.5,59.0,58.0,54.5,60.5,58.0,54.5,64.0,63.5,65.5,61.5,54.5,57.5,70.5,61.5,48.5,55.5,54.5,12.0,9.0,15.0,15.0,6.0,2011
66.5,62.0,55.0,47.0,75.0,49.5,52.0,77.0,73.0,77.0,65.0,56.0,55.5,58.0,53.0,59.0,67.0,46.0,79.0,70.5,68.5,64.0,56.5,60.5,73.0,61.0,48.0,65.0,54.0,12.0,9.0,15.0,15.0,6.0,2012
69.67,62.0,56.0,47.0,77.33,47.0,53.33,77.0,73.0,78.67,65.0,55.67,54.0,58.0,63.0,59.0,76.0,40.67,89.0,74.0,72.33,77.0,64.67,60.67,71.0,61.0,48.0,67.67,54.0,12.0,9.0,15.0,15.0,6.0,2013
73.2,66.8,58.8,47.8,80.4,47.8,56.8,77.8,73.8,80.6,70.2,55.0,51.6,58.8,69.6,59.8,78.8,41.6,87.8,74.8,76.4,78.6,68.2,60.8,70.6,78.0,58.4,73.0,54.8,12.0,9.0,15.0,15.0,6.0,2014
75.5,76.5,61.25,49.5,81.0,68.75,61.5,81.75,79.25,82.5,76.25,58.75,52.75,62.0,74.5,66.0,80.5,51.25,89.25,75.0,75.75,76.75,72.75,60.25,74.75,81.75,63.25,73.25,62.5,12.75,9.75,15.75,15.75,6.75,2015
75.0,77.0,62.0,50.0,80.0,69.0,63.0,83.0,81.5,83.0,75.0,61.0,54.0,63.0,73.0,68.0,81.0,54.0,82.0,75.0,74.5,76.0,74.0,60.0,75.5,83.0,64.0,73.0,65.0,13.0,10.0,16.0,16.0,7.0,2016
