overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
63.0,54.0,69.0,72.0,63.0,60.0,55.0,59.0,55.0,57.0,61.0,63.0,63.0,59.0,59.0,64.0,65.0,63.0,65.0,68.0,54.0,50.0,60.0,62.0,71.0,61.0,45.0,53.0,51.0,8.0,22.0,57.0,22.0,22.0,2007
63.0,54.0,69.0,72.0,63.0,60.0,55.0,59.0,55.0,57.0,61.0,63.0,63.0,59.0,59.0,64.0,65.0,63.0,65.0,68.0,54.0,50.0,60.0,62.0,71.0,61.0,45.0,53.0,51.0,8.0,22.0,57.0,22.0,22.0,2008
63.0,48.5,67.5,70.5,64.0,60.0,54.5,59.0,54.5,52.0,60.5,61.0,60.5,59.0,58.5,64.0,64.5,63.0,62.5,73.5,58.0,49.5,59.5,61.5,71.0,60.5,34.5,47.5,51.0,8.0,22.0,52.0,22.0,22.0,2009
65.5,43.0,61.0,70.5,72.0,60.0,56.0,59.0,54.0,61.0,63.0,57.5,59.5,59.0,59.0,64.0,64.0,63.0,72.0,80.5,58.5,68.0,66.5,71.5,71.0,63.5,59.5,62.0,51.0,10.5,16.0,31.0,18.0,14.5,2010
72.0,43.0,53.0,73.0,78.0,52.0,58.0,59.0,54.0,66.0,67.0,41.0,58.0,48.0,70.0,34.0,64.0,32.0,74.0,85.0,45.0,72.0,76.0,62.0,73.0,67.0,57.0,77.0,60.0,13.0,10.0,5.0,14.0,7.0,2011
73.5,47.5,51.5,71.0,77.0,52.5,58.5,57.0,54.0,68.5,68.5,50.5,55.0,49.5,71.5,40.5,69.5,33.0,76.0,84.5,51.0,78.0,76.0,60.0,73.5,64.0,62.0,80.0,67.0,13.0,10.0,5.0,14.0,7.0,2012
75.75,51.12,57.38,75.0,74.12,63.5,63.0,62.88,66.38,77.0,72.0,52.12,54.62,49.38,67.12,48.75,81.0,58.75,79.38,84.5,60.0,82.5,82.25,59.25,75.0,68.38,65.0,81.38,72.5,13.0,10.0,5.0,14.0,7.0,2013
78.5,53.0,60.0,80.0,79.0,65.0,64.0,65.0,74.0,81.0,77.0,55.0,55.0,53.0,69.0,50.0,86.0,68.0,79.0,86.0,64.0,83.0,84.0,61.0,76.0,71.0,69.0,83.0,74.0,13.0,10.0,5.0,14.0,7.0,2014
80.5,52.83,66.67,80.83,80.5,65.83,66.5,65.83,70.67,81.83,79.5,52.67,53.33,49.67,74.0,40.0,85.17,68.0,77.67,86.0,64.0,78.83,84.83,76.0,74.33,71.83,82.33,83.83,74.83,13.83,10.83,5.83,14.83,7.83,2015
81.0,53.0,69.33,81.0,81.0,66.0,67.0,66.0,70.0,82.0,80.0,53.33,54.33,51.0,75.0,38.0,85.0,68.0,78.67,86.0,64.0,78.0,85.0,80.0,74.0,72.0,85.0,84.0,75.0,14.0,11.0,6.0,15.0,8.0,2016
