overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
59.0,53.0,53.0,55.0,45.0,60.0,62.0,74.0,61.0,39.0,66.0,82.0,85.0,72.0,52.0,68.0,50.0,62.0,49.0,62.0,55.0,35.0,56.0,66.0,60.0,46.0,23.0,29.0,32.0,6.0,23.0,39.0,23.0,23.0,2007
68.0,53.0,72.0,50.0,49.0,60.0,79.0,74.0,61.0,38.0,67.0,80.0,83.0,72.0,60.0,68.0,68.0,62.0,70.0,74.0,60.0,42.0,55.0,52.0,60.0,66.0,35.0,29.0,32.0,6.0,23.0,38.0,23.0,23.0,2008
69.0,61.0,71.0,53.0,53.5,60.0,79.5,74.0,61.0,47.0,70.5,80.5,79.5,72.0,60.0,68.0,68.0,62.0,67.0,74.0,60.0,42.0,53.5,52.0,60.0,66.0,35.0,29.0,32.0,6.0,23.0,47.0,23.0,23.0,2009
72.0,68.5,71.5,55.5,57.5,60.0,82.5,74.0,60.5,55.5,81.5,82.5,79.5,72.0,59.5,68.0,67.5,62.0,66.0,73.5,59.5,41.5,53.0,63.5,60.0,61.0,34.5,28.5,32.0,7.0,14.5,31.5,19.0,19.0,2010
71.5,68.0,71.0,55.0,57.0,60.0,82.0,74.0,60.0,55.0,81.0,81.0,79.0,74.5,59.0,70.5,69.0,62.0,65.5,75.0,64.0,41.0,44.0,75.0,60.0,56.0,34.0,28.0,32.0,8.0,6.0,7.0,15.0,15.0,2011
73.5,68.0,64.0,55.0,61.0,60.0,84.5,74.0,60.0,57.5,81.5,83.0,81.0,77.5,61.0,73.5,70.0,62.0,72.5,75.0,64.5,41.0,44.0,75.5,63.0,56.0,34.0,28.0,32.0,8.0,6.0,7.0,15.0,15.0,2012
75.88,73.0,69.0,63.12,67.0,62.0,85.0,74.0,60.0,62.0,82.0,85.0,83.0,78.0,68.0,79.75,74.0,65.0,80.75,75.0,67.0,41.0,44.0,76.0,72.0,56.0,34.0,28.0,32.0,8.0,6.0,7.0,15.0,15.0,2013
75.0,73.0,69.0,68.0,66.8,62.0,83.0,74.0,60.0,62.4,80.6,85.0,83.0,78.0,68.0,82.0,74.0,66.0,79.0,75.0,67.0,41.0,44.0,75.2,71.6,56.0,34.0,28.0,32.0,8.0,6.0,7.0,15.0,15.0,2014
75.2,73.2,69.2,68.2,66.2,62.2,83.2,74.2,60.2,64.2,78.2,85.0,82.2,78.0,68.2,82.0,74.2,66.0,79.0,75.0,67.2,41.2,44.2,75.2,70.2,67.4,34.2,28.2,32.2,8.2,6.2,7.2,15.2,15.2,2015
76.0,74.0,70.0,69.0,67.0,63.0,84.0,75.0,61.0,65.0,79.0,85.0,79.0,78.0,69.0,82.0,75.0,66.0,79.0,75.0,68.0,42.0,45.0,76.0,71.0,71.0,35.0,29.0,33.0,9.0,7.0,8.0,16.0,16.0,2016
